Name,Team,Position,Total Points,Average Points
Kentavious Caldwell-Pope,WSH,"SG, SF",741,22.5
Devin Vassell,SA,"SG, SF",706,23.5
Delon Wright,ATL,"SG, PG",406,13.5
Matisse Thybulle,PHI,"SF, SG",573,20.5
Isaac Okoro,CLE,SF,487,18.0
Rui Hachimura,WSH,"PF, SF",0,0.0
Facundo Campazzo,DEN,PG,685,20.8
Luke Kennard,LAC,SG,783,22.4
Dwight Howard,LAL,C,427,15.3
Danny Green,PHI,"SG, SF",495,20.6
Nicolas Batum,LAC,"SF, SG",434,22.8
Terrence Ross,ORL,"SG, SF",530,18.3
Serge Ibaka,LAC,"C, PF",221,12.3
Precious Achiuwa,TOR,"PF, C",442,18.4
Doug McDermott,SA,"SF, PF",453,17.4
Rajon Rondo,CLE,PG,220,12.2
Davion Mitchell,SAC,PG,621,19.4
Isaiah Roby,OKC,"PF, C",232,12.9
Anfernee Simons,POR,"SG, PG",559,18.6
Patrick Williams,CHI,"SF, PF",72,14.4
Deni Avdija,WSH,SF,696,19.3
Tyus Jones,MEM,PG,757,21.0
Jalen Smith,PHX,PF,212,14.1
Lonnie Walker,SA,"SF, SG",636,19.3
Immanuel Quickley,NY,PG,588,17.8
Nerlens Noel,NY,C,326,19.2
Enes Freedom,BOS,C,256,12.2
Shake Milton,PHI,"PG, SG",542,20.8
Chimezie Metu,SAC,C,533,21.3
P.J. Tucker,MIA,"SF, PF",656,21.2
Goran Dragic,TOR,PG,90,18.0
Josh Richardson,BOS,"SG, SF",520,20.8
Nassir Little,POR,"SF, PF",617,20.6
Rudy Gay,UTAH,PF,372,16.9
Danilo Gallinari,ATL,"PF, SF",478,18.4
Obi Toppin,NY,PF,556,17.4
Caleb Martin,MIA,"SG, SF",508,18.8
DeAndre Jordan,LAL,C,405,15.0
Justin Holiday,IND,"SG, SF",583,18.8
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Willy Hernangomez,NO,C,392,18.7
Andre Iguodala,GS,"SF, SG",364,20.2
Garrison Mathews,HOU,"SG, SF",420,21.0
Cameron Payne,PHX,PG,609,19.6
Max Strus,MIA,SG,501,18.6
Cedi Osman,CLE,SF,579,22.3
Kevon Looney,GS,PF,654,18.7
Aaron Wiggins,OKC,SG,244,14.4
Isaiah Thomas,DAL,PG,54,10.8
Chuma Okeke,ORL,PF,470,17.4
Aleksej Pokusevski,OKC,PF,368,11.2
Nemanja Bjelica,GS,PF,539,15.4
Gabe Vincent,MIA,PG,582,18.2
Bruce Brown,BKN,SG,522,18.6
Naz Reid,MIN,C,589,17.8
Greg Monroe,MIN,C,80,26.7
Jeff Green,DEN,PF,541,16.4
Khem Birch,TOR,C,319,18.8
Dwight Powell,DAL,C,571,15.9
Jordan Nwora,MIL,SF,473,16.3
Terence Davis,SAC,SG,366,16.6
R.J. Hampton,ORL,PG,476,14.4
Moses Brown,DAL,C,143,6.5
Jaxson Hayes,NO,C,319,13.3
Kendrick Nunn,LAL,SG,0,0.0
Georges Niang,PHI,PF,578,18.6
Dewayne Dedmon,MIA,C,545,16.5
George Hill,MIL,"PG, SG",541,16.9
Kyle Guy,MIA,SG,63,31.5
Grant Williams,BOS,PF,558,17.4
Payton Pritchard,BOS,PG,303,9.8
Jonathan Kuminga,GS,"SF, PF",174,7.3
Onyeka Okongwu,ATL,C,87,29.0
Jalen McDaniels,CHA,PF,467,15.6
Furkan Korkmaz,PHI,SG,493,15.9
Kenrich Williams,OKC,SF,552,16.7
Jeremy Lamb,IND,"SG, SF",355,13.7
Tristan Thompson,SAC,"C, PF",363,13.4
Kenyon Martin,HOU,SF,577,17.0
Garrett Temple,NO,"SG, SF",523,15.4
Tacko Fall,CLE,C,50,5.0
Maxi Kleber,DAL,PF,402,19.1
Reggie Bullock,DAL,"SF, SG",325,11.2
James Bouknight,CHA,SG,97,5.7
Frank Kaminsky,PHX,"C, PF",221,24.6
Lou Williams,ATL,SG,276,11.0
Derrick Favors,OKC,"C, PF",388,13.9
Bol Bol,DEN,C,61,5.5
D.J. Wilson,TOR,PF,69,34.5
Luka Garza,DET,C,210,9.5
Davis Bertans,WSH,PF,248,10.3
Damion Lee,GS,"SF, SG",366,14.6
Josh Jackson,DET,"SF, SG",319,12.8
Marc Gasol,LAL,C,0,0.0
Paul Millsap,BKN,PF,209,9.1
Ish Smith,CHA,PG,309,12.4
Jaylen Nowell,MIN,SG,312,14.2
Tomas Satoransky,NO,"PG, SG",267,8.6
Bryn Forbes,SA,"SG, PG",408,12.4
DeAndre' Bembry,BKN,SF,514,17.1
Bones Hyland,DEN,PG,354,14.8
Juan Toscano-Anderson,GS,"PF, SF",483,14.2
Yuta Watanabe,TOR,SF,224,16.0
Jeremiah Robinson-Earl,OKC,"PF, C",504,15.8
Cory Joseph,DET,PG,460,17.0
Cam Thomas,BKN,SG,250,10.4
Thanasis Antetokounmpo,MIL,SF,220,9.2
Landry Shamet,PHX,SG,496,14.2
Ayo Dosunmu,CHI,SG,370,12.3
Damian Jones,SAC,C,275,12.5
Kent Bazemore,LAL,"SG, SF",244,11.1
Josh Christopher,HOU,SG,336,11.6
Dennis Smith,POR,PG,285,16.8
Willie Cauley-Stein,DAL,C,109,6.1
Frank Jackson,DET,PG,501,15.2
Quentin Grimes,NY,SG,178,11.1
David Duke,BKN,SG,114,22.8
Raul Neto,WSH,PG,471,15.2
Derrick Jones,CHI,SF,426,16.4
Trevor Ariza,LAL,SF,52,13.0
Corey Kispert,WSH,SF,285,9.2
Saben Lee,DET,PG,237,15.8
Armoni Brooks,HOU,PG,460,14.4
Amir Coffey,LAC,SG,267,12.1
Brandon Boston,LAC,SG,215,10.8
Kira Lewis,NO,PG,257,10.7
Oshae Brissett,IND,PF,347,13.3
Moses Moody,GS,SG,79,3.6
Mike Muscala,OKC,"C, PF",461,15.9
JaMychal Green,DEN,PF,403,13.4
Taj Gibson,NY,PF,295,14.0
Taurean Prince,MIN,"SF, PF",224,9.0
Javonte Green,CHI,SG,460,15.9
Dean Wade,CLE,PF,366,13.6
Boban Marjanovic,DAL,C,106,7.1
Derrick Walton,DET,PG,82,27.3
Romeo Langford,BOS,SG,365,12.6
Trey Lyles,DET,PF,464,15.0
Sharife Cooper,ATL,PG,1,0.1
David Nwaba,HOU,"SG, SF",385,13.8
Elfrid Payton,PHX,PG,168,8.8
Kostas Antetokounmpo,LAL,PF,0,0.0
Gorgui Dieng,ATL,"C, PF",292,10.4
Austin Rivers,DEN,SG,235,9.8
Robin Lopez,ORL,C,271,15.9
Brandon Goodwin,CLE,PG,40,20.0
Sterling Brown,DAL,"SG, SF",301,10.8
Aaron Holiday,WSH,"PG, SG",421,13.2
Moritz Wagner,ORL,"C, PF",310,11.1
Trey Murphy,NO,SG,268,7.9
Austin Reaves,LAL,SG,219,11.5
Ziaire Williams,MEM,SG,161,8.5
Nathan Knight,MIN,C,161,9.5
Miles McBride,NY,PG,105,10.5
Jalen Johnson,ATL,SF,32,3.2
Ty Jerome,OKC,PG,356,12.7
Aaron Nesmith,BOS,SF,139,5.1
Tre Mann,OKC,PG,264,11.5
Kessler Edwards,BKN,SF,95,19.0
D.J. Augustin,HOU,PG,297,10.2
Cody Zeller,POR,C,289,12.0
Stanley Johnson,LAL,SF,91,18.2
