Name,Team,Position,Total Points,Average Points
Kyrie Irving,BKN,"PG, SG",0,0.0
Mikal Bridges,PHX,SF,961,26.7
Spencer Dinwiddie,WSH,"SG, PG",777,26.8
Ben Simmons,PHI,PG,0,0.0
Kemba Walker,NY,PG,622,25.9
RJ Barrett,NY,"SF, SG",678,22.6
Dennis Schroder,BOS,PG,818,27.3
Keldon Johnson,SA,"SF, PF",870,25.6
Jalen Green,HOU,SG,451,20.5
Reggie Jackson,LAC,PG,897,27.2
Nickeil Alexander-Walker,NO,SG,750,22.7
Jordan Clarkson,UTAH,SG,837,23.3
Tim Hardaway,DAL,"SG, SF",772,25.7
Eric Bledsoe,LAC,"PG, SG",910,24.6
P.J. Washington,CHA,"PF, C",560,26.7
Ivica Zubac,LAC,C,874,25.0
Bojan Bogdanovic,UTAH,"PF, SF",904,25.1
Jalen Brunson,DAL,PG,1111,31.7
Isaiah Stewart,DET,"C, PF",621,22.2
Chris Boucher,TOR,"C, PF",562,18.1
Mitchell Robinson,NY,C,830,25.2
Evan Fournier,NY,"SG, SF",761,21.1
Michael Porter,DEN,"SF, PF",183,20.3
Bogdan Bogdanovic,ATL,"SG, SF",528,22.0
Joe Ingles,UTAH,"SF, SG, PF",666,19.0
Collin Sexton,CLE,"SG, PG",222,20.2
Malik Beasley,MIN,"SG, SF",751,20.9
Lauri Markkanen,CLE,"PF, SF",673,24.0
Thaddeus Young,SA,"PF, SF, C",391,17.0
Steven Adams,MEM,C,881,23.8
Aaron Gordon,DEN,"PF, SF",827,26.7
Jonathan Isaac,ORL,"PF, SF",0,0.0
Marvin Bagley,SAC,PF,298,16.6
Andre Drummond,PHI,C,708,23.6
Daniel Theis,HOU,"C, PF",379,17.2
Derrick Rose,NY,PG,659,25.3
Donte DiVincenzo,MIL,"SG, PG",33,11.0
Brook Lopez,MIL,C,28,28.0
Hassan Whiteside,UTAH,C,652,19.8
Dillon Brooks,MEM,"SG, SF",540,28.4
LaMarcus Aldridge,BKN,"PF, C",735,27.2
Alex Caruso,CHI,"PG, SG",693,26.7
Killian Hayes,DET,PG,457,19.0
Ricky Rubio,CLE,PG,1011,29.7
Joe Harris,BKN,"SG, SF",274,19.6
Patty Mills,BKN,PG,835,24.6
Kawhi Leonard,LAC,"SF, PF",0,0.0
T.J. McConnell,IND,PG,596,24.8
Luguentz Dort,OKC,"SG, SF",815,24.7
Mason Plumlee,CHA,C,663,23.7
Jamal Murray,DEN,"PG, SG",0,0.0
Marcus Morris,LAC,"PF, SF",412,25.8
Kyle Anderson,MEM,"SF, PF",720,21.8
Pat Connaughton,MIL,"SG, SF",944,24.8
Monte Morris,DEN,PG,830,25.9
Chris Duarte,IND,SG,740,22.4
T.J. Warren,IND,SF,0,0.0
Hamidou Diallo,DET,SG,579,21.4
Thomas Bryant,WSH,C,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Coby White,CHI,PG,290,18.1
Duncan Robinson,MIA,"SG, SF",721,20.6
John Wall,HOU,PG,0,0.0
Terance Mann,LAC,SF,783,21.8
Nic Claxton,BKN,"C, PF",332,22.1
Jarred Vanderbilt,MIN,PF,752,24.3
Patrick Beverley,MIN,PG,699,28.0
Cam Reddish,ATL,"SF, SG",618,19.9
Jae Crowder,PHX,"PF, SF",683,21.3
James Wiseman,GS,C,0,0.0
Grayson Allen,MIL,SG,782,22.3
Alperen Sengun,HOU,C,755,21.6
Kevin Huerter,ATL,"SG, SF",568,20.3
Blake Griffin,BKN,PF,428,16.5
Otto Porter,GS,SF,649,21.6
Gary Harris,ORL,SG,577,19.2
JaVale McGee,PHX,C,754,22.2
De'Anthony Melton,MEM,"PG, SG",775,25.8
Talen Horton-Tucker,LAL,"SG, SF",439,20.0
Darius Bazley,OKC,"SF, PF",673,21.7
Cody Martin,CHA,SF,806,25.2
Royce O'Neale,UTAH,"SF, PF",798,23.5
Victor Oladipo,MIA,SG,0,0.0
Larry Nance,POR,PF,727,20.8
Markelle Fultz,ORL,PG,0,0.0
De'Andre Hunter,ATL,"SF, PF",173,15.7
Gary Payton,GS,PG,650,20.3
DeMarcus Cousins,MIL,C,290,19.3
