Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Bradley Beal," SG,SF",WAS ,Healthy,24.0,4.0,6.3,0.3,0.8,.513,.539,1.8,4.0,4,34.9,1.8,8.5,8.50,3.3
Nikola Jokic," PF,C",DEN ,Healthy,30.0,15.3,9.3,1.0,1.7,.648,.765,2.3,4.3,3,33.3,4.3,9.3,6.70,2.3
Damian Lillard, PG,POR ,Healthy,25.3,6.0,6.7,0.7,0.3,.319,.792,4.3,4.0,3,40.7,6.3,3.0,5.00,0.7
Joel Embiid," PF,C",PHI ,Healthy,25.0,10.7,5.0,0.3,1.3,.469,.929,1.0,2.3,3,34.3,8.7,6.7,9.00,2.7
De'Aaron Fox, PG,SAC , DTD ,23.3,4.0,2.7,0.0,1.0,.540,.714,0.3,1.7,3,29.6,5.0,8.7,4.50,2.7
Dillon Brooks," SG,SF",MEM ,Healthy,23.3,4.3,3.3,0.0,0.3,.458,.833,2.0,1.7,3,32.5,6.7,5.3,6.00,2.7
Trae Young, PG,ATL ,Healthy,34.5,4.0,6.5,0.0,1.5,.568,.929,3.0,4.0,2,33.0,6.5,9.5,5.30,1.5
Stephen Curry," PG,SG",GSW ,Healthy,22.0,6.0,4.7,0.7,0.7,.373,.818,4.3,4.7,3,35.4,3.0,3.0,3.40,2.0
Caris LeVert," SG,SF",IND ,Healthy,22.0,1.7,4.7,0.3,1.3,.510,.846,1.7,2.3,3,35.5,3.7,6.7,6.20,2.0
Tyrese Maxey," PG,SG",PHI ,Healthy,21.3,1.7,4.7,1.0,0.3,.595,.800,2.0,2.3,3,33.9,2.7,6.3,5.80,2.3
Tobias Harris," SF,PF",PHI ,Healthy,15.8,5.8,3.5,0.5,0.0,.375,.895,1.0,1.8,4,33.2,4.3,4.3,10.30,2.5
Norman Powell," SG,SF",POR ,Healthy,21.0,4.7,3.0,0.7,1.7,.478,.833,3.0,2.7,3,39.3,3.3,4.3,6.00,3.3
Anthony Edwards," SG,SF",MIN ,Healthy,31.0,4.5,2.0,0.5,1.0,.618,.889,6.0,2.0,2,31.3,4.0,4.5,2.00,3.0
Patty Mills, PG,BKN ,Healthy,20.7,4.0,3.3,0.0,0.7,.431,.750,5.0,3.0,3,37.8,1.0,2.3,4.00,1.3
Brandon Ingram," SF,PF",NOR ,Healthy,30.5,7.5,6.5,0.0,1.0,.478,.696,0.5,1.5,2,38.0,8.0,10.5,11.00,2.5
Kristaps Porzingis," PF,C",DAL ,Healthy,20.0,10.7,2.0,2.7,0.0,.375,.875,1.3,2.0,3,31.4,4.7,5.7,3.60,2.7
Julius Randle," PF,C",NYK ,Healthy,20.0,7.7,5.3,0.3,1.0,.375,.938,3.0,4.7,3,34.8,5.0,3.0,3.80,4.0
Reggie Jackson," PG,SG",LAC ,Healthy,19.7,3.3,4.7,0.7,0.3,.460,.875,2.0,2.3,3,29.2,2.3,5.7,6.50,1.7
Jrue Holiday," PG,SG",MIL ,Healthy,19.7,2.7,9.0,0.0,1.7,.578,.429,1.3,1.3,3,33.4,1.0,7.3,9.50,0.3
Gordon Hayward," SG,SF",CHA ,Healthy,29.0,5.5,4.5,0.0,0.0,.690,.900,4.5,0.5,2,29.8,4.5,5.5,3.00,0.5
Isaac Okoro," SG,SF",CLE , OUT ,19.3,4.0,1.7,0.0,1.0,.700,.875,3.0,1.3,3,28.8,2.3,4.0,3.50,2.3
Domantas Sabonis," PF,C",IND ,Healthy,19.3,11.3,3.7,0.3,1.0,.639,.750,0.0,3.0,3,34.1,4.0,7.7,3.00,2.3
Monte Morris," PG,SG",DEN ,Healthy,18.7,3.0,4.7,0.7,0.7,.583,.800,3.3,2.3,3,31.6,1.3,3.7,2.60,1.0
Jalen Brunson," PG,SG",DAL ,Healthy,18.7,4.7,6.7,0.0,0.3,.539,.786,1.0,1.7,3,31.3,3.7,6.0,14.00,2.3
Anfernee Simons," PG,SG",POR ,Healthy,18.7,3.0,1.7,0.0,0.0,.388,.875,3.7,0.7,3,31.6,2.3,2.7,3.00,3.3
Karl-Anthony Towns, C,MIN ,Healthy,27.5,7.0,4.0,0.5,1.5,.543,.933,1.5,3.5,2,35.4,7.0,8.0,2.80,4.0
Terrence Ross," SG,SF",ORL , OUT ,18.3,4.7,3.7,0.7,1.7,.385,.957,1.0,2.3,3,30.3,7.3,4.0,4.00,1.7
Donovan Mitchell," PG,SG",UTH ,Healthy,27.5,0.0,5.0,0.0,2.0,.571,.900,3.0,3.0,2,31.7,4.5,7.0,3.30,2.0
