Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,28,MEM,27,27,24.9,2.6,4.9,.527,0.0,0.0,,2.6,4.9,.527,.527,1.9,3.0,.610,3.9,4.9,8.7,2.7,0.8,0.7,1.7,1.7,7.0
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,15,0,9.9,1.5,4.3,.359,0.2,1.8,.111,1.3,2.5,.541,.383,0.4,0.7,.600,1.1,1.7,2.7,0.8,0.1,0.2,0.3,1.0,3.7
LaMarcus Aldridge,C,36,BRK,25,8,23.6,6.0,10.4,.573,0.4,1.2,.367,5.5,9.2,.600,.594,1.6,1.9,.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0
Nickeil Alexander-Walker,SG,23,NOP,29,18,28.4,5.1,13.9,.367,2.1,6.7,.311,3.0,7.2,.419,.442,1.4,1.8,.769,1.0,2.8,3.9,2.6,1.0,0.4,1.5,1.9,13.7
Grayson Allen,SG,26,MIL,27,27,28.7,4.5,10.0,.448,3.0,7.1,.417,1.5,2.9,.526,.596,1.1,1.3,.853,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.4,13.0
Jarrett Allen,C,23,CLE,25,25,33.3,7.0,10.0,.707,0.0,0.2,.167,7.0,9.7,.720,.709,3.2,4.5,.708,3.2,8.0,11.2,1.8,1.0,1.4,2.0,1.8,17.3
Jose Alvarado,PG,23,NOP,8,0,5.1,0.6,1.6,.385,0.3,0.6,.400,0.4,1.0,.375,.462,0.3,0.4,.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8
Kyle Anderson,PF,28,MEM,23,3,21.7,3.2,7.3,.443,0.8,2.3,.358,2.4,5.0,.482,.500,0.9,1.4,.636,1.0,4.2,5.3,2.5,0.9,0.6,1.0,1.5,8.2
Giannis Antetokounmpo,PF,27,MIL,25,25,32.6,9.6,18.2,.531,1.1,3.9,.289,8.5,14.3,.597,.562,6.9,10.2,.678,2.1,9.6,11.7,5.9,1.1,1.6,3.3,3.1,27.3
