Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Jaylen Brown," SG,SF",BOS ,Healthy,34.7,10.0,2.3,0.7,1.0,.471,.790,3.0,5.3,3,40.7,5.0,10.3,1.10,3.7
Devin Booker," SG,SF,PG",PHO ,Healthy,28.0,6.7,4.0,0.7,0.7,.406,.900,3.3,2.0,3,34.1,6.0,6.0,8.00,2.3
Kevin Love," PF,C",CLE ,Healthy,26.3,10.0,3.0,0.0,0.7,.500,.826,4.7,1.3,3,29.5,6.3,3.0,8.50,1.0
Zach LaVine," SG,SF",CHI ,Healthy,25.7,4.3,4.0,0.7,0.3,.539,1.000,4.0,4.0,3,35.2,3.0,5.3,3.10,1.7
DeMar DeRozan," SF,PF,SG",CHI ,Healthy,25.3,5.3,6.3,0.3,1.0,.406,.846,0.7,2.3,3,35.4,7.3,8.0,3.30,2.3
Ja Morant, PG,MEM ,Healthy,35.5,8.0,5.0,1.0,1.0,.556,.800,4.5,3.0,2,33.9,6.0,8.0,0.30,2.5
Domantas Sabonis," PF,C",IND ,Healthy,23.7,15.0,6.7,1.3,1.0,.539,.750,1.7,4.0,3,38.6,8.0,5.3,5.50,3.0
Giannis Antetokounmpo," PF,C",MIL ,Healthy,34.0,14.0,7.5,1.0,2.0,.625,.833,1.5,4.0,2,31.6,7.5,11.0,3.80,4.0
James Harden," PG,SG",BKN ,Healthy,33.5,13.0,11.5,0.0,1.5,.429,.818,2.0,5.0,2,40.1,13.5,7.0,5.00,3.0
Fred VanVleet," PG,SG",TOR ,Healthy,33.0,4.5,7.0,0.5,1.5,.477,.929,5.5,0.5,2,34.9,6.5,5.0,9.00,3.0
Hamidou Diallo," SG,SF",DET ,Healthy,32.5,13.5,4.0,1.0,5.0,.510,.750,0.5,3.5,2,44.2,6.0,12.5,2.30,4.0
Coby White," PG,SG",CHI ,Healthy,20.3,2.3,7.0,0.7,1.3,.513,.727,4.3,1.3,3,35.5,2.7,2.3,8.00,3.3
Kevin Durant," SF,PF",BKN ,Healthy,30.5,7.5,3.5,1.0,0.0,.500,.727,2.5,3.5,2,38.4,4.0,9.5,2.00,1.5
Evan Mobley," C,PF",CLE ,Healthy,20.3,7.3,4.0,1.7,0.3,.604,.500,0.0,2.0,3,34.2,1.0,9.7,7.80,2.7
Trae Young, PG,ATL ,Healthy,30.5,3.5,11.0,0.0,0.5,.412,.857,3.5,4.0,2,37.6,6.0,7.0,12.60,3.0
RJ Barrett," SG,SF",NYK ,Healthy,20.0,6.0,2.3,0.3,1.0,.457,.700,1.3,3.0,3,30.3,4.7,5.7,2.60,1.7
Jalen Brunson," PG,SG",DAL ,Healthy,20.0,2.7,7.0,0.0,0.7,.560,1.000,1.0,2.3,3,33.5,0.3,8.3,9.20,1.3
Jordan Clarkson," PG,SG",UTH ,Healthy,19.7,3.7,2.0,0.0,0.7,.500,.625,2.0,2.7,3,28.5,1.7,6.0,2.20,3.0
Donovan Mitchell," PG,SG",UTH ,Healthy,29.5,6.0,7.0,0.0,1.5,.400,.905,4.0,2.5,2,37.3,9.5,4.0,6.20,3.0
Bojan Bogdanovic," SF,PF",UTH ,Healthy,19.7,7.0,1.7,0.0,0.7,.452,.929,2.7,3.0,3,32.0,4.3,3.7,1.90,1.0
Jimmy Butler," SF,PF,SG",MIA ,Healthy,29.0,3.5,3.5,1.0,0.5,.488,1.000,1.5,1.0,2,35.7,6.5,9.0,2.50,0.0
Bradley Beal," SG,SF",WAS ,Healthy,28.0,4.0,13.5,0.0,2.5,.488,.857,1.0,2.0,2,38.2,6.0,9.5,13.50,2.0
Rudy Gobert, C,UTH ,Healthy,18.7,16.3,0.7,2.0,0.0,.741,.615,0.0,1.3,3,33.2,5.3,6.7,1.00,2.7
Malik Monk," PG,SG",LAL ,Healthy,18.3,2.3,1.0,1.0,0.7,.588,1.000,2.7,1.3,3,31.4,2.3,4.0,2.50,1.0
