Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LaMelo Ball,PG,20,CHO,26,26,32.8,7.2,17.1,.420,2.8,7.3,.389,4.3,9.8,.443,.503,2.7,2.9,.908,1.7,6.0,7.7,8.1,1.9,0.4,3.2,3.1,19.9
Lonzo Ball,PG,24,CHI,28,28,35.6,4.7,11.4,.415,3.1,7.4,.417,1.6,4.0,.411,.550,0.5,0.7,.737,1.0,4.4,5.4,4.9,1.7,1.0,2.5,2.4,13.0
Mo Bamba,C,23,ORL,27,27,28.7,4.2,9.1,.457,1.3,4.0,.324,2.9,5.1,.561,.528,0.7,0.9,.720,2.3,6.3,8.6,1.7,0.8,2.2,1.4,2.6,10.3
Desmond Bane,SF,23,MEM,31,31,28.9,6.2,13.3,.465,2.6,6.5,.406,3.5,6.8,.521,.564,1.2,1.3,.927,0.5,3.8,4.3,2.2,0.9,0.4,1.4,2.5,16.3
Dalano Banton,SF,22,TOR,27,0,12.7,1.6,3.6,.458,0.2,0.7,.300,1.4,2.8,.500,.490,0.7,0.9,.750,0.7,1.7,2.3,1.8,0.4,0.2,1.0,1.4,4.1
Harrison Barnes,PF,29,SAC,26,26,33.7,5.3,11.8,.448,1.8,4.7,.382,3.5,7.0,.492,.525,5.1,6.0,.852,1.3,5.2,6.5,2.5,0.9,0.1,1.8,1.3,17.4
Scottie Barnes,PF,20,TOR,27,27,36.0,6.3,12.7,.494,0.8,2.2,.356,5.5,10.6,.523,.525,2.3,3.1,.726,3.0,5.3,8.3,3.4,1.1,1.0,1.9,2.9,15.6
RJ Barrett,SF,21,NYK,25,25,31.4,5.4,13.3,.402,1.9,5.3,.353,3.5,8.0,.435,.473,2.5,3.4,.733,0.8,4.8,5.6,2.1,0.4,0.3,1.7,2.0,15.1
Will Barton,SG,31,DEN,25,25,33.0,6.0,13.8,.436,2.4,6.5,.377,3.6,7.4,.489,.525,1.0,1.4,.743,0.6,4.5,5.1,4.2,0.8,0.5,1.8,1.4,15.6
Charles Bassey,PF,21,PHI,12,0,9.0,1.7,2.5,.667,0.0,0.3,.000,1.7,2.3,.741,.667,0.5,0.8,.667,1.0,2.3,3.3,0.2,0.2,1.0,0.3,1.4,3.8
Keita Bates-Diop,SF,26,SAS,22,5,14.3,1.6,3.3,.479,0.2,0.7,.250,1.4,2.6,.544,.507,0.5,0.8,.667,0.9,2.6,3.5,0.5,0.5,0.4,0.8,0.9,3.9
Nicolas Batum,PF,33,LAC,16,14,26.6,3.4,6.4,.524,2.3,5.0,.450,1.1,1.4,.783,.699,0.3,0.6,.500,0.4,4.5,4.9,1.5,1.2,0.8,0.9,1.1,9.3
Kent Bazemore,SF,32,LAL,21,14,18.7,1.5,4.5,.337,0.8,2.4,.340,0.7,2.1,.333,.426,0.5,0.6,.769,0.3,1.8,2.1,0.9,0.9,0.2,0.4,2.3,4.3
Darius Bazley,PF,21,OKC,28,27,27.3,3.2,8.6,.373,1.0,3.5,.283,2.2,5.1,.437,.432,1.1,1.8,.627,0.9,5.2,6.1,1.3,0.9,1.2,1.4,0.9,8.6
Bradley Beal,SG,28,WAS,28,28,35.9,9.0,19.8,.456,1.5,5.4,.283,7.5,14.3,.521,.495,3.8,4.6,.820,1.0,3.6,4.6,5.9,0.8,0.3,3.4,2.3,23.3
Malik Beasley,SG,25,MIN,30,2,26.0,4.0,11.0,.361,2.7,8.1,.335,1.3,2.9,.432,.483,0.6,0.8,.720,0.3,2.8,3.1,1.8,0.6,0.2,0.7,1.2,11.2
DeAndre' Bembry,SF,27,BRK,26,11,19.6,2.4,4.3,.568,0.3,0.8,.409,2.1,3.4,.607,.608,0.4,0.8,.476,0.7,2.5,3.3,1.1,0.9,0.5,0.7,2.3,5.6
Dāvis Bertāns,PF,29,WAS,21,0,15.9,1.7,5.1,.333,1.2,4.1,.299,0.5,1.0,.476,.454,1.0,1.1,.913,0.1,1.6,1.8,0.5,0.4,0.1,0.4,1.7,5.7
Patrick Beverley,PG,33,MIN,22,18,26.5,3.3,7.3,.447,1.2,3.8,.321,2.0,3.5,.584,.531,1.0,1.4,.700,1.2,3.2,4.5,4.7,0.9,0.9,1.1,3.0,8.7
Saddiq Bey,SF,22,DET,29,29,32.2,4.8,12.9,.369,1.9,6.2,.311,2.8,6.7,.423,.444,1.9,2.3,.794,1.7,4.1,5.8,2.4,1.0,0.2,1.3,1.7,13.3
Khem Birch,C,29,TOR,15,3,22.9,2.7,5.3,.500,0.0,0.4,.000,2.7,4.9,.541,.500,1.6,2.2,.727,3.2,2.5,5.7,1.3,1.0,0.5,0.6,1.8,6.9
Goga Bitadze,C,22,IND,18,0,8.2,0.8,2.8,.294,0.2,1.4,.154,0.6,1.4,.440,.333,0.6,0.9,.647,1.0,1.3,2.3,0.2,0.6,0.6,0.3,1.6,2.5
Nemanja Bjelica,C,33,GSW,30,0,14.7,2.4,5.2,.471,1.0,2.5,.405,1.4,2.7,.531,.568,0.8,1.2,.676,0.9,2.9,3.8,1.7,0.6,0.3,1.1,1.5,6.7
Eric Bledsoe,PG,32,LAC,30,22,26.2,3.5,8.4,.415,0.9,3.0,.308,2.6,5.4,.475,.470,1.6,2.0,.770,0.6,3.1,3.7,3.7,1.3,0.4,2.0,1.6,9.5
Keljin Blevins,SF,26,POR,3,0,4.7,0.7,1.3,.500,0.7,1.0,.667,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,2.0
Bogdan Bogdanović,SG,29,ATL,20,20,28.2,4.5,10.0,.447,2.2,5.5,.391,2.3,4.5,.517,.555,0.6,0.7,.786,0.4,3.2,3.6,2.5,0.7,0.2,0.9,1.9,11.6
Bojan Bogdanović,PF,32,UTA,29,29,29.8,5.7,12.1,.472,2.6,6.0,.423,3.2,6.1,.520,.577,3.0,3.3,.905,0.8,3.0,3.8,1.7,0.4,0.0,1.4,1.6,17.0
Bol Bol,PF,22,DEN,11,0,4.6,0.6,1.5,.438,0.0,0.3,.000,0.6,1.2,.538,.438,0.1,0.3,.333,0.2,1.1,1.3,0.4,0.1,0.2,0.0,0.3,1.4
Leandro Bolmaro,SF,21,MIN,19,1,8.5,0.4,1.6,.267,0.1,0.5,.100,0.4,1.1,.350,.283,0.4,0.5,.889,0.7,1.0,1.7,0.5,0.3,0.0,0.6,1.0,1.3
Isaac Bonga,SF,22,TOR,11,0,5.4,0.3,1.1,.250,0.1,0.3,.333,0.2,0.8,.222,.292,0.4,0.5,.667,0.4,0.2,0.5,0.3,0.5,0.2,0.2,0.9,1.0
Devin Booker,SG,25,PHO,22,22,31.9,8.5,18.5,.456,2.5,6.0,.409,6.0,12.5,.478,.522,3.5,4.1,.857,0.8,4.1,5.0,4.5,0.9,0.2,2.6,2.4,22.9
Brandon Boston Jr.,SG,20,LAC,17,0,12.2,1.8,4.6,.392,0.7,2.1,.343,1.1,2.6,.432,.468,1.1,1.2,.857,0.1,1.4,1.5,0.4,0.6,0.2,0.7,0.9,5.4
Chris Boucher,PF,29,TOR,27,5,15.9,2.8,6.5,.432,0.6,2.6,.214,2.3,3.9,.575,.474,1.2,1.7,.733,1.6,3.0,4.6,0.3,0.4,0.9,0.6,1.6,7.4
James Bouknight,SG,21,CHO,14,0,8.2,1.4,3.8,.358,0.7,1.6,.455,0.6,2.2,.290,.453,0.6,0.7,.800,0.9,0.8,1.6,0.5,0.1,0.0,0.4,0.6,4.0
Avery Bradley,SG,31,LAL,26,21,23.0,2.2,5.5,.406,1.3,3.3,.400,0.9,2.2,.414,.524,0.1,0.1,1.000,0.5,2.1,2.5,0.8,0.8,0.2,0.5,1.6,5.8
Tony Bradley,C,24,CHI,22,7,12.5,1.6,3.0,.554,0.0,0.0,,1.6,3.0,.554,.554,0.2,0.3,.714,1.5,2.9,4.4,0.5,0.2,0.5,0.7,1.3,3.5
Ignas Brazdeikis,SF,23,ORL,13,0,8.5,0.6,2.4,.258,0.2,1.4,.167,0.4,1.0,.385,.306,0.4,0.5,.833,0.4,1.0,1.4,0.5,0.2,0.0,0.2,1.0,1.8
Mikal Bridges,SF,25,PHO,29,29,34.3,4.9,9.2,.530,1.3,3.3,.406,3.6,5.9,.599,.603,1.1,1.3,.868,1.0,3.0,3.9,1.9,1.4,0.5,0.8,2.1,12.3
Miles Bridges,PF,23,CHO,32,32,36.5,7.4,15.6,.476,1.9,6.0,.325,5.5,9.6,.570,.538,3.1,4.0,.772,1.3,5.9,7.2,3.8,1.2,0.9,1.8,2.5,19.8
Oshae Brissett,SF,23,IND,20,0,15.8,2.2,4.6,.473,0.9,2.3,.370,1.3,2.3,.578,.566,0.2,0.6,.273,0.8,2.4,3.2,0.6,0.6,0.2,0.8,1.3,5.3
Malcolm Brogdon,PG,29,IND,25,25,35.3,7.0,15.5,.448,1.8,5.9,.313,5.1,9.6,.531,.508,4.0,4.6,.861,0.9,4.6,5.5,6.2,0.9,0.4,2.3,2.2,19.7
Armoni Brooks,SG,23,HOU,25,5,15.8,2.2,6.0,.373,1.6,4.9,.333,0.6,1.1,.556,.510,0.5,0.6,.867,0.3,1.6,1.9,1.3,0.6,0.2,0.5,1.4,6.6
Dillon Brooks,SF,26,MEM,17,16,28.6,7.1,16.6,.429,1.8,5.2,.341,5.4,11.4,.469,.482,3.7,4.1,.900,0.8,2.8,3.6,2.8,1.2,0.1,1.9,3.4,19.7
Bruce Brown,SF,25,BRK,24,14,22.5,3.0,6.4,.468,0.3,1.0,.320,2.7,5.4,.496,.494,0.5,0.7,.765,1.4,2.9,4.3,1.1,1.3,0.4,0.6,2.5,6.9
Chaundee Brown Jr.,G-F,23,LAL,2,0,10.5,0.5,3.5,.143,0.0,1.5,.000,0.5,2.0,.250,.143,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
Greg Brown III,SF,20,POR,11,0,4.6,0.6,1.8,.350,0.0,0.4,.000,0.6,1.5,.438,.350,0.2,0.6,.286,0.5,0.8,1.3,0.5,0.2,0.4,0.2,0.6,1.5
Jaylen Brown,SF,25,BOS,16,16,32.6,7.7,16.8,.459,2.7,7.0,.384,5.0,9.8,.513,.539,3.2,4.3,.739,0.6,4.8,5.3,2.6,1.2,0.4,2.7,2.6,21.3
Moses Brown,C,22,DAL,15,1,6.5,1.0,1.7,.577,0.0,0.0,,1.0,1.7,.577,.577,1.5,2.1,.710,0.7,1.3,2.1,0.0,0.2,0.4,0.4,1.0,3.5
Sterling Brown,SG,26,DAL,21,0,13.1,1.1,3.3,.333,0.6,2.2,.261,0.5,1.1,.478,.420,0.2,0.2,1.000,0.7,2.6,3.2,0.7,0.5,0.1,0.8,1.2,3.0
