Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Kevin Durant," SF,PF",BKN ,Healthy,28.3,7.7,6.0,1.7,1.3,.509,1.000,1.3,2.0,3,40.6,7.0,8.7,10.50,3.3
Jayson Tatum," SF,PF",BOS ,Healthy,26.3,7.0,3.7,0.3,1.0,.446,.952,3.0,4.0,3,37.2,6.7,5.3,5.10,2.3
Khris Middleton," SF,PF,SG",MIL ,Healthy,24.7,7.7,8.3,0.0,1.7,.490,1.000,4.0,5.0,3,34.6,4.0,4.3,5.60,3.0
Dejounte Murray," PG,SG",SAS ,Healthy,23.3,6.0,8.7,1.0,2.3,.438,.900,1.7,4.0,3,35.2,3.0,7.7,7.20,2.7
Marcus Morris," PF,C,SF",LAC ,Healthy,23.3,6.0,2.0,0.0,0.0,.479,1.000,2.7,1.0,3,29.9,5.3,5.0,2.50,2.7
Fred VanVleet," PG,SG",TOR ,Healthy,34.5,7.0,7.0,0.5,2.0,.469,1.000,6.0,2.0,2,37.5,5.5,5.5,7.00,0.5
Anfernee Simons," PG,SG",POR ,Healthy,22.7,4.0,8.0,0.3,0.3,.464,.833,3.7,3.7,3,35.8,1.7,5.0,7.00,2.3
Donovan Mitchell," PG,SG",UTH ,Healthy,33.5,2.5,6.5,0.0,1.5,.462,.909,4.5,3.0,2,36.9,5.0,7.5,5.50,5.0
LeBron James," PG,SG,SF,PF",LAL , DTD ,33.5,8.5,8.0,1.5,2.0,.628,1.000,2.0,3.5,2,34.9,4.5,11.5,4.60,4.0
Jaylen Brown," SG,SF",BOS ,Healthy,21.3,11.0,6.0,0.3,0.3,.473,.714,2.3,2.0,3,37.7,1.7,6.3,4.00,2.0
RJ Barrett," SG,SF",NYK ,Healthy,21.0,4.0,4.0,0.3,0.7,.411,.571,3.0,1.3,3,35.5,2.7,4.7,11.00,2.7
Joel Embiid," PF,C",PHI ,Healthy,31.0,10.0,6.5,1.5,0.5,.487,.857,0.0,3.0,2,29.2,12.0,9.5,4.80,2.0
Karl-Anthony Towns, C,MIN ,Healthy,29.5,8.5,6.0,1.5,1.0,.611,.786,2.0,3.0,2,30.1,5.5,9.0,4.80,3.0
Evan Fournier," SG,SF",NYK ,Healthy,29.5,6.5,2.0,0.5,1.5,.541,.625,7.0,2.0,2,31.8,2.5,3.0,2.00,3.5
Jaren Jackson," PF,C",MEM ,Healthy,19.3,8.7,1.3,4.3,1.7,.432,.941,1.3,1.3,3,28.3,5.3,5.0,3.50,3.0
De'Aaron Fox, PG,SAC ,Healthy,18.7,5.3,3.7,0.3,1.0,.431,.688,0.3,2.3,3,34.8,3.7,7.0,5.20,3.0
Christian Wood," PF,C",HOU ,Healthy,18.7,5.7,2.0,1.0,0.7,.512,.533,2.0,0.3,3,29.4,2.7,5.0,1.00,2.0
Nikola Jokic," PF,C",DEN ,Healthy,27.5,14.0,6.5,1.0,1.5,.512,.692,2.0,2.0,2,33.2,4.5,8.5,6.50,1.5
Terry Rozier," PG,SG",CHA ,Healthy,27.5,5.5,4.0,0.0,2.0,.528,.875,5.0,1.5,2,37.0,3.5,4.5,6.00,1.5
Brandon Ingram," SF,PF",NOR ,Healthy,27.0,8.0,5.0,0.0,0.0,.529,.889,1.0,1.5,2,34.9,8.0,8.0,7.00,2.0
Cade Cunningham," PG,SG",DET ,Healthy,17.7,3.0,6.3,0.7,1.0,.360,.833,2.3,2.7,3,33.9,3.3,3.7,10.10,2.7
Lonnie Walker," SG,SF",SAS ,Healthy,17.7,3.7,2.7,0.3,0.7,.380,.769,1.7,1.3,3,26.4,3.3,4.7,7.00,1.3
Domantas Sabonis," PF,C",IND ,Healthy,26.5,14.5,6.5,0.5,1.0,.618,.800,1.5,3.5,2,41.1,4.0,9.0,3.50,2.0
Tyrese Haliburton," PG,SG",SAC ,Healthy,17.3,2.3,7.7,0.7,1.7,.559,.750,2.7,2.0,3,33.4,2.0,3.7,13.20,1.7
Bobby Portis," PF,C",MIL ,Healthy,16.3,12.0,1.7,0.3,0.7,.500,.857,1.0,2.3,3,34.7,2.0,5.7,3.30,3.0
D'Angelo Russell," PG,SG",MIN ,Healthy,24.5,3.0,11.0,0.0,1.5,.731,1.000,4.5,2.0,2,32.1,1.0,5.0,14.00,1.5
Kyle Kuzma," SF,PF",WAS ,Healthy,24.0,16.5,1.5,0.5,1.0,.472,.786,1.5,3.5,2,36.8,5.5,7.0,0.80,1.5
Saddiq Bey, SF,DET ,Healthy,16.0,5.0,1.7,0.3,0.7,.462,.800,2.7,0.7,3,35.1,1.3,3.3,0.50,1.0
Darius Garland," PG,SG",CLE ,Healthy,15.7,2.7,7.0,0.0,1.0,.429,.750,2.7,3.7,3,35.2,1.0,3.3,5.80,1.7
Zach LaVine," SG,SF",CHI ,Healthy,23.5,1.5,2.5,0.0,1.5,.410,1.000,1.5,4.0,2,33.9,6.0,6.5,1.30,2.5
Bradley Beal," SG,SF",WAS , OUT ,23.0,4.5,6.5,0.5,0.5,.444,.900,2.5,3.5,2,35.2,4.5,5.5,4.70,3.0
Evan Mobley," C,PF",CLE ,Healthy,15.3,7.0,3.3,1.7,1.3,.500,.500,0.0,3.0,3,37.3,2.0,6.7,5.10,1.7
Cam Thomas, SG,BKN ,Healthy,15.3,4.7,1.0,0.0,2.0,.514,.833,1.7,2.7,3,28.2,1.7,4.3,2.30,1.3
Robert Covington," PF,C,SF",POR ,Healthy,15.3,6.0,1.0,2.7,2.3,.539,1.000,3.7,2.0,3,34.4,2.3,1.0,1.80,4.3
Immanuel Quickley, PG,NYK ,Healthy,15.3,2.3,4.3,0.3,0.7,.514,.667,2.7,1.7,3,29.1,0.7,3.3,3.50,2.3
Reggie Jackson," PG,SG",LAC ,Healthy,15.3,4.0,2.0,0.0,0.7,.333,1.000,2.0,3.3,3,26.1,3.3,3.0,1.60,3.3
Pascal Siakam," PF,C",TOR ,Healthy,23.0,7.5,6.0,0.5,2.0,.412,.929,2.5,1.5,2,40.7,6.5,4.5,8.50,2.5
