Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
LeBron James," PG,SG,SF,PF",LAL ,Healthy,36.3,8.3,5.0,1.0,2.0,.600,.857,2.3,2.7,3,36.2,6.0,11.7,5.30,1.7
Jaylen Brown," SG,SF",BOS ,Healthy,29.7,5.0,3.3,0.7,1.7,.468,.955,3.3,3.0,3,35.7,7.0,6.3,3.30,3.3
Donovan Mitchell," PG,SG",UTH ,Healthy,27.3,4.7,5.3,0.3,1.0,.424,.826,2.3,2.7,3,35.5,6.3,7.0,6.30,2.0
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,26.3,7.0,7.7,0.7,1.3,.444,.955,0.7,2.3,3,37.6,7.0,8.7,17.40,1.7
Kemba Walker, PG,NYK ,Healthy,25.0,9.0,8.3,0.0,0.3,.417,1.000,4.0,1.0,3,41.1,4.3,4.3,14.50,1.0
Jalen Brunson," PG,SG",DAL ,Healthy,24.7,2.7,6.7,0.3,1.7,.466,.684,2.3,1.7,3,38.4,4.3,6.7,13.00,3.0
Julius Randle," PF,C",NYK ,Healthy,23.0,10.7,2.7,0.3,0.7,.491,.615,2.3,4.3,3,36.0,2.7,6.7,2.00,2.7
Devin Booker," SG,SF,PG",PHO ,Healthy,22.3,6.3,5.7,0.3,1.7,.431,1.000,3.7,3.0,3,35.7,2.0,4.7,6.40,2.7
Khris Middleton," SF,PF,SG",MIL ,Healthy,22.0,3.7,6.7,0.3,1.0,.455,.905,2.3,3.0,3,31.9,6.3,4.3,3.20,2.3
Bojan Bogdanovic," SF,PF",UTH ,Healthy,22.0,2.7,0.3,0.0,1.0,.590,.700,4.3,3.0,3,27.9,2.3,3.3,0.30,3.3
Christian Wood," PF,C",HOU ,Healthy,21.7,10.0,1.0,0.3,0.0,.500,.742,1.3,1.0,3,29.6,7.7,5.0,1.00,1.7
Jrue Holiday," PG,SG",MIL ,Healthy,21.7,5.3,6.7,0.3,3.0,.578,.700,2.0,2.7,3,34.0,2.3,6.7,8.30,2.3
