Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,28,MEM,29,29,24.9,2.6,4.9,.535,0.0,0.0,,2.6,4.9,.535,.535,1.8,2.9,.619,3.9,4.9,8.8,2.6,0.9,0.6,1.8,1.7,7.0
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,16,0,9.8,1.5,4.1,.364,0.2,1.7,.111,1.3,2.4,.538,.386,0.4,0.8,.583,1.0,1.6,2.6,0.8,0.1,0.2,0.3,1.1,3.6
LaMarcus Aldridge,C,36,BRK,25,8,23.6,6.0,10.4,.573,0.4,1.2,.367,5.5,9.2,.600,.594,1.6,1.9,.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0
Nickeil Alexander-Walker,SG,23,NOP,30,18,28.2,5.0,13.8,.366,2.0,6.6,.310,3.0,7.2,.417,.439,1.4,1.9,.732,1.0,2.9,3.9,2.6,1.0,0.4,1.5,1.9,13.5
Grayson Allen,SG,26,MIL,29,29,28.8,4.4,10.1,.435,2.9,7.0,.407,1.5,3.0,.500,.577,1.0,1.2,.857,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.4,12.7
Jarrett Allen,C,23,CLE,27,27,32.7,6.9,9.7,.703,0.0,0.2,.167,6.8,9.5,.716,.705,3.1,4.4,.714,3.3,7.7,11.0,2.0,0.9,1.4,2.0,1.9,16.9
Jose Alvarado,PG,23,NOP,8,0,5.1,0.6,1.6,.385,0.3,0.6,.400,0.4,1.0,.375,.462,0.3,0.4,.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8
Kyle Anderson,PF,28,MEM,25,3,21.8,3.2,7.3,.443,0.8,2.2,.357,2.4,5.1,.480,.497,1.1,1.7,.667,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.4,8.4
Giannis Antetokounmpo,PF,27,MIL,26,26,32.7,9.5,18.0,.529,1.1,3.8,.280,8.5,14.2,.596,.559,6.9,10.1,.681,2.0,9.5,11.6,5.8,1.1,1.6,3.3,3.0,27.0
Thanasis Antetokounmpo,SF,29,MIL,22,5,12.8,1.5,3.0,.478,0.0,0.3,.000,1.5,2.8,.525,.478,0.6,0.9,.650,1.0,2.0,3.1,0.8,0.5,0.2,0.6,1.7,3.5
Carmelo Anthony,PF,37,LAL,29,3,27.6,4.5,10.4,.430,2.4,5.8,.413,2.1,4.7,.452,.545,2.0,2.5,.819,0.8,3.3,4.1,0.9,0.7,0.6,0.8,2.3,13.4
Cole Anthony,PG,21,ORL,23,23,34.1,6.9,16.5,.417,2.8,7.6,.366,4.1,8.9,.461,.501,3.3,3.8,.875,0.6,5.5,6.1,5.6,0.8,0.2,3.0,2.5,19.9
OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,.430,2.7,7.5,.366,4.9,10.2,.477,.508,2.2,2.7,.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
D.J. Augustin,PG,34,HOU,24,2,14.3,1.5,3.4,.451,1.1,2.4,.456,0.5,1.0,.440,.610,0.8,0.9,.909,0.1,1.0,1.1,2.5,0.3,0.0,1.3,0.7,5.0
Deni Avdija,SF,21,WAS,29,2,21.2,2.4,5.7,.421,0.8,2.6,.303,1.6,3.0,.523,.491,0.8,1.2,.686,0.8,4.0,4.8,1.2,0.6,0.8,0.6,2.1,6.4
Joel Ayayi,SG,21,WAS,5,0,2.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,C,23,PHO,19,19,31.6,7.6,12.2,.621,0.1,0.3,.200,7.5,11.9,.630,.623,1.7,2.7,.635,3.0,8.2,11.2,1.5,0.8,0.7,1.8,2.4,16.9
Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
Marvin Bagley III,PF,22,SAC,13,1,19.6,3.2,6.6,.477,0.6,2.2,.286,2.5,4.5,.569,.523,1.2,1.8,.652,2.2,4.5,6.7,0.6,0.2,0.3,0.5,1.2,8.1
LaMelo Ball,PG,20,CHO,24,24,33.3,7.3,17.3,.418,2.9,7.5,.391,4.3,9.9,.439,.502,2.6,2.9,.900,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0
Lonzo Ball,PG,24,CHI,27,27,35.5,4.6,11.2,.413,3.1,7.3,.421,1.6,3.9,.396,.550,0.4,0.6,.706,1.0,4.5,5.5,4.9,1.7,1.0,2.5,2.3,12.8
Mo Bamba,C,23,ORL,27,27,28.7,4.2,9.1,.457,1.3,4.0,.324,2.9,5.1,.561,.528,0.7,0.9,.720,2.3,6.3,8.6,1.7,0.7,2.2,1.4,2.6,10.3
Desmond Bane,SF,23,MEM,29,29,28.9,6.2,13.3,.465,2.7,6.5,.407,3.5,6.8,.520,.565,1.2,1.3,.923,0.5,3.9,4.4,2.3,0.9,0.4,1.4,2.5,16.2
Dalano Banton,SF,22,TOR,27,0,12.7,1.6,3.6,.458,0.2,0.7,.300,1.4,2.8,.500,.490,0.7,0.9,.750,0.7,1.7,2.3,1.8,0.4,0.2,1.0,1.4,4.1
Harrison Barnes,PF,29,SAC,24,24,33.3,5.3,11.6,.459,1.8,4.7,.381,3.5,6.9,.512,.536,5.0,5.9,.845,1.3,5.3,6.6,2.4,0.9,0.1,1.9,1.3,17.5
Scottie Barnes,PF,20,TOR,26,26,36.2,6.2,12.8,.488,0.8,2.2,.368,5.4,10.6,.513,.520,2.2,3.0,.727,3.0,5.3,8.3,3.3,1.1,1.0,1.9,2.8,15.4
RJ Barrett,SF,21,NYK,25,25,31.4,5.4,13.3,.402,1.9,5.3,.353,3.5,8.0,.435,.473,2.5,3.4,.733,0.8,4.8,5.6,2.1,0.4,0.3,1.7,2.0,15.1
Will Barton,SG,31,DEN,24,24,33.3,6.2,14.0,.443,2.5,6.5,.382,3.7,7.5,.497,.533,1.1,1.5,.743,0.6,4.4,5.0,4.2,0.9,0.4,1.8,1.4,16.0
Charles Bassey,PF,21,PHI,12,0,9.0,1.7,2.5,.667,0.0,0.3,.000,1.7,2.3,.741,.667,0.5,0.8,.667,1.0,2.3,3.3,0.2,0.2,1.0,0.3,1.4,3.8
Keita Bates-Diop,SF,26,SAS,21,5,14.4,1.5,3.3,.457,0.1,0.7,.200,1.4,2.6,.527,.479,0.6,0.9,.667,1.0,2.5,3.5,0.5,0.5,0.3,0.8,0.9,3.8
Nicolas Batum,PF,33,LAC,15,14,26.7,3.3,6.5,.515,2.1,4.9,.432,1.2,1.5,.783,.680,0.3,0.7,.500,0.5,4.7,5.2,1.5,1.1,0.8,0.8,1.1,9.1
Kent Bazemore,SF,32,LAL,20,13,18.5,1.4,4.4,.322,0.7,2.3,.311,0.7,2.1,.333,.402,0.5,0.7,.769,0.3,1.6,1.9,0.8,0.9,0.3,0.4,2.2,4.0
Darius Bazley,PF,21,OKC,27,27,27.4,3.2,8.6,.373,1.0,3.6,.281,2.2,5.1,.438,.431,1.1,1.7,.630,0.9,5.4,6.3,1.3,0.9,1.1,1.4,1.0,8.5
Bradley Beal,SG,28,WAS,26,26,36.0,8.8,19.7,.446,1.5,5.5,.271,7.3,14.1,.515,.484,3.6,4.4,.825,1.0,3.7,4.7,5.8,0.8,0.3,3.4,2.3,22.7
Malik Beasley,SG,25,MIN,28,0,25.6,3.9,10.7,.361,2.6,7.8,.341,1.2,2.9,.415,.485,0.6,0.8,.739,0.4,2.8,3.2,1.6,0.6,0.2,0.7,1.2,11.0
DeAndre' Bembry,SF,27,BRK,26,11,19.6,2.4,4.3,.568,0.3,0.8,.409,2.1,3.4,.607,.608,0.4,0.8,.476,0.7,2.5,3.3,1.1,0.9,0.5,0.7,2.3,5.6
Dāvis Bertāns,PF,29,WAS,19,0,16.5,1.8,5.5,.333,1.3,4.4,.298,0.5,1.1,.476,.452,1.1,1.2,.913,0.2,1.6,1.8,0.5,0.4,0.2,0.4,1.7,6.1
Patrick Beverley,PG,33,MIN,20,16,26.1,3.3,7.2,.458,1.3,3.7,.342,2.1,3.6,.577,.545,0.8,1.2,.667,1.3,2.8,4.1,4.7,0.9,0.9,1.2,3.0,8.7
Saddiq Bey,SF,22,DET,26,26,31.7,4.3,12.6,.345,1.8,6.1,.296,2.5,6.5,.391,.416,1.4,1.9,.735,1.8,4.0,5.8,2.3,1.0,0.2,1.4,1.7,11.9
Khem Birch,C,29,TOR,15,3,22.9,2.7,5.3,.500,0.0,0.4,.000,2.7,4.9,.541,.500,1.6,2.2,.727,3.2,2.5,5.7,1.3,1.0,0.5,0.6,1.8,6.9
Goga Bitadze,C,22,IND,17,0,8.4,0.9,2.9,.300,0.2,1.5,.160,0.6,1.5,.440,.340,0.6,1.0,.647,1.1,1.3,2.4,0.2,0.5,0.6,0.4,1.6,2.6
