Name,Team,Position,Total Points,Average Points
Kyle Anderson,MEM,"SF, PF",699,22.5
Pat Connaughton,MIL,"SG, SF",909,25.3
T.J. Warren,IND,SF,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Thomas Bryant,WSH,C,0,0.0
John Wall,HOU,PG,0,0.0
Alec Burks,NY,"SG, PG",749,22.7
Alperen Sengun,HOU,C,743,21.9
JaVale McGee,PHX,C,731,22.2
Terance Mann,LAC,SF,695,21.1
Jarred Vanderbilt,MIN,PF,708,24.4
Grayson Allen,MIL,SG,747,22.6
Jae Crowder,PHX,"PF, SF",683,21.3
Cameron Johnson,PHX,SF,717,21.7
James Wiseman,GS,C,0,0.0
Kevin Huerter,ATL,"SG, SF",568,20.3
Cody Martin,CHA,SF,775,25.8
Blake Griffin,BKN,PF,420,17.5
Talen Horton-Tucker,LAL,"SG, SF",396,20.8
De'Anthony Melton,MEM,"PG, SG",775,25.8
Otto Porter,GS,SF,588,20.3
Coby White,CHI,PG,153,11.8
Patrick Beverley,MIN,PG,622,27.0
Darius Bazley,OKC,"SF, PF",673,21.7
Royce O'Neale,UTAH,"SF, PF",748,24.1
Victor Oladipo,MIA,SG,0,0.0
DeMarcus Cousins,MIL,C,247,19.0
Markelle Fultz,ORL,PG,0,0.0
Gary Harris,ORL,SG,502,17.9
Larry Nance,POR,PF,649,19.7
De'Andre Hunter,ATL,"SF, PF",173,15.7
Luke Kennard,LAC,SG,712,21.6
Devin Vassell,SA,"SG, SF",653,23.3
Delon Wright,ATL,"SG, PG",406,13.5
Matisse Thybulle,PHI,"SF, SG",540,20.0
Isaac Okoro,CLE,SF,440,18.3
Nic Claxton,BKN,"C, PF",266,20.5
Nicolas Batum,LAC,"SF, SG",434,22.8
Rui Hachimura,WSH,"PF, SF",0,0.0
Dwight Howard,LAL,C,419,15.5
Malik Monk,LAL,SG,610,20.3
Gary Payton,GS,PG,623,20.1
Gabe Vincent,MIA,PG,582,18.2
Kentavious Caldwell-Pope,WSH,"SG, SF",686,22.1
Danny Green,PHI,"SG, SF",495,20.6
Max Strus,MIA,SG,501,18.6
Serge Ibaka,LAC,"C, PF",188,12.5
Nassir Little,POR,"SF, PF",603,21.5
Doug McDermott,SA,"SF, PF",444,17.8
Precious Achiuwa,TOR,"PF, C",428,19.5
Lonnie Walker,SA,"SF, SG",622,19.4
Chimezie Metu,SAC,C,467,21.2
Anfernee Simons,POR,"SG, PG",547,18.9
Terrence Ross,ORL,"SG, SF",475,17.0
Davion Mitchell,SAC,PG,577,19.9
P.J. Tucker,MIA,"SF, PF",656,21.2
Deni Avdija,WSH,SF,657,19.3
Isaiah Roby,OKC,"PF, C",176,11.7
Patrick Williams,CHI,"SF, PF",72,14.4
Tyus Jones,MEM,PG,692,20.4
Nerlens Noel,NY,C,326,19.2
Herbert Jones,NO,SF,698,21.8
Enes Freedom,BOS,C,256,12.2
Shake Milton,PHI,"PG, SG",543,21.7
Hamidou Diallo,DET,SG,439,17.6
Immanuel Quickley,NY,PG,545,18.2
Goran Dragic,TOR,PG,90,18.0
Garrison Mathews,HOU,"SG, SF",420,21.0
Danilo Gallinari,ATL,"PF, SF",478,18.4
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Caleb Martin,MIA,"SG, SF",456,18.2
Isaiah Thomas,DAL,PG,42,10.5
Willy Hernangomez,NO,C,378,18.9
Rudy Gay,UTAH,PF,297,15.6
DeAndre Jordan,LAL,C,405,15.0
Payton Pritchard,BOS,PG,278,9.9
Chuma Okeke,ORL,PF,470,17.4
Cedi Osman,CLE,SF,579,22.3
Andre Iguodala,GS,"SF, SG",324,19.1
Cameron Payne,PHX,PG,526,18.8
Jeff Green,DEN,PF,541,16.4
Rajon Rondo,LAL,PG,220,12.2
D.J. Wilson,TOR,PF,69,34.5
Aleksej Pokusevski,OKC,PF,334,10.8
Bruce Brown,BKN,SG,503,19.3
Jordan Nwora,MIL,SF,434,15.5
Kevon Looney,GS,PF,624,18.4
Yuta Watanabe,TOR,SF,222,18.5
Obi Toppin,NY,PF,482,16.6
Justin Holiday,IND,"SG, SF",496,17.7
Terence Davis,SAC,SG,366,16.6
Nemanja Bjelica,GS,PF,535,15.7
Dewayne Dedmon,MIA,C,545,16.5
Josh Richardson,BOS,"SG, SF",445,20.2
Moses Brown,DAL,C,130,6.8
Kendrick Nunn,LAL,SG,0,0.0
Khem Birch,TOR,C,290,19.3
Naz Reid,MIN,C,536,17.3
Dwight Powell,DAL,C,515,15.6
Jalen McDaniels,CHA,PF,427,15.3
George Hill,MIL,"PG, SG",518,17.3
Tristan Thompson,SAC,"C, PF",366,14.1
Georges Niang,PHI,PF,565,18.8
Kenrich Williams,OKC,SF,517,17.2
Grant Williams,BOS,PF,504,17.4
Jonathan Kuminga,GS,"SF, PF",167,7.3
Furkan Korkmaz,PHI,SG,494,16.5
Jeremy Lamb,IND,"SG, SF",355,13.7
Kenyon Martin,HOU,SF,537,16.8
Onyeka Okongwu,ATL,C,87,29.0
Tacko Fall,CLE,C,49,5.4
Frank Jackson,DET,PG,487,15.2
Frank Kaminsky,PHX,"C, PF",221,24.6
James Bouknight,CHA,SG,95,5.9
Derrick Favors,OKC,"C, PF",355,14.2
Jaxson Hayes,NO,C,279,12.1
Bol Bol,DEN,C,45,4.5
Lou Williams,ATL,SG,254,10.6
Maxi Kleber,DAL,PF,380,19.0
Damion Lee,GS,"SF, SG",366,14.6
Josh Jackson,DET,"SF, SG",319,12.8
Quentin Grimes,NY,SG,140,10.8
Davis Bertans,WSH,PF,248,10.3
Marc Gasol,LAL,C,0,0.0
Bones Hyland,DEN,PG,350,14.6
Paul Millsap,BKN,PF,209,9.1
Ish Smith,CHA,PG,271,11.8
Jeremiah Robinson-Earl,OKC,"PF, C",504,15.8
R.J. Hampton,ORL,PG,445,14.4
Tomas Satoransky,NO,"PG, SG",236,7.9
Cory Joseph,DET,PG,460,17.0
Juan Toscano-Anderson,GS,"PF, SF",471,14.3
Cam Thomas,BKN,SG,244,10.6
Reggie Bullock,DAL,"SF, SG",266,9.9
Bryn Forbes,SA,"SG, PG",351,11.3
Brandon Boston,LAC,SG,215,10.8
Jaylen Nowell,MIN,SG,262,13.1
Nathan Knight,MIN,C,139,9.3
Thanasis Antetokounmpo,MIL,SF,220,9.2
Josh Christopher,HOU,SG,307,11.4
Landry Shamet,PHX,SG,426,13.3
DeAndre' Bembry,BKN,SF,479,17.1
Armoni Brooks,HOU,PG,433,14.4
Robin Lopez,ORL,C,271,15.9
Ayo Dosunmu,CHI,SG,314,11.6
Kent Bazemore,LAL,"SG, SF",236,11.2
Willie Cauley-Stein,DAL,C,109,6.1
Dennis Smith,POR,PG,265,16.6
Raul Neto,WSH,PG,471,15.2
Luka Garza,DET,C,161,8.1
Sterling Brown,DAL,"SG, SF",257,10.3
