Name,Team,Position,Total Points,Average Points
Buddy Hield,SAC,"SG, SF",893,25.5
Kyrie Irving,BKN,"PG, SG",0,0.0
Norman Powell,POR,"SG, SF",794,27.4
Ben Simmons,PHI,PG,0,0.0
RJ Barrett,NY,"SF, SG",594,22.0
Dennis Schroder,BOS,PG,780,26.9
Jordan Poole,GS,"SG, PG",811,29.0
Ivica Zubac,LAC,C,861,25.3
Nickeil Alexander-Walker,NO,SG,744,23.3
Jalen Green,HOU,SG,401,20.1
Reggie Jackson,LAC,PG,832,26.8
Jordan Clarkson,UTAH,SG,758,23.0
P.J. Washington,CHA,"PF, C",560,26.7
Tim Hardaway,DAL,"SG, SF",751,25.9
Bojan Bogdanovic,UTAH,"PF, SF",821,24.9
Isaiah Stewart,DET,"C, PF",621,22.2
Chris Boucher,TOR,"C, PF",513,17.7
Evan Fournier,NY,"SG, SF",731,21.5
Robert Covington,POR,"PF, SF",704,22.0
Michael Porter,DEN,"SF, PF",183,20.3
Bogdan Bogdanovic,ATL,"SG, SF",528,22.0
Joe Ingles,UTAH,"SF, SG, PF",655,19.8
Josh Giddey,OKC,"PG, SG",851,28.4
Collin Sexton,CLE,"SG, PG",222,20.2
Aaron Gordon,DEN,"PF, SF",799,26.6
Lauri Markkanen,CLE,"PF, SF",602,24.1
Malik Beasley,MIN,"SG, SF",697,20.5
Thaddeus Young,SA,"PF, SF, C",384,17.5
Jonathan Isaac,ORL,"PF, SF",0,0.0
Steven Adams,MEM,C,833,23.8
Derrick Rose,NY,PG,659,25.3
Marvin Bagley,SAC,PF,238,15.9
Andre Drummond,PHI,C,681,23.5
Daniel Theis,HOU,"C, PF",366,17.4
Donte DiVincenzo,MIL,"SG, PG",20,10.0
Dillon Brooks,MEM,"SG, SF",540,28.4
Brook Lopez,MIL,C,28,28.0
Hassan Whiteside,UTAH,C,610,19.7
Alex Caruso,CHI,"PG, SG",693,26.7
Killian Hayes,DET,PG,457,19.0
LaMarcus Aldridge,BKN,"PF, C",696,27.8
Joe Harris,BKN,"SG, SF",274,19.6
Brandon Clarke,MEM,"PF, C",415,19.8
Kawhi Leonard,LAC,"SF, PF",0,0.0
T.J. McConnell,IND,PG,596,24.8
Jae'Sean Tate,HOU,"SF, PF",861,26.1
Monte Morris,DEN,PG,830,25.9
Mason Plumlee,CHA,C,624,24.0
Jamal Murray,DEN,"PG, SG",0,0.0
