Name,Team,Position,Total Points,Average Points
Kenrich Williams,OKC,SF,628,17.4
Tacko Fall,CLE,C,50,5.0
Aaron Wiggins,OKC,SG,349,15.9
James Bouknight,CHA,SG,100,5.6
Robin Lopez,ORL,C,305,16.9
Tristan Thompson,SAC,"C, PF",390,13.0
Lou Williams,ATL,SG,282,10.4
Grant Williams,BOS,PF,615,16.6
Derrick Favors,OKC,"C, PF",391,13.0
Damion Lee,GS,"SF, SG",451,15.0
Frank Kaminsky,PHX,"C, PF",221,24.6
Cory Joseph,DET,PG,521,18.0
Reggie Bullock,DAL,"SF, SG",425,12.5
Marc Gasol,LAL,C,0,0.0
Ziaire Williams,MEM,SG,263,10.5
Davis Bertans,WSH,PF,314,10.8
Ben McLemore,POR,SG,326,13.6
Bryn Forbes,SA,"SG, PG",515,13.2
Jeremiah Robinson-Earl,OKC,"PF, C",589,15.9
Paul Millsap,BKN,PF,241,10.0
Ish Smith,CHA,PG,320,11.9
Ayo Dosunmu,CHI,SG,452,12.9
Tomas Satoransky,NO,"PG, SG",267,8.6
Alex Len,SAC,C,445,15.9
Bones Hyland,DEN,PG,413,13.8
Juan Toscano-Anderson,GS,"PF, SF",548,14.1
Thanasis Antetokounmpo,MIL,SF,239,8.9
Josh Christopher,HOU,SG,465,13.3
Jaylen Nowell,MIN,SG,419,15.5
Kent Bazemore,LAL,"SG, SF",252,10.5
Lamar Stevens,CLE,PF,280,10.0
Willie Cauley-Stein,DAL,C,109,6.1
Landry Shamet,PHX,SG,507,14.1
R.J. Hampton,ORL,PG,551,14.5
