Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Fred VanVleet," PG,SG",TOR ,Healthy,33.0,3.7,7.0,0.3,1.7,.493,.938,6.0,0.3,3,34.0,5.0,5.0,9.00,2.3
Ja Morant, PG,MEM ,Healthy,30.7,5.7,7.3,0.7,0.7,.574,.773,1.7,1.7,3,33.1,5.7,10.0,5.70,0.7
Trae Young, PG,ATL , OUT ,45.5,4.0,12.5,0.0,0.5,.519,.920,6.0,2.5,2,39.6,11.5,8.0,14.50,3.0
Donovan Mitchell," PG,SG",UTH ,Healthy,29.3,5.0,6.3,0.3,2.0,.458,.913,4.3,3.3,3,36.3,7.0,4.7,7.20,3.0
DeMar DeRozan," SF,PF,SG",CHI ,Healthy,28.3,5.0,4.3,0.0,1.3,.414,.714,0.7,3.3,3,35.4,8.3,9.0,4.00,3.0
Jimmy Butler," SF,PF,SG",MIA , OUT ,26.7,4.0,3.3,0.7,0.3,.491,1.000,1.7,1.3,3,33.0,6.3,7.7,4.00,0.0
Zach LaVine," SG,SF",CHI ,Healthy,26.3,4.7,2.3,0.7,0.7,.448,1.000,3.7,3.7,3,36.1,5.3,5.0,1.80,2.0
Devin Booker," SG,SF,PG",PHO ,Healthy,26.3,7.3,3.7,0.0,0.7,.406,1.000,2.3,2.3,3,32.8,5.3,7.0,5.00,3.3
RJ Barrett," SG,SF",NYK ,Healthy,25.7,6.3,3.0,0.0,1.3,.519,.667,1.7,3.3,3,35.7,5.3,7.7,3.10,2.3
Jaylen Brown," SG,SF",BOS ,Healthy,37.0,11.0,3.5,1.0,0.5,.551,.857,4.0,6.5,2,41.0,6.0,9.5,1.10,4.0
Kevin Love," PF,C",CLE ,Healthy,24.3,9.7,3.3,0.0,0.3,.449,.833,4.7,1.3,3,29.3,5.0,2.7,9.00,0.7
Anthony Edwards," SG,SF",MIN ,Healthy,24.0,4.0,3.3,0.7,0.7,.474,.750,3.0,4.7,3,34.0,3.0,6.0,2.50,3.3
Domantas Sabonis," PF,C",IND ,Healthy,23.7,11.7,5.7,1.0,0.3,.605,.700,1.3,3.0,3,39.4,7.0,6.3,5.60,2.7
Giannis Antetokounmpo," PF,C",MIL , OUT ,33.0,13.0,8.5,0.0,1.5,.590,.720,1.0,3.5,2,33.9,9.0,10.5,4.80,3.0
Bojan Bogdanovic," SF,PF",UTH ,Healthy,21.7,7.0,1.0,0.0,0.3,.467,.917,4.0,2.3,3,34.8,3.7,3.0,0.90,1.0
