Name,Team,Position,Total Points,Average Points
Lonnie Walker,SA,"SF, SG",559,19.3
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Gabe Vincent,MIA,PG,492,17.0
Shake Milton,PHI,"PG, SG",547,21.9
Patrick Williams,CHI,"SF, PF",72,14.4
Jordan Nwora,MIL,SF,377,14.5
Isaiah Roby,OKC,"PF, C",156,12.0
DeMarcus Cousins,MIL,C,133,14.8
Cedi Osman,CLE,SF,559,22.4
Herbert Jones,NO,SF,592,20.4
Goran Dragic,TOR,PG,90,18.0
Cameron Payne,PHX,PG,479,19.2
Max Strus,MIA,SG,443,17.7
DeAndre Jordan,LAL,C,396,15.2
Gary Payton,GS,PG,531,19.0
Rudy Gay,UTAH,PF,259,16.2
Gary Harris,ORL,SG,386,16.1
Immanuel Quickley,NY,PG,526,18.1
Willy Hernangomez,NO,C,348,20.5
Nassir Little,POR,"SF, PF",550,20.4
Jeff Green,DEN,PF,487,16.8
Andre Iguodala,GS,"SF, SG",320,20.0
Rajon Rondo,LAL,PG,212,12.5
Malik Monk,LAL,SG,528,18.9
Aleksej Pokusevski,OKC,PF,326,11.6
Nic Claxton,BKN,"C, PF",188,17.1
Justin Holiday,IND,"SG, SF",455,17.5
Kevon Looney,GS,PF,558,18.0
Terence Davis,SAC,SG,317,15.9
Nemanja Bjelica,GS,PF,487,15.7
Tristan Thompson,SAC,"C, PF",343,14.3
Obi Toppin,NY,PF,435,16.7
Moses Brown,DAL,C,108,6.8
Kendrick Nunn,LAL,SG,0,0.0
Khem Birch,TOR,C,290,19.3
Deni Avdija,WSH,SF,572,18.5
Josh Richardson,BOS,"SG, SF",445,20.2
George Hill,MIL,"PG, SG",464,17.8
Kenrich Williams,OKC,SF,457,17.6
Georges Niang,PHI,PF,515,18.4
Kessler Edwards,BKN,SF,95,19.0
Robin Lopez,ORL,C,203,15.6
Bruce Brown,BKN,SG,446,18.6
Naz Reid,MIN,C,493,17.0
Cam Thomas,BKN,SG,244,10.6
Bones Hyland,DEN,PG,323,16.2
Jonathan Kuminga,GS,"SF, PF",140,7.0
Hamidou Diallo,DET,SG,366,15.9
Dwight Powell,DAL,C,449,15.0
Furkan Korkmaz,PHI,SG,447,16.6
Jeremy Lamb,IND,"SG, SF",319,12.8
David Duke,BKN,SG,114,22.8
Onyeka Okongwu,ATL,C,18,18.0
Maxi Kleber,DAL,PF,380,19.0
Frank Kaminsky,PHX,"C, PF",221,24.6
James Bouknight,CHA,SG,86,5.7
Damion Lee,GS,"SF, SG",366,14.6
Grant Williams,BOS,PF,479,17.1
Derrick Favors,OKC,"C, PF",320,13.9
Lou Williams,ATL,SG,254,10.6
Bol Bol,DEN,C,45,4.5
Tacko Fall,CLE,C,11,1.6
Josh Christopher,HOU,SG,263,11.4
Jaxson Hayes,NO,C,224,11.2
Frank Jackson,DET,PG,432,14.4
Jaden McDaniels,MIN,SF,451,16.1
Caleb Martin,MIA,"SG, SF",402,17.5
Josh Jackson,DET,"SF, SG",310,12.9
Marc Gasol,LAL,C,0,0.0
Davis Bertans,WSH,PF,192,9.1
Saben Lee,DET,PG,237,15.8
Paul Millsap,BKN,PF,198,9.4
Ish Smith,CHA,PG,227,10.8
Landry Shamet,PHX,SG,408,14.1
Tomas Satoransky,NO,"PG, SG",192,7.1
Jeremiah Robinson-Earl,OKC,"PF, C",434,15.0
Reggie Bullock,DAL,"SF, SG",266,9.9
Dennis Smith,POR,PG,265,16.6
Bryn Forbes,SA,"SG, PG",341,11.8
Armoni Brooks,HOU,PG,371,14.3
Cory Joseph,DET,PG,415,16.0
Juan Toscano-Anderson,GS,"PF, SF",413,13.8
Thanasis Antetokounmpo,MIL,SF,219,10.0
Kent Bazemore,LAL,"SG, SF",236,11.2
Javonte Green,CHI,SG,372,14.9
Raul Neto,WSH,PG,461,15.4
Willie Cauley-Stein,DAL,C,109,6.1
Ayo Dosunmu,CHI,SG,290,11.6
Jalen McDaniels,CHA,PF,382,14.7
Trevor Ariza,LAL,SF,37,18.5
Derrick Jones,CHI,SF,381,16.6
Payton Pritchard,BOS,PG,182,7.3
Dean Wade,CLE,PF,286,13.6
Yuta Watanabe,TOR,SF,166,16.6
Kira Lewis,NO,PG,257,10.7
Moses Moody,GS,SG,72,3.4
R.J. Hampton,ORL,PG,382,13.2
