Name,Team,Position,Total Points,Average Points
Kyrie Irving,BKN,"PG, SG",0,0.0
Spencer Dinwiddie,WSH,"SG, PG",649,25.0
Ben Simmons,PHI,PG,0,0.0
Kyle Kuzma,WSH,"PF, SF",781,26.9
RJ Barrett,NY,"SF, SG",570,22.8
Jordan Poole,GS,"SG, PG",811,29.0
Nickeil Alexander-Walker,NO,SG,744,23.3
Tim Hardaway,DAL,"SG, SF",751,25.9
P.J. Washington,CHA,"PF, C",513,25.7
Isaiah Stewart,DET,"C, PF",623,22.3
Ivica Zubac,LAC,C,774,25.0
Jordan Clarkson,UTAH,SG,675,22.5
Bojan Bogdanovic,UTAH,"PF, SF",747,24.9
Jalen Green,HOU,SG,321,17.8
Robert Covington,POR,"PF, SF",704,22.0
Mitchell Robinson,NY,C,707,25.3
Chris Boucher,TOR,"C, PF",427,15.8
Eric Bledsoe,LAC,"PG, SG",686,22.1
Evan Fournier,NY,"SG, SF",676,21.8
Michael Porter,DEN,"SF, PF",183,20.3
Bogdan Bogdanovic,ATL,"SG, SF",452,22.6
Joe Ingles,UTAH,"SF, SG, PF",576,19.2
Derrick Rose,NY,PG,659,25.3
Aaron Gordon,DEN,"PF, SF",779,26.9
Collin Sexton,CLE,"SG, PG",222,20.2
Lauri Markkanen,CLE,"PF, SF",531,24.1
Thaddeus Young,SA,"PF, SF, C",384,17.5
Jonathan Isaac,ORL,"PF, SF",0,0.0
Andre Drummond,PHI,C,681,23.5
Steven Adams,MEM,C,745,23.3
Marvin Bagley,SAC,PF,214,16.5
Daniel Theis,HOU,"C, PF",360,18.0
Alex Caruso,CHI,"PG, SG",693,26.7
Malik Beasley,MIN,"SG, SF",601,19.4
Donte DiVincenzo,MIL,"SG, PG",0,0.0
Brook Lopez,MIL,C,28,28.0
Hassan Whiteside,UTAH,C,541,19.3
LaMarcus Aldridge,BKN,"PF, C",696,27.8
Killian Hayes,DET,PG,457,19.0
Joe Harris,BKN,"SG, SF",274,19.6
Kawhi Leonard,LAC,"SF, PF",0,0.0
T.J. McConnell,IND,PG,596,24.8
Brandon Clarke,MEM,"PF, C",377,19.8
Patty Mills,BKN,PG,708,23.6
Kyle Anderson,MEM,"SF, PF",639,22.8
Jamal Murray,DEN,"PG, SG",0,0.0
Mason Plumlee,CHA,C,554,23.1
Pat Connaughton,MIL,"SG, SF",823,25.7
Alec Burks,NY,"SG, PG",697,23.2
Chris Duarte,IND,SG,669,22.3
T.J. Warren,IND,SF,0,0.0
Dorian Finney-Smith,DAL,"SF, PF",746,24.9
Thomas Bryant,WSH,C,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Duncan Robinson,MIA,"SG, SF",662,20.7
Jarred Vanderbilt,MIN,PF,708,24.4
Jae Crowder,PHX,"PF, SF",645,21.5
Alperen Sengun,HOU,C,661,22.0
John Wall,HOU,PG,0,0.0
Kevin Huerter,ATL,"SG, SF",568,20.3
JaVale McGee,PHX,C,687,22.9
James Wiseman,GS,C,0,0.0
De'Anthony Melton,MEM,"PG, SG",737,25.4
Talen Horton-Tucker,LAL,"SG, SF",360,22.5
Blake Griffin,BKN,PF,392,17.8
Terance Mann,LAC,SF,634,21.1
Darius Bazley,OKC,"SF, PF",608,21.0
Royce O'Neale,UTAH,"SF, PF",704,25.1
Marcus Morris,LAC,"PF, SF",299,23.0
Patrick Beverley,MIN,PG,609,27.7
Luke Kennard,LAC,SG,695,22.4
Victor Oladipo,MIA,SG,0,0.0
Coby White,CHI,PG,120,10.9
Garrison Mathews,HOU,"SG, SF",397,22.1
Isaiah Thomas,LAL,PG,34,11.3
Markelle Fultz,ORL,PG,0,0.0
Cameron Johnson,PHX,SF,608,20.3
Cam Reddish,ATL,"SF, SG",443,17.7
Devin Vassell,SA,"SG, SF",601,24.0
De'Andre Hunter,ATL,"SF, PF",173,15.7
Nicolas Batum,LAC,"SF, SG",410,24.1
Kentavious Caldwell-Pope,WSH,"SG, SF",686,22.1
Delon Wright,ATL,"SG, PG",308,11.4
Dewayne Dedmon,MIA,C,546,17.1
Tyus Jones,MEM,PG,669,21.6
Larry Nance,POR,PF,628,19.6
Isaac Okoro,CLE,SF,432,18.8
Dwight Howard,LAL,C,394,15.8
Chuma Okeke,ORL,PF,423,16.9
Danny Green,PHI,"SG, SF",491,20.5
Otto Porter,GS,SF,495,19.0
Matisse Thybulle,PHI,"SF, SG",477,19.9
Rui Hachimura,WSH,"PF, SF",0,0.0
Anfernee Simons,POR,"SG, PG",534,19.1
P.J. Tucker,MIA,"SF, PF",656,21.2
Precious Achiuwa,TOR,"PF, C",428,19.5
Serge Ibaka,LAC,"C, PF",117,9.8
Nerlens Noel,NY,C,326,19.2
Terrence Ross,ORL,"SG, SF",475,17.0
Doug McDermott,SA,"SF, PF",376,17.1
Davion Mitchell,SAC,PG,577,19.9
Danilo Gallinari,ATL,"PF, SF",478,18.4
Enes Freedom,BOS,C,242,12.1
