Name,Team,Position,Total Points,Average Points
Bismack Biyombo,PHX,C,94,23.5
Jaden McDaniels,MIN,SF,688,18.1
Jordan Nwora,MIL,SF,562,17.0
Furkan Korkmaz,PHI,SG,630,17.5
Obi Toppin,NY,PF,572,15.5
Cameron Payne,PHX,PG,661,18.9
Nemanja Bjelica,GS,PF,603,15.1
Deni Avdija,WSH,SF,793,18.9
Kendrick Nunn,LAL,SG,0,0.0
Moses Brown,DAL,C,144,5.8
Naz Reid,MIN,C,684,18.0
Khem Birch,TOR,C,384,17.5
Dennis Smith,POR,PG,366,16.6
Chimezie Metu,SAC,C,613,21.9
Josh Jackson,DET,"SF, SG",456,14.7
Isaiah Thomas,DAL,PG,54,10.8
Bruce Brown,BKN,SG,590,19.0
Cam Thomas,BKN,SG,350,12.1
Georges Niang,PHI,PF,628,17.4
Terence Davis,SAC,SG,380,15.2
Willy Hernangomez,NO,C,402,18.3
Jonathan Kuminga,GS,"SF, PF",201,7.4
George Hill,MIL,"PG, SG",563,17.1
Gabe Vincent,MIA,PG,612,18.5
Jeremy Lamb,IND,"SG, SF",381,13.1
Dewayne Dedmon,MIA,C,567,16.7
Aaron Wiggins,OKC,SG,329,15.7
Kenyon Martin,HOU,SF,695,17.4
Jaxson Hayes,NO,C,389,13.4
Kenrich Williams,OKC,SF,628,17.4
Tacko Fall,CLE,C,50,5.0
James Bouknight,CHA,SG,100,5.6
Tristan Thompson,SAC,"C, PF",390,13.0
Grant Williams,BOS,PF,615,16.6
Lou Williams,ATL,SG,282,10.4
Derrick Favors,OKC,"C, PF",391,13.0
Reggie Bullock,DAL,"SF, SG",425,12.5
Frank Kaminsky,PHX,"C, PF",221,24.6
Damion Lee,GS,"SF, SG",433,14.9
Marc Gasol,LAL,C,0,0.0
Davis Bertans,WSH,PF,314,10.8
Alex Len,SAC,C,445,15.9
Ayo Dosunmu,CHI,SG,452,12.9
Jeremiah Robinson-Earl,OKC,"PF, C",575,16.0
Paul Millsap,BKN,PF,209,9.1
Cory Joseph,DET,PG,521,18.0
Bryn Forbes,SA,"SG, PG",515,13.2
Ish Smith,CHA,PG,320,11.9
Tomas Satoransky,NO,"PG, SG",267,8.6
Ziaire Williams,MEM,SG,255,10.6
Jaylen Nowell,MIN,SG,419,15.5
Day'Ron Sharpe,BKN,C,166,11.1
Bones Hyland,DEN,PG,387,13.3
Josh Christopher,HOU,SG,465,13.3
Juan Toscano-Anderson,GS,"PF, SF",528,13.9
Thanasis Antetokounmpo,MIL,SF,232,8.9
Kent Bazemore,LAL,"SG, SF",252,10.5
Ben McLemore,POR,SG,288,12.5
Willie Cauley-Stein,DAL,C,109,6.1
Landry Shamet,PHX,SG,507,14.1
R.J. Hampton,ORL,PG,551,14.5
Derrick Jones,CHI,SF,480,15.5
DeAndre' Bembry,BKN,SF,629,17.5
Payton Pritchard,BOS,PG,307,9.6
