Name,Team,Position,Total Points,Average Points
Cole Anthony,ORL,PG,799,34.7
Kyrie Irving,BKN,"PG, SG",0,0.0
Spencer Dinwiddie,WSH,"SG, PG",649,25.0
Kyle Kuzma,WSH,"PF, SF",781,26.9
Ben Simmons,PHI,PG,0,0.0
Jordan Poole,GS,"SG, PG",811,29.0
RJ Barrett,NY,"SF, SG",570,22.8
Nickeil Alexander-Walker,NO,SG,704,22.7
Tim Hardaway,DAL,"SG, SF",751,25.9
Kemba Walker,NY,PG,460,24.2
Isaiah Stewart,DET,"C, PF",598,22.1
Ivica Zubac,LAC,C,741,24.7
Jalen Green,HOU,SG,321,17.8
Mitchell Robinson,NY,C,656,24.3
Robert Covington,POR,"PF, SF",682,22.0
Eric Bledsoe,LAC,"PG, SG",670,22.3
Chris Boucher,TOR,"C, PF",427,15.8
Michael Porter,DEN,"SF, PF",183,20.3
Saddiq Bey,DET,SF,697,24.0
Evan Fournier,NY,"SG, SF",642,21.4
Bogdan Bogdanovic,ATL,"SG, SF",452,22.6
Derrick Rose,NY,PG,659,25.3
Aaron Gordon,DEN,"PF, SF",779,26.9
Joe Ingles,UTAH,"SF, SG, PF",560,19.3
Collin Sexton,CLE,"SG, PG",222,20.2
Lauri Markkanen,CLE,"PF, SF",531,24.1
Thaddeus Young,SA,"PF, SF, C",384,17.5
Jonathan Isaac,ORL,"PF, SF",0,0.0
Andre Drummond,PHI,C,681,23.5
Steven Adams,MEM,C,729,23.5
Marvin Bagley,SAC,PF,214,16.5
Alex Caruso,CHI,"PG, SG",688,27.5
Daniel Theis,HOU,"C, PF",360,18.0
Donte DiVincenzo,MIL,"SG, PG",0,0.0
Brook Lopez,MIL,C,28,28.0
Malik Beasley,MIN,"SG, SF",573,19.1
Hassan Whiteside,UTAH,C,519,19.2
LaMarcus Aldridge,BKN,"PF, C",696,27.8
Killian Hayes,DET,PG,457,19.0
Joe Harris,BKN,"SG, SF",274,19.6
T.J. McConnell,IND,PG,596,24.8
Kawhi Leonard,LAC,"SF, PF",0,0.0
Brandon Clarke,MEM,"PF, C",377,19.8
Patty Mills,BKN,PG,712,23.7
Jamal Murray,DEN,"PG, SG",0,0.0
Mason Plumlee,CHA,C,531,23.1
Pat Connaughton,MIL,"SG, SF",823,25.7
Jarred Vanderbilt,MIN,PF,708,24.4
Chris Duarte,IND,SG,633,21.8
T.J. Warren,IND,SF,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Thomas Bryant,WSH,C,0,0.0
Kevin Love,CLE,PF,547,23.8
Duncan Robinson,MIA,"SG, SF",625,20.2
Alperen Sengun,HOU,C,649,22.4
John Wall,HOU,PG,0,0.0
Jae Crowder,PHX,"PF, SF",637,22.0
Grayson Allen,MIL,SG,715,23.8
Kevin Huerter,ATL,"SG, SF",568,20.3
De'Anthony Melton,MEM,"PG, SG",717,25.6
Dorian Finney-Smith,DAL,"SF, PF",707,24.4
James Wiseman,GS,C,0,0.0
Patrick Beverley,MIN,PG,609,27.7
Blake Griffin,BKN,PF,392,17.8
Marcus Morris,LAC,"PF, SF",299,23.0
JaVale McGee,PHX,C,662,22.8
Royce O'Neale,UTAH,"SF, PF",684,25.3
Talen Horton-Tucker,LAL,"SG, SF",365,24.3
Terance Mann,LAC,SF,605,20.9
Darius Bazley,OKC,"SF, PF",582,20.8
Victor Oladipo,MIA,SG,0,0.0
Garrison Mathews,HOU,"SG, SF",384,22.6
P.J. Tucker,MIA,"SF, PF",656,21.2
Isaiah Thomas,LAL,PG,36,18.0
Kentavious Caldwell-Pope,WSH,"SG, SF",686,22.1
Devin Vassell,SA,"SG, SF",582,24.3
Coby White,CHI,PG,87,8.7
Markelle Fultz,ORL,PG,0,0.0
Cameron Johnson,PHX,SF,573,19.8
De'Andre Hunter,ATL,"SF, PF",173,15.7
Cam Reddish,ATL,"SF, SG",443,17.7
Nicolas Batum,LAC,"SF, SG",408,25.5
Anfernee Simons,POR,"SG, PG",533,19.7
Dewayne Dedmon,MIA,C,523,16.9
Delon Wright,ATL,"SG, PG",308,11.4
Isaac Okoro,CLE,SF,432,18.8
Danny Green,PHI,"SG, SF",457,19.9
Dwight Howard,LAL,C,394,15.8
Matisse Thybulle,PHI,"SF, SG",451,19.6
Rui Hachimura,WSH,"PF, SF",0,0.0
Otto Porter,GS,SF,455,18.2
Precious Achiuwa,TOR,"PF, C",428,19.5
Larry Nance,POR,PF,589,19.0
Danilo Gallinari,ATL,"PF, SF",478,18.4
Terrence Ross,ORL,"SG, SF",475,17.0
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Serge Ibaka,LAC,"C, PF",107,9.7
Davion Mitchell,SAC,PG,577,19.9
Lonnie Walker,SA,"SF, SG",554,19.8
Doug McDermott,SA,"SF, PF",355,16.9
Shake Milton,PHI,"PG, SG",547,21.9
Nerlens Noel,NY,C,307,19.2
Chuma Okeke,ORL,PF,423,16.9
Patrick Williams,CHI,"SF, PF",72,14.4
Isaiah Roby,OKC,"PF, C",156,12.0
Enes Freedom,BOS,C,213,11.2
Gabe Vincent,MIA,PG,468,16.7
Goran Dragic,TOR,PG,90,18.0
Rudy Gay,UTAH,PF,258,17.2
Immanuel Quickley,NY,PG,526,18.1
Cedi Osman,CLE,SF,559,22.4
DeAndre Jordan,LAL,C,385,15.4
Gary Payton,GS,PG,501,18.6
Willy Hernangomez,NO,C,321,20.1
Herbert Jones,NO,SF,583,20.8
Malik Monk,LAL,SG,528,18.9
Chimezie Metu,SAC,C,384,21.3
DeMarcus Cousins,MIL,C,133,14.8
Rajon Rondo,LAL,PG,208,13.0
Nic Claxton,BKN,"C, PF",188,17.1
Andre Iguodala,GS,"SF, SG",290,19.3
Jeff Green,DEN,PF,487,16.8
Kevon Looney,GS,PF,551,18.4
Nassir Little,POR,"SF, PF",550,20.4
Terence Davis,SAC,SG,317,15.9
Cameron Payne,PHX,PG,456,19.0
Aleksej Pokusevski,OKC,PF,312,11.6
Gary Harris,ORL,SG,386,16.1
Facundo Campazzo,DEN,PG,502,17.9
Nemanja Bjelica,GS,PF,475,15.8
Kenyon Martin,HOU,SF,472,16.3
Justin Holiday,IND,"SG, SF",448,17.9
Obi Toppin,NY,PF,435,16.7
Josh Richardson,BOS,"SG, SF",445,20.2
Tristan Thompson,SAC,"C, PF",326,14.2
Moses Brown,DAL,C,102,6.8
Kendrick Nunn,LAL,SG,0,0.0
Khem Birch,TOR,C,290,19.3
Cam Thomas,BKN,SG,244,10.6
Georges Niang,PHI,PF,515,18.4
Deni Avdija,WSH,SF,572,18.5
Bruce Brown,BKN,SG,446,18.6
Maxi Kleber,DAL,PF,380,19.0
Kenrich Williams,OKC,SF,434,17.4
George Hill,MIL,"PG, SG",464,17.8
Naz Reid,MIN,C,468,16.7
Jonathan Kuminga,GS,"SF, PF",134,7.1
Frank Jackson,DET,PG,426,14.7
Furkan Korkmaz,PHI,SG,447,16.6
Saben Lee,DET,PG,200,14.3
Dwight Powell,DAL,C,422,14.6
Jordan Nwora,MIL,SF,377,14.5
Jeremy Lamb,IND,"SG, SF",319,13.3
James Bouknight,CHA,SG,80,5.7
Frank Kaminsky,PHX,"C, PF",221,24.6
Grant Williams,BOS,PF,479,17.1
Caleb Martin,MIA,"SG, SF",402,17.5
Damion Lee,GS,"SF, SG",329,13.7
David Duke,BKN,SG,110,22.0
Hamidou Diallo,DET,SG,335,15.2
Derrick Favors,OKC,"C, PF",300,13.6
Bol Bol,DEN,C,45,4.5
