Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Todd,PF,20,WAS,5,0,2.8,0.8,2.0,.400,0.8,1.4,.571,0.0,0.6,.000,.600,0.2,0.4,.500,0.2,0.2,0.4,0.0,0.4,0.2,0.2,0.2,2.6
Obi Toppin,PF,23,NYK,26,0,15.9,3.4,6.4,.530,0.3,1.8,.196,3.0,4.6,.658,.557,1.6,2.0,.788,1.2,2.7,3.9,0.9,0.3,0.6,0.9,1.5,8.7
Juan Toscano-Anderson,SF,28,GSW,30,2,16.2,1.9,3.7,.509,0.3,1.3,.256,1.6,2.4,.644,.554,0.6,1.0,.655,0.7,2.3,3.0,2.1,0.6,0.4,1.1,1.5,4.8
Karl-Anthony Towns,C,26,MIN,30,30,34.5,8.6,16.9,.510,2.4,5.6,.426,6.2,11.3,.552,.581,4.8,5.8,.828,2.8,6.3,9.1,3.6,1.0,1.1,3.5,3.7,24.5
Gary Trent Jr.,SG,23,TOR,27,26,34.6,6.3,14.4,.434,2.7,7.1,.383,3.5,7.3,.485,.530,1.5,1.7,.872,0.4,2.6,3.0,2.0,2.2,0.3,0.9,2.1,16.8
P.J. Tucker,PF,36,MIA,31,31,28.3,3.0,6.0,.505,1.3,2.8,.455,1.7,3.2,.551,.613,0.5,0.7,.762,1.7,3.9,5.6,2.1,0.7,0.3,0.9,2.4,7.9
Myles Turner,C,25,IND,31,31,29.3,4.6,9.0,.518,1.7,4.6,.368,2.9,4.3,.679,.613,1.8,2.4,.747,1.5,5.9,7.4,1.0,0.6,2.9,1.3,2.5,12.8
Jonas Valančiūnas,C,29,NOP,32,32,31.6,7.3,13.8,.526,1.0,2.3,.452,6.2,11.5,.541,.563,3.1,3.8,.818,3.6,8.5,12.0,2.4,0.6,1.0,2.3,3.2,18.6
Denzel Valentine,SG,28,CLE,19,0,6.7,0.6,2.2,.293,0.5,1.4,.333,0.2,0.7,.214,.402,0.0,0.0,,0.3,0.7,1.1,0.3,0.3,0.0,0.4,0.6,1.7
Jarred Vanderbilt,PF,22,MIN,29,22,24.8,2.6,4.5,.565,0.1,0.3,.222,2.5,4.2,.590,.573,0.9,1.3,.730,3.1,5.4,8.6,1.2,1.5,0.8,1.1,2.8,6.1
Fred VanVleet,PG,27,TOR,28,28,37.9,7.0,16.2,.434,3.4,8.5,.397,3.6,7.7,.474,.539,2.6,3.0,.869,0.8,4.3,5.1,6.7,1.6,0.6,3.0,2.5,20.1
Devin Vassell,SF,21,SAS,25,1,24.5,4.3,9.3,.459,1.6,4.4,.360,2.7,4.9,.549,.545,0.8,1.2,.724,0.8,3.1,3.9,1.4,1.0,0.8,0.6,1.8,11.0
Gabe Vincent,PG,25,MIA,29,7,20.5,3.0,6.8,.439,1.6,4.1,.375,1.4,2.7,.538,.553,0.7,0.9,.741,0.4,1.4,1.8,2.7,0.8,0.2,1.5,2.2,8.2
Nikola Vučević,C,31,CHI,22,22,33.1,6.4,15.5,.409,1.7,4.9,.343,4.7,10.6,.440,.463,1.0,1.6,.639,1.7,8.7,10.4,3.5,0.9,1.0,1.5,2.3,15.5
Dean Wade,PF,25,CLE,21,13,20.6,2.0,4.4,.441,1.1,3.0,.365,0.9,1.4,.600,.565,0.3,0.4,.750,0.7,2.7,3.4,1.2,0.6,0.0,0.3,1.7,5.3
Franz Wagner,SF,20,ORL,31,31,32.1,5.6,12.5,.445,1.3,3.6,.363,4.3,8.9,.478,.497,2.1,2.5,.810,1.3,3.5,4.7,2.9,1.1,0.4,1.4,2.4,14.5
Moritz Wagner,C,24,ORL,26,0,11.7,2.0,4.5,.449,1.0,2.8,.370,1.0,1.7,.578,.564,1.2,1.5,.769,0.5,2.0,2.5,0.8,0.2,0.2,0.8,1.8,6.3
Ish Wainright,PF,27,PHO,11,0,5.4,0.5,2.0,.227,0.2,1.2,.154,0.3,0.8,.333,.273,0.0,0.2,.000,0.6,0.6,1.3,0.5,0.3,0.1,0.4,1.3,1.1
Kemba Walker,PG,31,NYK,20,20,25.9,4.6,10.9,.422,2.3,5.6,.411,2.3,5.3,.434,.528,1.5,1.9,.811,0.3,2.8,3.0,3.2,1.0,0.3,1.4,1.3,13.0
Lonnie Walker,SG,23,SAS,29,3,22.4,4.1,10.2,.397,1.6,5.1,.306,2.5,5.2,.487,.473,1.3,1.5,.864,0.2,2.7,2.9,2.4,0.6,0.3,1.1,1.2,11.0
Brad Wanamaker,PG,32,IND,20,1,13.8,1.3,3.6,.366,0.2,0.9,.235,1.1,2.7,.407,.394,0.9,1.0,.900,0.3,1.4,1.7,2.4,0.3,0.3,1.1,2.1,3.7
Duane Washington Jr.,PG,21,IND,3,0,2.3,0.7,1.3,.500,0.3,1.0,.333,0.3,0.3,1.000,.625,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.7
P.J. Washington,PF,23,CHO,20,3,25.0,3.8,8.5,.447,2.0,4.8,.417,1.8,3.7,.486,.565,1.2,1.6,.750,1.3,3.8,5.1,2.2,0.7,1.1,1.2,2.2,10.8
Yuta Watanabe,SF,27,TOR,10,0,19.5,2.2,5.9,.373,1.4,3.9,.359,0.8,2.0,.400,.492,0.9,1.7,.529,0.9,3.1,4.0,1.1,0.6,0.7,0.3,1.5,6.7
Trendon Watford,SF,21,POR,9,0,4.9,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,0.2,0.3,.667,0.4,0.9,1.3,0.4,0.2,0.3,0.3,0.3,1.8
Paul Watson,SF,27,OKC,5,0,15.6,0.4,3.0,.133,0.4,2.6,.154,0.0,0.4,.000,.200,0.2,0.4,.500,0.4,2.0,2.4,0.6,0.2,0.6,0.6,1.0,1.4
Russell Westbrook,PG,33,LAL,32,32,36.0,7.4,16.3,.455,1.2,3.8,.308,6.3,12.5,.499,.490,3.6,5.4,.655,1.3,6.5,7.8,8.2,1.2,0.3,4.6,3.0,19.5
Coby White,PG,21,CHI,11,1,19.5,2.8,7.7,.365,1.1,4.0,.273,1.7,3.7,.463,.435,0.9,1.3,.714,0.3,2.4,2.6,1.5,0.2,0.1,1.0,1.6,7.6
Derrick White,SG,27,SAS,30,30,31.0,5.0,12.1,.414,1.5,5.4,.270,3.5,6.6,.533,.475,2.6,3.0,.876,0.5,3.2,3.7,5.0,1.2,0.8,1.5,2.2,14.1
Hassan Whiteside,C,32,UTA,28,0,15.2,3.0,4.9,.610,0.0,0.0,,3.0,4.9,.610,.610,1.5,2.1,.712,2.2,4.4,6.6,0.3,0.2,1.4,1.0,2.9,7.4
Joe Wieskamp,SG,22,SAS,3,0,2.7,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Aaron Wiggins,SG,23,OKC,12,3,14.8,1.0,2.2,.462,0.6,1.8,.333,0.4,0.4,1.000,.596,0.3,0.6,.571,0.3,1.4,1.7,1.0,0.3,0.2,0.7,1.6,2.9
Andrew Wiggins,SF,26,GSW,29,29,31.1,7.0,14.2,.491,2.2,5.3,.422,4.7,8.9,.533,.571,2.5,3.6,.709,1.2,3.3,4.5,1.8,0.8,0.6,1.6,1.8,18.7
Grant Williams,PF,23,BOS,28,9,22.1,2.5,4.9,.511,1.5,3.4,.453,1.0,1.5,.643,.668,0.9,1.1,.867,0.6,2.8,3.4,1.0,0.4,0.6,0.6,2.0,7.5
Kenrich Williams,SF,27,OKC,26,0,20.9,2.8,6.0,.465,0.9,2.2,.411,1.9,3.8,.495,.539,0.7,1.3,.559,1.3,2.4,3.7,1.9,1.0,0.2,0.8,1.8,7.2
Lou Williams,PG,35,ATL,24,0,13.6,2.5,6.3,.393,0.6,1.8,.341,1.8,4.4,.415,.443,1.1,1.3,.813,0.3,1.2,1.5,1.3,0.6,0.1,1.0,0.9,6.6
Patrick Williams,PF,20,CHI,5,5,25.0,2.6,4.6,.565,0.6,1.2,.500,2.0,3.4,.588,.630,0.8,0.8,1.000,0.2,2.0,2.2,0.6,0.6,0.4,0.4,1.8,6.6
Robert Williams,C,24,BOS,23,23,27.7,4.1,5.6,.734,0.0,0.0,,4.1,5.6,.734,.734,1.1,1.8,.619,3.5,4.7,8.2,1.2,0.7,1.7,1.2,1.8,9.3
Ziaire Williams,SF,20,MEM,19,0,17.8,1.8,5.2,.354,0.8,3.4,.246,1.0,1.8,.559,.434,0.2,0.3,.667,0.3,1.2,1.5,0.6,0.4,0.3,0.6,1.7,4.7
Dylan Windler,SF,25,CLE,20,0,10.2,1.0,2.3,.422,0.6,1.5,.367,0.4,0.8,.533,.544,0.2,0.2,.750,0.4,1.4,1.8,0.9,0.3,0.1,0.5,1.2,2.6
Justise Winslow,SF,25,LAC,22,1,9.7,1.2,2.8,.435,0.2,0.7,.313,1.0,2.1,.478,.476,0.1,0.4,.375,0.5,1.8,2.4,1.0,0.5,0.3,1.0,0.8,2.8
Cassius Winston,PG,23,WAS,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0
Christian Wood,C,26,HOU,29,29,31.6,6.4,13.8,.463,1.6,4.7,.343,4.8,9.1,.525,.521,2.5,4.3,.584,1.9,9.1,11.0,2.2,0.6,1.0,1.8,2.6,16.9
Robert Woodard,SF,22,SAC,3,0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.7
Delon Wright,SG,29,ATL,27,0,14.4,1.0,2.6,.386,0.3,0.9,.375,0.7,1.7,.391,.450,0.6,0.7,.789,0.7,2.0,2.6,2.1,0.6,0.2,0.6,0.6,2.9
McKinley Wright IV,PG,23,MIN,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Thaddeus Young,PF,33,SAS,22,0,14.1,2.9,5.1,.566,0.0,0.1,.000,2.9,5.0,.582,.566,0.4,0.8,.444,1.5,1.9,3.4,2.5,0.9,0.3,1.0,1.4,6.2
Trae Young,PG,23,ATL,29,29,34.1,9.5,20.6,.460,2.7,7.1,.377,6.8,13.5,.504,.525,5.6,6.3,.891,0.8,3.2,4.0,9.3,1.0,0.1,4.1,1.7,27.3
Omer Yurtseven,C,23,MIA,23,0,8.9,1.4,3.0,.471,0.0,0.2,.000,1.4,2.7,.508,.471,0.7,1.1,.654,1.0,2.3,3.4,0.5,0.2,0.6,0.6,1.1,3.5
Cody Zeller,C,29,POR,24,0,13.3,1.8,3.2,.566,0.0,0.2,.000,1.8,3.0,.597,.566,1.5,2.0,.766,1.8,2.8,4.6,0.8,0.3,0.3,0.7,2.1,5.1
Ivica Zubac,C,24,LAC,31,31,24.8,3.6,5.4,.661,0.0,0.0,,3.6,5.4,.661,.661,2.5,3.4,.740,2.5,5.5,8.0,1.1,0.6,1.2,1.4,2.4,9.6
