Name,Team,Position,Total Points,Average Points
Tomas Satoransky,NO,"PG, SG",267,8.6
Jaylen Nowell,MIN,SG,329,14.3
Bones Hyland,DEN,PG,357,14.3
Luka Garza,DET,C,213,9.3
Juan Toscano-Anderson,GS,"PF, SF",491,14.0
Cory Joseph,DET,PG,460,17.0
Jeremiah Robinson-Earl,OKC,"PF, C",504,15.8
D.J. Wilson,TOR,PF,69,34.5
Cam Thomas,BKN,SG,267,10.7
Thanasis Antetokounmpo,MIL,SF,220,9.2
Landry Shamet,PHX,SG,496,14.2
Ayo Dosunmu,CHI,SG,374,12.1
Kent Bazemore,LAL,"SG, SF",244,11.1
DeAndre' Bembry,BKN,SF,534,17.2
