Name,Team,Position,Total Points,Average Points
Saben Lee,DET,PG,186,15.5
Gabe Vincent,MIA,PG,410,15.8
Chuma Okeke,ORL,PF,316,13.7
Grant Williams,BOS,PF,479,17.1
Naz Reid,MIN,C,441,17.0
Facundo Campazzo,DEN,PG,464,17.2
Deni Avdija,WSH,SF,538,17.9
Josh Richardson,BOS,"SG, SF",363,18.2
George Hill,MIL,"PG, SG",418,17.4
Furkan Korkmaz,PHI,SG,447,16.6
Kenrich Williams,OKC,SF,427,17.8
Caleb Martin,MIA,"SG, SF",402,17.5
Dwight Powell,DAL,C,410,14.6
James Bouknight,CHA,SG,73,5.6
Maxi Kleber,DAL,PF,352,18.5
Dennis Smith,POR,PG,265,16.6
Tristan Thompson,SAC,"C, PF",287,13.7
Hamidou Diallo,DET,SG,299,15.0
Frank Kaminsky,PHX,"C, PF",221,24.6
Jeremy Lamb,IND,"SG, SF",319,13.3
Jonathan Kuminga,GS,"SF, PF",100,5.9
Frank Jackson,DET,PG,401,14.9
Derrick Favors,OKC,"C, PF",296,14.1
Bol Bol,DEN,C,45,4.5
Lou Williams,ATL,SG,253,11.0
Jaxson Hayes,NO,C,224,11.2
Davis Bertans,WSH,PF,193,9.7
Tacko Fall,CLE,C,11,1.6
Damion Lee,GS,"SF, SG",297,13.5
Chimezie Metu,SAC,C,328,20.5
Josh Jackson,DET,"SF, SG",313,13.6
Kenyon Martin,HOU,SF,446,15.9
Marc Gasol,LAL,C,0,0.0
Ish Smith,CHA,PG,195,10.8
Paul Millsap,BKN,PF,198,9.4
Jeremiah Robinson-Earl,OKC,"PF, C",412,15.3
Tomas Satoransky,NO,"PG, SG",184,7.4
Landry Shamet,PHX,SG,380,14.1
Bones Hyland,DEN,PG,279,14.7
Reggie Bullock,DAL,"SF, SG",266,9.9
Bryn Forbes,SA,"SG, PG",293,11.3
Jordan Nwora,MIL,SF,296,12.3
Juan Toscano-Anderson,GS,"PF, SF",373,13.8
Austin Reaves,LAL,SG,191,11.2
Cory Joseph,DET,PG,375,15.6
Thanasis Antetokounmpo,MIL,SF,211,10.0
Onyeka Okongwu,ATL,C,0,0.0
Jaden McDaniels,MIN,SF,391,15.6
Josh Christopher,HOU,SG,219,10.4
Raul Neto,WSH,PG,432,14.9
Kent Bazemore,LAL,"SG, SF",201,10.1
Ayo Dosunmu,CHI,SG,290,11.6
Willie Cauley-Stein,DAL,C,109,6.1
Brandon Boston,LAC,SG,153,10.2
Quentin Grimes,NY,SG,87,7.9
Derrick Jones,CHI,SF,382,17.4
R.J. Hampton,ORL,PG,382,13.2
Jalen McDaniels,CHA,PF,315,13.7
Kira Lewis,NO,PG,257,10.7
Moses Moody,GS,SG,46,2.6
Taurean Prince,MIN,"SF, PF",222,9.3
Miles McBride,NY,PG,86,12.3
Trey Lyles,DET,PF,344,12.7
Trevor Ariza,LAL,SF,0,0.0
