Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Kevin Durant," SF,PF",BKN ,Healthy,35.3,6.3,6.0,2.0,1.0,.507,.920,2.3,4.3,3,40.1,7.7,10.3,4.00,3.3
Nikola Jokic," PF,C",DEN ,Healthy,32.0,13.7,9.7,1.0,1.3,.606,.714,2.0,4.3,3,35.3,3.3,11.3,8.40,2.7
Jayson Tatum," SF,PF",BOS ,Healthy,29.0,8.3,2.7,1.0,1.0,.478,.714,2.7,5.0,3,34.7,5.0,8.0,1.70,2.7
Donovan Mitchell," PG,SG",UTH ,Healthy,28.7,2.0,4.0,0.3,1.3,.516,.889,4.7,3.0,3,31.6,2.7,6.0,4.80,2.0
Derrick White," PG,SG",SAS ,Healthy,20.8,5.5,5.8,0.8,1.5,.517,.944,1.5,2.0,4,31.3,4.3,6.0,12.30,1.5
Luka Doncic," PG,SG",DAL , OUT ,27.0,7.7,8.3,0.3,0.7,.462,.857,3.0,4.3,3,36.5,4.0,7.0,12.80,3.3
Cole Anthony, PG,ORL ,Healthy,25.7,5.3,5.0,0.0,0.3,.446,.857,5.0,2.7,3,34.7,4.0,3.3,5.40,2.7
Joel Embiid," PF,C",PHI ,Healthy,25.7,8.7,3.3,0.3,2.0,.451,.875,1.0,2.0,3,31.8,9.3,6.7,7.00,3.7
De'Aaron Fox, PG,SAC ,Healthy,25.7,3.7,2.3,0.3,2.0,.592,.842,1.0,1.3,3,31.0,5.3,8.7,4.50,2.7
Giannis Antetokounmpo," PF,C",MIL ,Healthy,25.3,11.0,6.7,1.3,1.7,.542,.677,0.3,3.7,3,33.9,7.7,8.3,6.00,4.0
Kristaps Porzingis," PF,C",DAL ,Healthy,17.8,6.3,2.8,0.5,0.5,.422,1.000,1.3,1.0,4,28.7,3.0,5.5,6.50,3.3
RJ Barrett," SG,SF",NYK , OUT ,23.3,4.3,2.0,0.0,0.7,.438,.842,4.0,1.7,3,34.5,5.3,3.0,2.00,2.3
Brandon Ingram," SF,PF",NOR ,Healthy,23.0,6.0,6.3,0.7,1.7,.464,.800,1.7,2.3,3,38.6,4.0,7.0,9.80,2.7
James Harden," PG,SG",BKN ,Healthy,22.7,8.3,10.3,0.3,0.7,.413,.889,2.0,6.3,3,40.5,8.0,4.3,5.20,2.0
Karl-Anthony Towns, C,MIN ,Healthy,22.0,8.0,3.7,1.3,0.3,.468,.833,0.7,4.7,3,33.2,6.7,6.7,2.50,3.7
Khris Middleton," SF,PF,SG",MIL ,Healthy,21.7,7.3,4.3,0.0,1.3,.388,.933,4.3,4.0,3,34.2,4.7,2.0,3.70,2.7
Cade Cunningham," PG,SG",DET ,Healthy,21.0,4.3,4.3,0.3,2.7,.400,.786,2.7,4.0,3,34.8,3.7,4.7,3.90,2.3
Jonas Valanciunas, C,NOR ,Healthy,20.3,11.3,3.3,1.3,0.0,.542,.700,0.7,3.0,3,32.8,2.3,8.0,3.50,3.0
Russell Westbrook, PG,LAL ,Healthy,15.0,6.3,7.5,0.5,0.8,.490,.583,0.8,5.0,4,34.5,1.8,5.5,6.40,2.3
Franz Wagner," SG,SF",ORL ,Healthy,19.7,5.3,3.0,0.3,0.3,.553,.786,2.0,2.3,3,35.2,3.7,5.0,6.00,2.7
Bobby Portis," PF,C",MIL ,Healthy,19.3,8.3,0.3,1.7,2.3,.500,.692,2.3,2.3,3,31.2,3.0,4.7,0.50,2.0
Zach LaVine," SG,SF",CHI , OUT ,28.0,5.5,6.5,0.0,0.5,.488,.667,4.0,4.0,2,36.5,4.0,6.0,3.30,2.5
Desmond Bane," PG,SG,SF",MEM ,Healthy,18.7,3.0,2.7,0.3,1.7,.396,1.000,3.0,0.7,3,32.0,1.7,4.0,6.00,2.7
Anthony Edwards," SG,SF",MIN ,Healthy,18.3,3.3,3.3,0.3,1.3,.435,.727,2.3,2.0,3,31.8,2.7,4.3,7.20,2.7
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,18.3,2.7,6.0,1.0,0.3,.386,.895,1.3,1.7,3,33.3,5.7,4.3,11.50,1.3
Christian Wood," PF,C",HOU ,Healthy,18.3,13.0,2.3,1.0,1.0,.447,.500,1.7,3.0,3,34.4,2.7,5.3,4.20,4.3
Garrison Mathews," SG,SF",HOU ,Healthy,18.0,2.3,0.7,1.3,1.7,.417,.765,3.7,0.3,3,35.0,4.3,1.3,0.00,4.0
Terrence Ross," SG,SF",ORL ,Healthy,18.0,3.0,2.3,0.3,1.3,.400,1.000,2.0,1.3,3,31.2,6.7,2.7,6.00,2.0
Julius Randle," PF,C",NYK ,Healthy,13.5,9.8,5.3,0.8,1.0,.354,.867,1.8,4.0,4,34.9,3.3,2.5,10.10,2.5
Jarrett Allen, C,CLE ,Healthy,17.7,11.0,2.3,2.0,1.3,.679,.882,0.0,1.0,3,32.5,5.0,6.3,1.30,2.3
Armoni Brooks, PG,HOU ,Healthy,17.7,5.3,4.3,0.7,0.3,.462,.857,3.7,1.3,3,32.5,2.0,2.3,7.30,2.3
Frank Jackson," PG,SG",DET ,Healthy,17.3,1.7,1.7,0.3,0.3,.460,.833,4.3,1.3,3,27.7,1.7,1.3,2.00,1.7
Jakob Poeltl, C,SAS ,Healthy,13.0,7.8,4.8,2.0,0.3,.647,.400,0.0,2.3,4,27.8,2.0,5.5,5.60,4.0
Talen Horton-Tucker," SG,SF",LAL ,Healthy,13.0,3.0,3.5,0.3,2.3,.467,.556,1.3,1.8,4,29.2,1.3,4.0,10.30,2.3
Darius Garland," PG,SG",CLE ,Healthy,17.3,3.7,10.3,0.3,1.7,.488,1.000,2.0,4.0,3,33.8,1.3,5.0,8.00,2.7
Jalen Brunson," PG,SG",DAL ,Healthy,13.0,5.5,3.5,0.0,0.5,.476,.714,0.5,1.0,4,29.8,2.5,4.5,2.00,0.8
Jrue Holiday," PG,SG",MIL ,Healthy,17.3,3.7,5.3,0.7,1.0,.583,1.000,1.3,2.7,3,35.4,2.0,5.7,7.00,2.7
Aaron Gordon," SF,PF",DEN , DTD ,17.0,4.0,2.7,1.0,1.0,.594,.846,0.7,0.7,3,37.0,3.7,5.7,7.00,2.0
Tobias Harris," SF,PF",PHI ,Healthy,17.0,7.3,1.3,0.3,0.0,.515,1.000,1.3,1.0,3,34.5,4.3,4.3,3.00,2.0
Lonnie Walker," SG,SF",SAS ,Healthy,12.8,2.8,1.3,0.0,0.0,.436,1.000,1.5,1.3,4,21.6,2.8,2.8,1.00,1.0
Patty Mills, PG,BKN ,Healthy,12.8,2.0,2.0,0.5,0.5,.360,.833,2.5,0.8,4,33.1,1.3,2.0,2.50,1.3
Dejounte Murray," PG,SG",SAS ,Healthy,12.8,8.0,7.5,0.3,1.8,.396,.800,1.3,2.8,4,31.6,1.0,4.0,12.60,2.0
Bojan Bogdanovic," SF,PF",UTH ,Healthy,17.0,3.0,0.3,0.0,0.0,.514,.900,2.0,1.0,3,27.5,3.0,4.0,0.50,1.7
