Name,Team,Position,Total Points,Average Points
Buddy Hield,SAC,"SG, SF",907,24.5
Kyrie Irving,BKN,"PG, SG",0,0.0
Mikal Bridges,PHX,SF,932,26.6
Kemba Walker,NY,PG,622,25.9
Ben Simmons,PHI,PG,0,0.0
RJ Barrett,NY,"SF, SG",655,22.6
Dennis Schroder,BOS,PG,780,26.9
Keldon Johnson,SA,"SF, PF",870,25.6
Jordan Poole,GS,"SG, PG",819,28.2
Jalen Green,HOU,SG,451,20.5
Reggie Jackson,LAC,PG,897,27.2
Nickeil Alexander-Walker,NO,SG,750,22.7
Tim Hardaway,DAL,"SG, SF",751,25.9
Ivica Zubac,LAC,C,874,25.0
P.J. Washington,CHA,"PF, C",560,26.7
Bojan Bogdanovic,UTAH,"PF, SF",904,25.1
Isaiah Stewart,DET,"C, PF",621,22.2
Mitchell Robinson,NY,C,830,25.2
Chris Boucher,TOR,"C, PF",529,17.6
Robert Covington,POR,"PF, SF",704,22.0
Evan Fournier,NY,"SG, SF",741,21.2
Michael Porter,DEN,"SF, PF",183,20.3
Bogdan Bogdanovic,ATL,"SG, SF",528,22.0
Joe Ingles,UTAH,"SF, SG, PF",666,19.0
Collin Sexton,CLE,"SG, PG",222,20.2
Lauri Markkanen,CLE,"PF, SF",647,24.0
Thaddeus Young,SA,"PF, SF, C",391,17.0
Jonathan Isaac,ORL,"PF, SF",0,0.0
Steven Adams,MEM,C,881,23.8
Aaron Gordon,DEN,"PF, SF",827,26.7
Marvin Bagley,SAC,PF,291,17.1
Andre Drummond,PHI,C,708,23.6
Derrick Rose,NY,PG,659,25.3
Daniel Theis,HOU,"C, PF",379,17.2
Donte DiVincenzo,MIL,"SG, PG",33,11.0
Brook Lopez,MIL,C,28,28.0
Hassan Whiteside,UTAH,C,652,19.8
Dillon Brooks,MEM,"SG, SF",540,28.4
LaMarcus Aldridge,BKN,"PF, C",735,27.2
Ricky Rubio,CLE,PG,1011,29.7
Alex Caruso,CHI,"PG, SG",693,26.7
Killian Hayes,DET,PG,457,19.0
Joe Harris,BKN,"SG, SF",274,19.6
Brandon Clarke,MEM,"PF, C",464,20.2
Patty Mills,BKN,PG,835,24.6
Kawhi Leonard,LAC,"SF, PF",0,0.0
T.J. McConnell,IND,PG,596,24.8
Luguentz Dort,OKC,"SG, SF",815,24.7
Mason Plumlee,CHA,C,654,24.2
Jamal Murray,DEN,"PG, SG",0,0.0
Marcus Morris,LAC,"PF, SF",412,25.8
Kyle Anderson,MEM,"SF, PF",720,21.8
Pat Connaughton,MIL,"SG, SF",944,24.8
Monte Morris,DEN,PG,830,25.9
Chris Duarte,IND,SG,740,22.4
T.J. Warren,IND,SF,0,0.0
Thomas Bryant,WSH,C,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Duncan Robinson,MIA,"SG, SF",721,20.6
Coby White,CHI,PG,290,18.1
John Wall,HOU,PG,0,0.0
Terance Mann,LAC,SF,783,21.8
Hamidou Diallo,DET,SG,579,21.4
Jarred Vanderbilt,MIN,PF,730,24.3
Nic Claxton,BKN,"C, PF",332,22.1
Cam Reddish,ATL,"SF, SG",618,19.9
Alperen Sengun,HOU,C,755,21.6
Jae Crowder,PHX,"PF, SF",683,21.3
James Wiseman,GS,C,0,0.0
Grayson Allen,MIL,SG,782,22.3
Kevin Huerter,ATL,"SG, SF",568,20.3
Blake Griffin,BKN,PF,428,16.5
JaVale McGee,PHX,C,754,22.2
De'Anthony Melton,MEM,"PG, SG",775,25.8
Talen Horton-Tucker,LAL,"SG, SF",427,20.3
Otto Porter,GS,SF,649,21.6
Malik Monk,LAL,SG,666,20.8
Darius Bazley,OKC,"SF, PF",673,21.7
Cody Martin,CHA,SF,791,25.5
Gary Harris,ORL,SG,538,18.6
Royce O'Neale,UTAH,"SF, PF",798,23.5
Victor Oladipo,MIA,SG,0,0.0
Larry Nance,POR,PF,727,20.8
DeMarcus Cousins,MIL,C,290,19.3
Markelle Fultz,ORL,PG,0,0.0
Gary Payton,GS,PG,650,20.3
De'Andre Hunter,ATL,"SF, PF",173,15.7
Isaac Okoro,CLE,SF,473,18.2
Kentavious Caldwell-Pope,WSH,"SG, SF",741,22.5
Devin Vassell,SA,"SG, SF",706,23.5
Luke Kennard,LAC,SG,783,22.4
Delon Wright,ATL,"SG, PG",406,13.5
Matisse Thybulle,PHI,"SF, SG",573,20.5
Rui Hachimura,WSH,"PF, SF",0,0.0
Dwight Howard,LAL,C,427,15.3
Nicolas Batum,LAC,"SF, SG",434,22.8
Danny Green,PHI,"SG, SF",495,20.6
Serge Ibaka,LAC,"C, PF",221,12.3
Precious Achiuwa,TOR,"PF, C",434,18.9
Facundo Campazzo,DEN,PG,685,20.8
Doug McDermott,SA,"SF, PF",453,17.4
Terrence Ross,ORL,"SG, SF",475,17.0
Rajon Rondo,LAL,PG,220,12.2
Davion Mitchell,SAC,PG,602,19.4
Deni Avdija,WSH,SF,696,19.3
Isaiah Roby,OKC,"PF, C",211,12.4
Anfernee Simons,POR,"SG, PG",559,18.6
Lonnie Walker,SA,"SF, SG",636,19.3
Patrick Williams,CHI,"SF, PF",72,14.4
Chimezie Metu,SAC,C,517,21.5
Immanuel Quickley,NY,PG,576,18.0
