Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,28,MEM,28,28,24.8,2.6,4.9,.529,0.0,0.0,,2.6,4.9,.529,.529,1.8,2.9,.610,3.8,4.8,8.6,2.6,0.8,0.6,1.7,1.6,6.9
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,16,0,9.8,1.5,4.1,.364,0.2,1.7,.111,1.3,2.4,.538,.386,0.4,0.8,.583,1.0,1.6,2.6,0.8,0.1,0.2,0.3,1.1,3.6
LaMarcus Aldridge,C,36,BRK,25,8,23.6,6.0,10.4,.573,0.4,1.2,.367,5.5,9.2,.600,.594,1.6,1.9,.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0
Nickeil Alexander-Walker,SG,23,NOP,29,18,28.4,5.1,13.9,.367,2.1,6.7,.311,3.0,7.2,.419,.442,1.4,1.8,.769,1.0,2.8,3.9,2.6,1.0,0.4,1.5,1.9,13.7
Grayson Allen,SG,26,MIL,28,28,28.8,4.5,10.0,.448,2.9,7.1,.414,1.5,2.9,.531,.595,1.0,1.2,.853,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.5,12.9
Jarrett Allen,C,23,CLE,26,26,33.3,7.0,9.8,.714,0.0,0.2,.167,7.0,9.6,.727,.716,3.3,4.5,.720,3.2,7.9,11.1,1.9,0.9,1.3,2.0,1.8,17.3
Jose Alvarado,PG,23,NOP,8,0,5.1,0.6,1.6,.385,0.3,0.6,.400,0.4,1.0,.375,.462,0.3,0.4,.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8
Kyle Anderson,PF,28,MEM,24,3,21.6,3.2,7.2,.445,0.8,2.3,.370,2.4,5.0,.479,.503,1.0,1.5,.657,1.0,4.2,5.2,2.5,1.0,0.5,1.0,1.5,8.2
Giannis Antetokounmpo,PF,27,MIL,26,26,32.7,9.5,18.0,.529,1.1,3.8,.280,8.5,14.2,.596,.559,6.9,10.1,.681,2.0,9.5,11.6,5.8,1.1,1.6,3.3,3.0,27.0
Thanasis Antetokounmpo,SF,29,MIL,21,5,12.3,1.5,3.0,.500,0.0,0.3,.000,1.5,2.8,.552,.500,0.5,0.9,.611,1.0,2.0,3.0,0.7,0.5,0.2,0.6,1.7,3.6
Carmelo Anthony,PF,37,LAL,28,3,27.7,4.5,10.5,.432,2.4,5.9,.412,2.1,4.6,.457,.548,2.0,2.5,.814,0.8,3.3,4.1,0.9,0.7,0.6,0.8,2.4,13.5
Cole Anthony,PG,21,ORL,22,22,34.1,7.0,16.6,.425,2.9,7.7,.376,4.1,8.9,.467,.512,3.5,4.0,.874,0.5,5.6,6.1,5.6,0.9,0.2,3.0,2.5,20.5
OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,.430,2.7,7.5,.366,4.9,10.2,.477,.508,2.2,2.7,.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
