Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Giannis Antetokounmpo," PF,C",MIL ,Healthy,32.0,11.3,7.0,1.0,1.3,.593,.786,1.3,3.3,3,30.9,7.3,10.3,6.80,4.3
Kevin Love," PF,C",CLE ,Healthy,27.7,8.7,2.7,0.0,0.7,.511,.773,6.0,1.3,3,30.4,5.7,2.0,7.50,0.3
Zach LaVine," SG,SF",CHI ,Healthy,25.7,4.3,4.0,0.7,0.3,.539,1.000,4.0,4.0,3,35.2,3.0,5.3,3.10,1.7
DeMar DeRozan," SF,PF,SG",CHI ,Healthy,25.3,5.3,6.3,0.3,1.0,.406,.846,0.7,2.3,3,35.4,7.3,8.0,3.30,2.3
Kyle Kuzma," SF,PF",WAS ,Healthy,25.3,9.7,2.7,0.3,0.7,.574,.643,1.7,2.0,3,35.7,3.0,8.7,4.50,1.7
Ja Morant, PG,MEM ,Healthy,35.5,8.0,5.0,1.0,1.0,.556,.800,4.5,3.0,2,33.9,6.0,8.0,0.30,2.5
Joel Embiid," PF,C",PHI ,Healthy,35.0,9.0,2.5,1.0,2.0,.564,.808,2.5,2.0,2,33.1,10.5,8.5,2.50,1.5
Jalen Green, SG,HOU ,Healthy,23.0,2.0,2.3,0.0,0.7,.475,.870,3.7,2.0,3,31.3,6.7,2.7,3.50,2.3
James Harden," PG,SG",BKN ,Healthy,33.5,13.0,11.5,0.0,1.5,.429,.818,2.0,5.0,2,40.1,13.5,7.0,5.00,3.0
Hamidou Diallo," SG,SF",DET ,Healthy,32.5,13.5,4.0,1.0,5.0,.510,.750,0.5,3.5,2,44.2,6.0,12.5,2.30,4.0
Jrue Holiday," PG,SG",MIL ,Healthy,21.3,4.3,7.7,1.3,2.0,.632,.917,1.7,2.7,3,33.6,3.7,6.3,10.00,1.0
Jimmy Butler," SF,PF,SG",MIA ,Healthy,31.0,4.5,8.5,2.0,1.5,.541,1.000,1.0,2.0,2,35.5,10.0,9.0,3.80,0.5
Kevin Durant," SF,PF",BKN ,Healthy,30.5,7.5,3.5,1.0,0.0,.500,.727,2.5,3.5,2,38.4,4.0,9.5,2.00,1.5
Trae Young, PG,ATL ,Healthy,30.5,3.5,11.0,0.0,0.5,.412,.857,3.5,4.0,2,37.6,6.0,7.0,12.60,3.0
Coby White," PG,SG",CHI ,Healthy,20.3,2.3,7.0,0.7,1.3,.513,.727,4.3,1.3,3,35.5,2.7,2.3,8.00,3.3
Devin Booker," SG,SF,PG",PHO ,Healthy,30.0,6.5,4.5,1.0,1.0,.380,.882,3.5,1.5,2,36.6,7.5,6.0,7.00,1.5
Donovan Mitchell," PG,SG",UTH ,Healthy,29.5,6.0,7.0,0.0,1.5,.400,.905,4.0,2.5,2,37.3,9.5,4.0,6.20,3.0
Jordan Clarkson," PG,SG",UTH ,Healthy,19.7,3.7,2.0,0.0,0.7,.500,.625,2.0,2.7,3,28.5,1.7,6.0,2.20,3.0
Bojan Bogdanovic," SF,PF",UTH ,Healthy,19.7,7.0,1.7,0.0,0.7,.452,.929,2.7,3.0,3,32.0,4.3,3.7,1.90,1.0
Evan Mobley," C,PF",CLE ,Healthy,19.7,6.7,2.7,1.7,0.3,.614,.800,0.3,1.3,3,32.7,1.3,8.7,6.50,2.7
Malik Monk," PG,SG",LAL ,Healthy,19.3,3.0,1.3,1.0,0.7,.559,1.000,2.3,0.7,3,33.6,4.3,4.0,2.00,1.0
Franz Wagner," SG,SF",ORL ,Healthy,29.0,5.0,2.0,0.5,0.5,.563,1.000,3.0,2.5,2,36.2,8.0,6.0,1.80,1.5
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,28.0,4.5,4.5,0.5,1.0,.375,.810,1.5,2.5,2,35.0,8.5,7.5,6.00,3.5
Rudy Gobert, C,UTH ,Healthy,18.7,16.3,0.7,2.0,0.0,.741,.615,0.0,1.3,3,33.2,5.3,6.7,1.00,2.7
Bradley Beal," SG,SF",WAS ,Healthy,28.0,4.0,13.5,0.0,2.5,.488,.857,1.0,2.0,2,38.2,6.0,9.5,13.50,2.0
Russell Westbrook, PG,LAL ,Healthy,18.3,12.0,11.3,0.0,1.3,.512,.583,1.3,5.3,3,34.9,2.3,6.0,6.80,2.7
Caris LeVert," SG,SF",IND , OUT ,27.0,6.5,6.0,0.5,1.5,.422,.688,2.5,3.0,2,38.2,5.5,7.0,4.00,3.5
Terance Mann," SF,SG",LAC ,Healthy,18.0,6.3,1.3,0.3,0.0,.636,.625,2.3,1.7,3,35.5,1.7,4.7,2.00,1.3
Jaylen Brown," SG,SF",BOS ,Healthy,27.0,9.5,1.5,0.0,1.0,.375,.727,2.0,4.5,2,37.9,4.0,8.5,0.50,3.5
Saddiq Bey, SF,DET ,Healthy,26.5,13.0,3.0,0.5,1.0,.381,.929,4.0,4.0,2,44.9,6.5,4.0,1.60,3.0
Tyrese Haliburton," PG,SG",SAC ,Healthy,17.7,2.7,10.0,0.7,0.7,.514,.833,3.3,2.0,3,33.8,1.7,3.0,15.00,1.7
Pascal Siakam," PF,C",TOR ,Healthy,26.5,12.5,7.5,1.5,1.5,.512,.667,0.5,3.0,2,41.1,5.0,10.0,5.00,3.0
Nikola Vucevic, C,CHI ,Healthy,17.3,16.0,2.0,0.7,1.0,.511,1.000,1.7,2.3,3,34.1,0.3,6.0,0.70,1.7
Stephen Curry," PG,SG",GSW ,Healthy,25.5,5.0,6.5,0.5,0.0,.412,.857,5.5,4.5,2,37.3,6.0,1.5,3.70,3.0
Eric Bledsoe," PG,SG",LAC ,Healthy,16.7,2.7,4.7,0.7,1.7,.500,.857,2.0,2.7,3,26.0,4.0,3.3,6.00,2.3
Alec Burks," SG,SF",NYK ,Healthy,16.7,3.0,1.7,0.3,1.3,.586,.700,3.0,1.3,3,22.3,2.3,2.7,2.70,2.7
Damian Lillard, PG,POR ,Healthy,25.0,5.0,5.5,0.0,0.5,.395,.737,3.0,2.5,2,34.4,7.0,4.5,4.30,1.0
Aaron Wiggins," SG,SF",OKC ,Healthy,16.3,5.7,0.7,0.3,1.3,.571,.714,1.3,0.7,3,30.1,1.7,5.3,0.50,2.0
RJ Barrett," SG,SF",NYK ,Healthy,16.3,5.7,2.3,0.7,0.7,.429,.625,1.0,3.0,3,28.7,3.3,5.0,2.60,1.7
Tyler Herro," PG,SG",MIA ,Healthy,24.0,6.0,6.0,0.0,0.0,.389,.824,3.0,3.0,2,36.5,7.0,4.0,3.80,0.5
Kristaps Porzingis," PF,C",DAL , OUT ,24.0,8.0,4.5,2.5,0.5,.516,.867,1.5,2.5,2,33.8,6.5,6.5,4.00,2.0
Jalen Brunson," PG,SG",DAL ,Healthy,24.0,3.5,7.0,0.0,0.5,.579,1.000,1.5,2.5,2,35.5,0.5,9.5,5.70,1.5
Nikola Jokic," PF,C",DEN ,Healthy,23.0,15.0,4.0,1.0,2.0,.516,.765,0.5,6.0,2,30.2,6.5,7.5,1.40,3.0
Daniel Gafford," C,PF",WAS ,Healthy,15.3,9.3,1.3,2.3,0.7,.913,.667,0.0,1.3,3,29.7,1.3,7.0,2.00,2.0
Andrew Wiggins," SG,SF",GSW , OUT ,23.0,4.0,2.5,0.5,2.0,.436,.500,3.5,2.5,2,35.0,2.5,5.0,1.80,1.5
Carmelo Anthony," SF,PF",LAL ,Healthy,15.0,5.0,0.3,1.7,0.3,.460,1.000,3.0,0.7,3,26.1,0.7,2.7,0.50,3.0
Bobby Portis," PF,C",MIL ,Healthy,14.7,7.3,0.7,0.3,0.0,.586,.500,3.0,1.3,3,25.4,0.3,2.7,1.50,3.0
Norman Powell," SG,SF",POR ,Healthy,22.0,2.5,2.0,0.5,1.5,.395,.833,2.0,2.0,2,37.0,5.0,5.5,3.30,4.0
Khris Middleton," SF,PF,SG",MIL , DTD ,21.5,2.5,4.5,0.0,1.0,.483,.833,2.5,2.5,2,32.2,5.0,4.5,6.80,2.5
Marcus Morris," PF,C,SF",LAC ,Healthy,21.5,8.0,2.5,0.5,1.0,.432,.900,1.0,1.5,2,37.8,4.5,7.0,3.50,3.0
Harrison Barnes," SF,PF",SAC ,Healthy,14.0,4.0,1.0,0.3,0.0,.400,.900,3.0,1.0,3,31.6,3.0,1.0,1.50,0.0
Bryn Forbes," PG,SG",SAS ,Healthy,21.0,5.0,1.5,0.0,0.0,.467,.778,3.5,1.0,2,27.2,3.5,3.5,0.50,1.5
Malik Beasley," PG,SG,SF",MIN ,Healthy,21.0,3.5,1.5,0.0,1.0,.410,.000,5.0,0.5,2,35.6,0.0,3.0,2.00,2.0
Rudy Gay," SF,PF",UTH ,Healthy,13.3,3.3,1.3,0.3,1.0,.483,1.000,1.3,0.3,3,23.3,2.7,3.3,3.00,1.7
Herbert Jones, SF,NOR ,Healthy,20.0,6.5,3.0,3.0,1.5,.516,1.000,2.0,1.5,2,35.9,2.0,6.0,1.00,3.5
Christian Wood," PF,C",HOU ,Healthy,13.3,5.0,2.3,0.7,1.3,.533,.444,1.3,2.0,3,25.0,1.3,4.0,2.30,2.0
Domantas Sabonis," PF,C",IND ,Healthy,19.5,16.0,6.5,1.5,1.5,.478,.682,1.0,4.5,2,38.2,7.5,4.5,3.20,3.5
De'Aaron Fox, PG,SAC ,Healthy,12.7,2.3,6.0,1.0,1.0,.326,.643,0.3,2.7,3,33.4,3.0,4.3,7.20,3.7
Amir Coffey," SF,SG",LAC , G-League ,12.3,4.0,3.0,0.7,1.0,.591,.750,2.7,0.0,3,29.5,1.0,1.7,0.00,1.0
Ty Jerome," PG,SG",OKC ,Healthy,12.3,4.7,4.0,0.0,1.3,.389,.833,1.3,1.3,3,25.9,1.7,3.3,3.50,2.7
