Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Cade Cunningham," PG,SG",DET , OUT ,10.7,6.3,9.7,0.7,1.3,.333,1.000,1.0,4.0,3,33.5,1.7,3.0,7.80,3.7
Isaiah Stewart," PF,C",DET ,Healthy,10.7,11.0,1.3,0.7,0.3,.522,.583,0.3,2.0,3,27.1,2.3,3.7,3.30,4.0
Mike Conley, PG,UTH ,Healthy,16.0,6.0,5.0,0.5,0.5,.367,.800,3.0,0.0,2,30.8,2.0,2.5,0.00,1.0
Luke Kennard," SG,SF",LAC , OUT ,16.0,4.5,2.0,0.0,1.0,.423,1.000,4.0,0.0,2,33.6,1.0,1.5,0.00,1.0
De'Anthony Melton," PG,SG",MEM ,Healthy,10.7,4.0,4.0,1.0,2.3,.379,.750,1.3,1.0,3,22.3,2.0,2.3,5.00,2.7
Jaden McDaniels," PF,SF",MIN ,Healthy,10.3,4.3,1.3,0.0,0.7,.546,.800,1.0,0.7,3,31.0,1.3,3.0,1.00,4.0
Josh Hart," SG,SF",NOR ,Healthy,15.5,10.0,6.5,0.5,2.0,.600,.546,0.5,3.0,2,41.2,3.0,5.5,4.40,2.5
Payton Pritchard, PG,BOS ,Healthy,10.0,2.3,2.7,0.3,0.7,.571,.000,2.0,1.0,3,20.9,0.0,2.0,3.50,1.0
Tristan Thompson," PF,C",SAC ,Healthy,10.0,8.7,2.0,0.3,0.3,.469,.000,0.0,2.3,3,28.0,0.0,5.0,2.80,2.3
Gary Payton," PG,SG",GSW ,Healthy,10.0,5.0,0.3,0.0,1.7,.565,.400,0.7,0.3,3,16.2,0.7,3.7,1.00,1.3
Jonathan Kuminga," SF,PF",GSW ,Healthy,10.0,1.0,0.7,0.0,1.0,.524,.667,1.3,2.0,3,15.5,1.3,2.3,0.30,1.3
Devin Vassell," SG,SF",SAS ,Healthy,10.0,5.3,1.7,0.7,0.3,.464,.000,1.3,0.7,3,25.9,0.0,3.0,0.50,0.3
Mikal Bridges," SG,SF",PHO ,Healthy,15.0,4.5,3.0,1.0,0.5,.407,.800,2.0,0.5,2,32.3,2.0,3.5,5.00,0.5
Damian Jones, C,SAC ,Healthy,9.7,4.7,0.3,1.3,0.3,.611,1.000,0.7,2.0,3,17.4,1.7,3.0,1.00,1.0
Coby White," PG,SG",CHI ,Healthy,14.5,3.0,2.0,0.0,0.5,.409,.857,2.5,1.5,2,28.1,3.0,2.0,3.00,1.5
JaVale McGee, C,PHO ,Healthy,14.5,8.5,0.5,1.0,0.5,.824,.500,0.0,1.5,2,15.7,0.5,7.0,0.50,3.0
Dewayne Dedmon, C,MIA ,Healthy,9.7,6.3,1.3,0.7,0.0,.667,.500,1.0,2.0,3,24.5,0.7,3.0,1.70,2.7
Terance Mann," SF,SG",LAC ,Healthy,14.5,5.5,4.0,0.5,0.5,.476,.778,1.0,0.5,2,38.6,3.5,4.0,3.00,1.5
Eric Gordon," SG,SF",HOU ,Healthy,14.0,0.5,5.5,0.0,1.0,.647,.500,2.5,2.0,2,27.8,0.5,3.0,5.50,0.0
Bryn Forbes," PG,SG",SAS ,Healthy,9.3,1.7,1.3,0.3,0.3,.478,.000,2.0,1.0,3,16.0,0.0,1.7,0.00,0.3
Jalen McDaniels," PF,C",CHA ,Healthy,9.3,4.3,1.0,0.7,1.0,.556,.833,1.0,0.7,3,23.2,1.7,2.3,2.00,2.0
Tim Hardaway," SG,SF",DAL , OUT ,28.0,6.0,6.0,1.0,2.0,.526,.800,4.0,1.0,1,40.9,4.0,6.0,6.00,2.0
Fred VanVleet," PG,SG",TOR , OUT ,27.0,7.0,12.0,1.0,3.0,.529,1.000,6.0,0.0,1,33.1,3.0,3.0,0.00,0.0
Robert Covington," PF,C,SF",POR ,Healthy,9.0,7.7,1.7,2.3,1.7,.458,.000,1.7,0.7,3,32.3,0.0,2.0,5.00,2.3
Alec Burks," SG,SF",NYK ,Healthy,13.5,6.5,5.0,0.0,0.5,.368,.818,2.0,2.5,2,41.2,4.5,1.5,7.00,1.5
Doug McDermott," SF,PF",SAS ,Healthy,13.5,2.0,1.5,0.5,0.0,.478,1.000,2.0,1.0,2,26.4,0.5,3.5,3.00,0.5
Frank Jackson," PG,SG",DET , DTD ,9.0,1.7,1.3,0.0,0.0,.370,.800,1.0,0.7,3,21.8,1.3,2.3,0.00,2.0
Andrew Wiggins," SG,SF",GSW , OUT ,27.0,6.0,2.0,1.0,1.0,.550,.000,5.0,0.0,1,36.1,0.0,6.0,0.00,4.0
Josh Giddey," PG,SG",OKC ,Healthy,13.5,11.5,10.5,0.0,0.5,.367,.333,1.5,3.5,2,30.7,1.0,4.0,6.20,1.5
Trey Lyles," PF,C",DET ,Healthy,9.0,4.3,2.0,1.3,0.3,.429,.875,0.7,1.0,3,18.0,2.3,2.3,4.00,1.7
Jae'Sean Tate," SF,PF",HOU ,Healthy,13.5,5.0,5.0,0.0,1.5,.522,.400,0.5,1.5,2,25.2,1.0,5.5,1.30,4.0
Seth Curry," PG,SG",PHI ,Healthy,26.0,4.0,7.0,0.0,1.0,.714,1.000,3.0,4.0,1,39.8,3.0,7.0,1.80,1.0
Tyler Herro," PG,SG",MIA ,Healthy,26.0,1.0,5.0,0.0,0.0,.471,.833,5.0,0.0,1,21.2,5.0,3.0,0.00,1.0
Terry Rozier," PG,SG",CHA ,Healthy,8.7,4.3,1.7,0.0,0.7,.256,1.000,1.3,0.3,3,26.0,0.7,2.0,0.00,1.0
Reggie Jackson," PG,SG",LAC , OUT ,13.0,2.0,5.0,0.0,2.0,.313,1.000,2.0,1.5,2,27.0,1.0,3.0,3.30,1.0
Cameron Johnson," SF,PF",PHO ,Healthy,13.0,6.0,1.0,0.5,1.0,.435,.000,3.0,0.5,2,23.6,0.0,2.0,1.00,2.0
Chris Paul, PG,PHO ,Healthy,12.5,2.5,9.0,0.0,1.0,.647,1.000,1.0,1.5,2,26.4,0.5,4.5,13.50,2.0
KJ Martin," SF,PF",HOU ,Healthy,12.5,6.0,1.0,0.5,1.0,.714,.750,1.0,1.0,2,26.0,1.5,4.0,2.00,1.5
Tobias Harris," SF,PF",PHI ,Healthy,25.0,7.0,3.0,0.0,1.0,.539,.800,3.0,2.0,1,41.4,8.0,4.0,1.50,3.0
Grayson Allen," SG,SF",MIL ,Healthy,25.0,3.0,0.0,1.0,3.0,.471,1.000,7.0,2.0,1,39.5,2.0,1.0,0.00,3.0
Enes Freedom, C,BOS ,Healthy,8.3,8.0,0.3,0.3,0.3,.632,.500,0.0,1.0,3,24.2,0.3,4.0,0.00,2.7
Paul George," SF,PF,SG",LAC ,Healthy,25.0,6.0,6.0,0.0,3.0,.471,.857,3.0,5.0,1,30.5,6.0,5.0,1.20,1.0
Bones Hyland," PG,SG",DEN ,Healthy,24.0,4.0,2.0,2.0,0.0,.727,.800,4.0,2.0,1,26.3,4.0,4.0,1.00,2.0
