Name,Team,Position,Total Points,Average Points
De'Andre Hunter,ATL,"SF, PF",173,15.7
Nicolas Batum,LAC,"SF, SG",428,23.8
Devin Vassell,SA,"SG, SF",606,23.3
Chuma Okeke,ORL,PF,470,17.4
Matisse Thybulle,PHI,"SF, SG",504,20.2
Kentavious Caldwell-Pope,WSH,"SG, SF",686,22.1
Dwight Howard,LAL,C,419,15.5
Isaac Okoro,CLE,SF,432,18.8
Rui Hachimura,WSH,"PF, SF",0,0.0
Larry Nance,POR,PF,628,19.6
Garrison Mathews,HOU,"SG, SF",420,21.0
Danny Green,PHI,"SG, SF",495,20.6
Gary Harris,ORL,SG,454,17.5
Isaiah Thomas,LAL,PG,42,10.5
Serge Ibaka,LAC,"C, PF",145,11.2
Precious Achiuwa,TOR,"PF, C",428,19.5
Tyus Jones,MEM,PG,675,21.1
Lonnie Walker,SA,"SF, SG",595,19.8
P.J. Tucker,MIA,"SF, PF",656,21.2
Anfernee Simons,POR,"SG, PG",534,19.1
Doug McDermott,SA,"SF, PF",396,17.2
Terrence Ross,ORL,"SG, SF",475,17.0
Jordan Nwora,MIL,SF,434,15.5
Gary Payton,GS,PG,598,19.9
Davion Mitchell,SAC,PG,577,19.9
Gabe Vincent,MIA,PG,525,17.5
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Nerlens Noel,NY,C,326,19.2
Patrick Williams,CHI,"SF, PF",72,14.4
Isaiah Roby,OKC,"PF, C",157,11.2
Enes Freedom,BOS,C,256,12.2
Shake Milton,PHI,"PG, SG",543,21.7
Danilo Gallinari,ATL,"PF, SF",478,18.4
Dewayne Dedmon,MIA,C,545,16.5
Willy Hernangomez,NO,C,359,19.9
Cedi Osman,CLE,SF,579,22.3
Goran Dragic,TOR,PG,90,18.0
Cameron Payne,PHX,PG,501,18.6
Rudy Gay,UTAH,PF,283,15.7
DeAndre Jordan,LAL,C,405,15.0
Deni Avdija,WSH,SF,605,18.9
Immanuel Quickley,NY,PG,526,18.1
Herbert Jones,NO,SF,612,20.4
Jeff Green,DEN,PF,517,16.7
Nic Claxton,BKN,"C, PF",227,18.9
Andre Iguodala,GS,"SF, SG",320,20.0
Rajon Rondo,LAL,PG,220,12.2
Naz Reid,MIN,C,527,17.6
Malik Monk,LAL,SG,564,19.4
Kenyon Martin,HOU,SF,537,16.8
Aleksej Pokusevski,OKC,PF,331,11.0
Nassir Little,POR,"SF, PF",550,20.4
Justin Holiday,IND,"SG, SF",471,17.4
Kevon Looney,GS,PF,600,18.2
Obi Toppin,NY,PF,463,16.5
Nemanja Bjelica,GS,PF,522,15.8
Cory Joseph,DET,PG,460,17.0
Tristan Thompson,SAC,"C, PF",368,14.7
Terence Davis,SAC,SG,317,15.9
Hamidou Diallo,DET,SG,398,16.6
Moses Brown,DAL,C,123,6.8
Onyeka Okongwu,ATL,C,87,29.0
Kendrick Nunn,LAL,SG,0,0.0
Khem Birch,TOR,C,290,19.3
Omer Yurtseven,MIA,C,226,9.4
Bruce Brown,BKN,SG,481,19.2
George Hill,MIL,"PG, SG",497,17.1
Josh Richardson,BOS,"SG, SF",445,20.2
Robin Lopez,ORL,C,252,16.8
Georges Niang,PHI,PF,515,18.4
Dwight Powell,DAL,C,488,15.3
Kenrich Williams,OKC,SF,478,17.1
Jonathan Kuminga,GS,"SF, PF",163,7.4
Furkan Korkmaz,PHI,SG,452,16.1
Jeremy Lamb,IND,"SG, SF",355,13.7
Tacko Fall,CLE,C,30,3.8
Jaden McDaniels,MIN,SF,487,16.8
Caleb Martin,MIA,"SG, SF",402,17.5
Bones Hyland,DEN,PG,330,15.0
Frank Kaminsky,PHX,"C, PF",221,24.6
James Bouknight,CHA,SG,86,5.7
Derrick Favors,OKC,"C, PF",346,14.4
Maxi Kleber,DAL,PF,380,19.0
Grant Williams,BOS,PF,479,17.1
Bol Bol,DEN,C,45,4.5
Lou Williams,ATL,SG,254,10.6
Jaxson Hayes,NO,C,228,10.9
Damion Lee,GS,"SF, SG",366,14.6
Josh Jackson,DET,"SF, SG",319,12.8
Jeremiah Robinson-Earl,OKC,"PF, C",478,15.4
Frank Jackson,DET,PG,464,15.0
Cam Thomas,BKN,SG,244,10.6
Marc Gasol,LAL,C,0,0.0
Davis Bertans,WSH,PF,200,9.1
Paul Millsap,BKN,PF,198,9.0
Sterling Brown,DAL,"SG, SF",252,10.5
Ish Smith,CHA,PG,253,11.5
Tomas Satoransky,NO,"PG, SG",213,7.6
Trey Lyles,DET,PF,464,15.0
Bryn Forbes,SA,"SG, PG",341,11.8
Reggie Bullock,DAL,"SF, SG",266,9.9
Josh Christopher,HOU,SG,275,11.0
Landry Shamet,PHX,SG,421,13.6
Juan Toscano-Anderson,GS,"PF, SF",454,14.2
Kessler Edwards,BKN,SF,95,19.0
David Duke,BKN,SG,114,22.8
Thanasis Antetokounmpo,MIL,SF,220,9.6
Saben Lee,DET,PG,237,15.8
Dennis Smith,POR,PG,265,16.6
Gorgui Dieng,ATL,"C, PF",262,9.7
Raul Neto,WSH,PG,471,15.2
Kent Bazemore,LAL,"SG, SF",236,11.2
Payton Pritchard,BOS,PG,235,8.7
Armoni Brooks,HOU,PG,395,14.1
Ayo Dosunmu,CHI,SG,290,11.6
Jalen McDaniels,CHA,PF,406,15.0
Willie Cauley-Stein,DAL,C,109,6.1
Oshae Brissett,IND,PF,277,12.6
Trevor Ariza,LAL,SF,37,18.5
Quentin Grimes,NY,SG,115,9.6
Derrick Jones,CHI,SF,381,16.6
Corey Kispert,WSH,SF,236,8.7
Yuta Watanabe,TOR,SF,166,16.6
Brandon Boston,LAC,SG,178,9.9
Javonte Green,CHI,SG,372,14.9
Kira Lewis,NO,PG,257,10.7
Moses Moody,GS,SG,79,3.6
R.J. Hampton,ORL,PG,382,13.2
Taurean Prince,MIN,"SF, PF",222,9.3
Aaron Holiday,WSH,"PG, SG",403,13.0
Boban Marjanovic,DAL,C,107,7.6
JaMychal Green,DEN,PF,362,13.4
Dean Wade,CLE,PF,290,13.2
Sharife Cooper,ATL,PG,1,0.1
Luka Garza,DET,C,132,6.9
Elfrid Payton,PHX,PG,131,8.2
Kostas Antetokounmpo,LAL,PF,0,0.0
Mike Muscala,OKC,"C, PF",379,15.8
Theo Pinson,DAL,SG,64,21.3
Miles McBride,NY,PG,85,12.1
Austin Rivers,DEN,SG,191,9.1
Xavier Tillman,MEM,PF,410,15.8
Tre Mann,OKC,PG,264,11.5
Trey Murphy,NO,SG,258,8.3
DeAndre' Bembry,BKN,SF,440,16.3
Austin Reaves,LAL,SG,191,11.2
Ziaire Williams,MEM,SG,161,8.5
Jalen Johnson,ATL,SF,32,3.2
Garrett Temple,NO,"SG, SF",418,13.5
D.J. Augustin,HOU,PG,297,10.2
Wayne Ellington,LAL,SG,305,11.7
Aaron Nesmith,BOS,SF,139,5.1
Cody Zeller,POR,C,289,12.0
Drew Eubanks,SA,PF,406,13.5
James Johnson,BKN,"PF, SF",289,15.2
Danuel House,NY,"SF, SG",145,8.5
Jared Butler,UTAH,SG,73,4.3
Eric Paschall,UTAH,PF,142,6.2
Svi Mykhailiuk,TOR,SG,377,13.0
Moritz Wagner,ORL,"C, PF",271,10.8
Tony Bradley,CHI,C,260,11.3
Romeo Langford,BOS,SG,287,11.0
Avery Bradley,LAL,SG,349,13.4
Trey Burke,DAL,"PG, SG",237,13.2
Zach Collins,SA,C,0,0.0
Joe Johnson,BOS,SG,3,3.0
Joshua Primo,SA,SG,63,7.9
Taj Gibson,NY,PF,217,12.8
Keita Bates-Diop,SA,SF,272,11.3
Kai Jones,CHA,PF,4,0.4
