Name,Team,Position,Total Points,Average Points
Spencer Dinwiddie,WSH,"SG, PG",702,26.0
Kyrie Irving,BKN,"PG, SG",0,0.0
Kemba Walker,NY,PG,612,27.8
Ben Simmons,PHI,PG,0,0.0
Dennis Schroder,BOS,PG,780,26.9
RJ Barrett,NY,"SF, SG",586,22.5
Jordan Poole,GS,"SG, PG",811,29.0
Nickeil Alexander-Walker,NO,SG,744,23.3
Reggie Jackson,LAC,PG,832,26.8
P.J. Washington,CHA,"PF, C",560,26.7
Ivica Zubac,LAC,C,802,25.1
Tim Hardaway,DAL,"SG, SF",751,25.9
Jordan Clarkson,UTAH,SG,720,22.5
Jalen Green,HOU,SG,360,18.9
Isaiah Stewart,DET,"C, PF",621,22.2
Eric Bledsoe,LAC,"PG, SG",721,22.5
Robert Covington,POR,"PF, SF",704,22.0
Chris Boucher,TOR,"C, PF",427,15.8
Evan Fournier,NY,"SG, SF",715,21.7
Michael Porter,DEN,"SF, PF",183,20.3
Bogdan Bogdanovic,ATL,"SG, SF",492,21.4
Joe Ingles,UTAH,"SF, SG, PF",630,19.7
Aaron Gordon,DEN,"PF, SF",799,26.6
Collin Sexton,CLE,"SG, PG",222,20.2
Thaddeus Young,SA,"PF, SF, C",384,17.5
Jonathan Isaac,ORL,"PF, SF",0,0.0
Lauri Markkanen,CLE,"PF, SF",541,23.5
Derrick Rose,NY,PG,659,25.3
Steven Adams,MEM,C,752,22.8
Andre Drummond,PHI,C,681,23.5
Marvin Bagley,SAC,PF,214,16.5
Malik Beasley,MIN,"SG, SF",650,20.3
Daniel Theis,HOU,"C, PF",360,18.0
Donte DiVincenzo,MIL,"SG, PG",4,4.0
Brook Lopez,MIL,C,28,28.0
Alex Caruso,CHI,"PG, SG",693,26.7
Hassan Whiteside,UTAH,C,584,19.5
Killian Hayes,DET,PG,457,19.0
LaMarcus Aldridge,BKN,"PF, C",696,27.8
Joe Harris,BKN,"SG, SF",274,19.6
Kawhi Leonard,LAC,"SF, PF",0,0.0
Luguentz Dort,OKC,"SG, SF",742,25.6
T.J. McConnell,IND,PG,596,24.8
Brandon Clarke,MEM,"PF, C",377,19.8
Monte Morris,DEN,PG,811,26.2
Jamal Murray,DEN,"PG, SG",0,0.0
Kyle Anderson,MEM,"SF, PF",663,22.9
Pat Connaughton,MIL,"SG, SF",890,25.4
Mason Plumlee,CHA,C,572,22.9
Dorian Finney-Smith,DAL,"SF, PF",772,24.9
T.J. Warren,IND,SF,0,0.0
Alec Burks,NY,"SG, PG",739,23.1
Thomas Bryant,WSH,C,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Duncan Robinson,MIA,"SG, SF",667,20.2
John Wall,HOU,PG,0,0.0
Jae Crowder,PHX,"PF, SF",683,21.3
Alperen Sengun,HOU,C,713,22.3
Jarred Vanderbilt,MIN,PF,708,24.4
JaVale McGee,PHX,C,715,22.3
Terance Mann,LAC,SF,656,21.2
James Wiseman,GS,C,0,0.0
Kevin Huerter,ATL,"SG, SF",568,20.3
Darius Bazley,OKC,"SF, PF",673,21.7
Blake Griffin,BKN,PF,393,17.1
Talen Horton-Tucker,LAL,"SG, SF",396,22.0
Cody Martin,CHA,SF,762,26.3
Royce O'Neale,UTAH,"SF, PF",733,24.4
Cam Reddish,ATL,"SF, SG",544,19.4
Marcus Morris,LAC,"PF, SF",299,23.0
DeMarcus Cousins,MIL,C,224,18.7
Coby White,CHI,PG,120,10.9
Cameron Johnson,PHX,SF,682,21.3
Patrick Beverley,MIN,PG,609,27.7
Victor Oladipo,MIA,SG,0,0.0
Luke Kennard,LAC,SG,695,22.4
Max Strus,MIA,SG,484,18.6
Otto Porter,GS,SF,576,20.6
Markelle Fultz,ORL,PG,0,0.0
Delon Wright,ATL,"SG, PG",406,13.5
