Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Kevin Durant," SF,PF",BKN , OUT ,27.7,5.3,6.7,1.3,1.7,.540,.958,2.0,1.7,3,38.3,7.7,7.0,16.00,2.7
Jaylen Brown," SG,SF",BOS ,Healthy,27.3,10.3,6.7,0.3,0.3,.517,.800,4.0,2.0,3,38.0,2.7,6.3,4.70,2.7
RJ Barrett," SG,SF",NYK ,Healthy,27.3,5.3,2.7,0.3,0.7,.508,.583,3.7,1.7,3,38.0,2.3,7.0,6.00,2.3
Terry Rozier," PG,SG",CHA ,Healthy,25.7,5.0,4.0,0.0,2.0,.537,.778,4.0,1.0,3,38.3,2.3,5.7,6.00,2.0
Jayson Tatum," SF,PF",BOS ,Healthy,25.3,7.3,2.0,0.7,1.0,.444,.913,2.3,4.7,3,36.2,7.0,5.7,1.60,1.7
Kyle Kuzma," SF,PF",WAS ,Healthy,25.0,12.3,4.3,0.7,0.0,.617,.647,2.0,3.0,3,36.2,3.7,7.7,5.10,0.7
Dejounte Murray," PG,SG",SAS ,Healthy,25.0,7.7,9.3,0.7,2.3,.448,.750,2.0,2.0,3,35.5,3.0,8.0,5.70,3.3
Domantas Sabonis," PF,C",IND ,Healthy,23.3,11.3,6.3,0.3,1.3,.622,.733,1.0,2.7,3,38.0,3.7,8.3,9.50,2.3
Giannis Antetokounmpo," PF,C",MIL ,Healthy,34.5,12.5,5.5,1.5,1.0,.553,.821,2.0,4.5,2,35.9,11.5,8.5,2.30,3.5
LeBron James," PG,SG,SF,PF",LAL ,Healthy,34.5,8.0,6.5,0.5,0.0,.563,.643,3.0,2.0,2,36.2,4.5,10.5,8.30,3.0
Karl-Anthony Towns, C,MIN ,Healthy,33.0,8.5,6.0,0.5,2.0,.585,.684,2.5,2.5,2,37.4,6.5,9.5,5.20,2.5
Terrence Ross," SG,SF",ORL ,Healthy,20.7,3.7,2.3,1.0,0.3,.489,.857,2.0,1.0,3,32.0,4.0,5.3,7.00,2.7
Joel Embiid," PF,C",PHI ,Healthy,31.0,7.0,4.5,1.5,0.5,.576,.852,0.5,4.5,2,29.5,11.5,9.0,3.40,3.0
Jaren Jackson," PF,C",MEM ,Healthy,20.0,10.3,1.3,4.7,2.3,.432,.947,1.3,1.7,3,26.9,6.0,5.0,3.50,3.7
DeMar DeRozan," SF,PF,SG",CHI ,Healthy,19.7,6.7,5.3,0.3,0.3,.533,.688,0.0,2.0,3,30.7,3.7,8.0,10.80,1.7
Christian Wood," PF,C",HOU ,Healthy,19.7,8.3,2.0,1.0,1.0,.489,.667,2.3,1.0,3,32.1,2.7,5.0,0.30,2.0
Saddiq Bey, SF,DET ,Healthy,19.7,5.7,2.7,0.7,0.0,.489,.750,3.0,1.3,3,36.6,2.0,4.3,2.50,1.3
Miles Bridges," SF,PF",CHA ,Healthy,19.7,9.0,2.3,1.0,1.0,.455,.500,2.0,1.0,3,38.7,1.0,6.3,0.70,3.0
Desmond Bane," PG,SG,SF",MEM ,Healthy,19.0,4.7,3.7,0.3,1.7,.488,.500,4.3,2.3,3,29.0,0.7,2.7,5.60,2.0
Jordan Clarkson," PG,SG",UTH ,Healthy,18.7,3.0,2.0,0.3,1.0,.488,.800,3.3,2.7,3,30.0,1.3,3.7,2.30,1.7
Marcus Morris," PF,C,SF",LAC ,Healthy,18.7,4.0,1.3,0.7,0.3,.435,.833,2.0,1.3,3,29.6,3.3,4.7,3.50,3.7
De'Aaron Fox, PG,SAC ,Healthy,18.3,4.3,3.3,0.3,0.7,.449,.667,0.3,2.7,3,34.6,3.3,7.0,4.00,2.7
Brandon Ingram," SF,PF",NOR ,Healthy,27.5,4.5,6.5,0.5,0.5,.531,.933,3.5,3.0,2,36.0,7.0,5.0,5.80,2.5
Stephen Curry," PG,SG",GSW ,Healthy,27.5,7.5,7.5,0.0,1.5,.429,.929,3.0,4.0,2,37.6,6.5,6.0,4.30,3.0
LaMelo Ball," PG,SG",CHA ,Healthy,18.3,7.0,6.3,0.0,0.7,.389,.875,2.0,2.3,3,32.5,2.3,5.0,12.80,1.7
Khris Middleton," SF,PF,SG",MIL ,Healthy,27.0,8.5,10.0,0.0,1.5,.528,1.000,3.5,6.5,2,36.9,4.5,6.0,3.10,3.5
Tyler Herro," PG,SG",MIA ,Healthy,27.0,7.0,7.0,1.0,1.5,.539,1.000,2.0,3.0,2,34.6,4.0,8.5,6.30,2.0
Anfernee Simons," PG,SG",POR , OUT ,27.0,4.5,8.5,0.0,0.0,.488,.833,4.5,3.5,2,36.6,2.5,5.5,5.20,2.5
Fred VanVleet," PG,SG",TOR ,Healthy,26.5,3.0,4.5,0.0,2.0,.400,.714,6.0,2.5,2,41.4,2.5,3.0,3.70,2.5
Gary Harris," SG,SF",ORL ,Healthy,17.7,2.0,1.3,0.7,1.0,.439,1.000,3.7,1.3,3,33.3,2.0,2.3,0.50,1.0
Gordon Hayward," SG,SF",CHA ,Healthy,17.7,4.3,4.0,0.7,1.3,.550,1.000,2.3,1.7,3,35.1,0.7,5.0,7.00,1.7
Zach LaVine," SG,SF",CHI ,Healthy,17.3,4.0,5.0,0.3,1.3,.409,1.000,2.0,3.3,3,32.2,3.3,4.0,8.70,1.7
Tyrese Haliburton," PG,SG",SAC ,Healthy,17.3,2.0,9.0,1.0,2.3,.514,.800,2.0,2.7,3,36.4,2.7,4.3,10.50,1.3
James Harden," PG,SG",BKN ,Healthy,25.5,7.0,14.0,1.0,1.0,.484,.933,3.5,4.0,2,38.6,7.0,4.0,10.00,1.5
