Name,Projected Average Points (ROS)
Stephen Curry,53.699999999999996
Joel Embiid,52.50000000000001
Nikola Jokic,53.900000000000006
Anthony Davis,47.50000000000001
James Harden,54.400000000000006
Jimmy Butler,49.4
Kristaps Porzingis,40.4
Kevin Durant,51.199999999999996
Karl-Anthony Towns,43.9
Jonas Valanciunas,40.1
Rudy Gobert,37.300000000000004
Giannis Antetokounmpo,56.29999999999998
Al Horford,34.9
Jarrett Allen,34.400000000000006
Damian Lillard,47.000000000000014
Donovan Mitchell,42.5
Myles Turner,32.300000000000004
Fred VanVleet,43.800000000000004
Jusuf Nurkic,36.2
Trae Young,47.10000000000001
LaMarcus Aldridge,32.800000000000004
Paul George,43.5
LeBron James,47.800000000000004
Jayson Tatum,42.3
Nerlens Noel,26.599999999999998
Bobby Portis,29.3
Domantas Sabonis,44.29999999999999
Ivica Zubac,28.200000000000003
Nikola Vucevic,38.7
Richaun Holmes,38.300000000000004
John Collins,38.59999999999999
Zach LaVine,41.6
Bradley Beal,39.90000000000001
Chris Paul,41.5
Mikal Bridges,29.699999999999996
Jaren Jackson Jr.,36.0
Gordon Hayward,35.699999999999996
Khris Middleton,38.79999999999999
Deandre Ayton,32.5
Clint Capela,33.0
Tobias Harris,36.7
Mike Conley,38.4
Brandon Ingram,40.199999999999996
Malcolm Brogdon,37.9
Evan Mobley,29.3
Devin Booker,38.2
C.J. McCollum,42.2
Jarred Vanderbilt,25.899999999999995
Jaylen Brown,38.3
Mitchell Robinson,24.9
Tyrese Maxey,35.2
Jrue Holiday,39.50000000000001
De'Aaron Fox,43.49999999999999
Tyrese Haliburton,35.599999999999994
Draymond Green,38.9
Pascal Siakam,39.49999999999999
Luka Doncic,47.00000000000001
Gary Trent Jr.,27.5
Kevin Love,27.200000000000003
Harrison Barnes,33.0
Julius Randle,43.4
Miles Bridges,35.300000000000004
Robert Williams,25.099999999999998
Anthony Edwards,34.49999999999999
Cade Cunningham,34.8
D'Angelo Russell,40.800000000000004
Kyle Lowry,33.99999999999999
Jakob Poeltl,27.3
Robert Covington,24.500000000000004
Steven Adams,25.299999999999997
Marcus Smart,32.9
Norman Powell,31.100000000000005
Seth Curry,28.199999999999996
Christian Wood,33.400000000000006
Lonzo Ball,36.900000000000006
Shai Gilgeous-Alexander,40.3
Matisse Thybulle,22.400000000000002
Naz Reid,26.699999999999996
Bojan Bogdanovic,27.2
Dejounte Murray,38.2
Desmond Bane,26.000000000000004
Scottie Barnes,32.0
Grayson Allen,25.899999999999995
Danny Green,22.0
Russell Westbrook,43.50000000000001
Jordan Poole,28.099999999999998
Montrezl Harrell,32.400000000000006
Andrew Wiggins,31.0
Alex Caruso,27.9
Derrick White,31.599999999999998
Isaiah Stewart,21.0
Taj Gibson,19.1
Derrick Rose,31.700000000000003
Pat Connaughton,23.7
Mohamed Bamba,31.600000000000005
Darius Garland,34.3
Garrison Mathews,23.500000000000004
Franz Wagner,26.8
Cole Anthony,35.3
Alperen Sengun,22.9
Luke Kennard,23.8
Tyler Herro,30.6
Caris LeVert,33.30000000000001
Wendell Carter Jr.,31.3
Alec Burks,25.600000000000005
Reggie Jackson,30.799999999999997
Shake Milton,28.8
Cody Martin,24.3
Xavier Tillman,19.3
Hassan Whiteside,21.0
Carmelo Anthony,26.2
Joe Ingles,25.600000000000005
Royce O'Neale,24.0
Kemba Walker,29.799999999999997
Josh Hart,25.499999999999996
Devonte' Graham,32.699999999999996
PJ Washington,27.999999999999996
JaVale McGee,22.1
Evan Fournier,27.9
Dennis Schroder,31.499999999999993
Aaron Gordon,28.499999999999996
Kyle Anderson,28.300000000000004
Buddy Hield,27.099999999999994
Daniel Gafford,25.599999999999998
Luguentz Dort,26.700000000000006
Kentavious Caldwell-Pope,22.1
Dillon Brooks,25.1
Nickeil Alexander-Walker,29.2
Herbert Jones,24.3
Jordan Clarkson,28.999999999999993
Duncan Robinson,22.699999999999996
Talen Horton-Tucker,26.900000000000002
Will Barton,27.8
Patrick Beverley,25.800000000000004
Jalen Brunson,31.3
Markieff Morris,17.900000000000002
Jae Crowder,21.300000000000004
Dorian Finney-Smith,21.6
Danilo Gallinari,20.700000000000003
Tim Hardaway Jr.,25.700000000000003
Kevin Huerter,23.4
Chris Duarte,25.099999999999998
Marcus Morris,23.5
Lauri Markkanen,25.300000000000004
Saddiq Bey,25.900000000000002
Jae'Sean Tate,25.200000000000006
Derrick Favors,19.400000000000002
George Hill,21.500000000000007
Cody Zeller,19.1
Monte Morris,26.199999999999996
Bruce Brown Jr.,20.6
Dwight Howard,18.400000000000002
Kelly Oubre,26.000000000000004
Ricky Rubio,29.899999999999995
Tony Bradley,17.4
Daniel Theis,25.6
Jalen Green,25.299999999999997
Robin Lopez,18.6
Jeff Green,20.400000000000002
De'Anthony Melton,28.799999999999997
DeAndre Jordan,17.5
Georges Niang,20.599999999999998
Cameron Johnson,19.400000000000006
Keldon Johnson,24.8
Terance Mann,20.7
Rudy Gay,21.4
Patrick Mills,21.599999999999998
Devin Vassell,19.799999999999997
Otto Porter,20.3
Cam Reddish,18.5
Doug McDermott,19.400000000000002
Spencer Dinwiddie,25.9
RJ Barrett,26.8
Josh Giddey,29.4
Andre Iguodala,21.5
P.J. Tucker,17.200000000000003
Terrence Ross,22.5
Davion Mitchell,24.699999999999996
Avery Bradley,17.4
Gary Harris,20.599999999999994
Dwight Powell,21.5
Anfernee Simons,19.6
Killian Hayes,23.500000000000004
Serge Ibaka,16.7
Eric Bledsoe,22.099999999999998
Josh Richardson,18.3
Malik Beasley,23.400000000000002
Furkan Korkmaz,20.900000000000006
Damion Lee,17.700000000000003
Kevin Porter Jr.,34.1
Chuma Okeke,20.300000000000004
Immanuel Quickley,21.5
Tristan Thompson,15.8
Jaden McDaniels,20.400000000000002
Jeremy Lamb,18.400000000000002
Dewayne Dedmon,13.499999999999998
Cameron Payne,23.5
Isaiah Hartenstein,24.399999999999995
Drew Eubanks,20.5
DeMarcus Cousins,14.7
Chris Boucher,23.399999999999995
Enes Kanter,13.499999999999998
Justin Holiday,17.0
Nassir Little,17.700000000000003
Nah'Shon Hyland,20.599999999999998
Eric Gordon,26.899999999999995
Cory Joseph,21.599999999999998
Sviatoslav Mykhailiuk,17.3
Isaac Okoro,19.099999999999998
Kyle Kuzma,26.2
Maxi Kleber,18.299999999999997
Lonnie Walker,18.299999999999997
Grant Williams,17.3
Nick Richards,12.6
Jeremiah Robinson-Earl,21.6
Ed Davis,12.2
Kent Bazemore,16.300000000000004
Alex Len,14.199999999999996
Willy Hernangomez,15.3
Reggie Bullock,16.599999999999998
Mike Muscala,14.2
Kenyon Martin Jr.,19.0
Gorgui Dieng,12.700000000000001
Kevon Looney,19.000000000000004
Damian Jones,13.5
Frank Jackson,19.400000000000002
Deni Avdija,15.700000000000003
Vernon Carey Jr.,12.300000000000002
Charles Bassey,13.000000000000002
Andre Drummond,14.300000000000002
Kenrich Williams,19.6
Jalen Smith,10.4
Larry Nance Jr.,19.000000000000004
Terence Davis II,18.7
