Name,Team,Position,Total Points,Average Points
Hamidou Diallo,DET,SG,283,14.9
Ish Smith,CHA,PG,195,10.8
Jeremiah Robinson-Earl,OKC,"PF, C",409,15.7
Marc Gasol,LAL,C,0,0.0
Davis Bertans,WSH,PF,173,9.6
Facundo Campazzo,DEN,PG,431,16.6
Bones Hyland,DEN,PG,279,14.7
Landry Shamet,PHX,SG,341,13.6
Paul Millsap,BKN,PF,198,9.4
Reggie Bullock,DAL,"SF, SG",266,10.2
Tomas Satoransky,NO,"PG, SG",181,7.5
Brandon Boston,LAC,SG,149,10.6
Gabe Vincent,MIA,PG,377,15.1
Saben Lee,DET,PG,156,14.2
Bryn Forbes,SA,"SG, PG",261,10.4
Juan Toscano-Anderson,GS,"PF, SF",368,14.2
James Johnson,BKN,"PF, SF",264,14.7
Cory Joseph,DET,PG,375,15.6
DeAndre' Bembry,BKN,SF,407,15.7
Thanasis Antetokounmpo,MIL,SF,192,9.6
Ayo Dosunmu,CHI,SG,290,11.6
Frank Jackson,DET,PG,372,14.3
Kent Bazemore,LAL,"SG, SF",198,10.4
Raul Neto,WSH,PG,402,14.9
Jaden McDaniels,MIN,SF,362,15.1
Onyeka Okongwu,ATL,C,0,0.0
Jordan Nwora,MIL,SF,259,11.3
Kenyon Martin,HOU,SF,394,15.2
Willie Cauley-Stein,DAL,C,109,6.1
Derrick Jones,CHI,SF,382,17.4
Trey Lyles,DET,PF,326,12.5
R.J. Hampton,ORL,PG,358,12.8
Kira Lewis,NO,PG,257,10.7
Josh Christopher,HOU,SG,172,9.1
Taurean Prince,MIN,"SF, PF",222,9.3
Moses Moody,GS,SG,46,2.6
JaMychal Green,DEN,PF,326,13.0
Trevor Ariza,LAL,SF,0,0.0
Boban Marjanovic,DAL,C,98,7.5
Sharife Cooper,ATL,PG,6,1.2
Avery Bradley,LAL,SG,330,13.2
Elfrid Payton,PHX,PG,127,10.6
Xavier Tillman,MEM,PF,326,15.5
Drew Eubanks,SA,PF,385,15.4
Kostas Antetokounmpo,LAL,PF,0,0.0
Mike Muscala,OKC,"C, PF",310,15.5
Luka Garza,DET,C,110,7.3
Payton Pritchard,BOS,PG,114,5.2
Garrett Temple,NO,"SG, SF",389,14.4
Trey Murphy,NO,SG,242,9.0
Gorgui Dieng,ATL,"C, PF",192,8.7
Tre Mann,OKC,PG,200,11.1
Aaron Holiday,WSH,"PG, SG",348,12.9
Ziaire Williams,MEM,SG,161,8.5
Cody Zeller,POR,C,289,12.0
D.J. Augustin,HOU,PG,230,10.0
Jalen Johnson,ATL,SF,21,3.0
Max Strus,MIA,SG,307,14.6
Austin Rivers,DEN,SG,134,7.4
Javonte Green,CHI,SG,333,14.5
Aaron Nesmith,BOS,SF,115,5.0
Danuel House,HOU,"SF, SG",146,9.1
Svi Mykhailiuk,TOR,SG,374,13.9
Jared Butler,UTAH,SG,73,4.3
Oshae Brissett,IND,PF,193,10.7
Eric Paschall,UTAH,PF,141,6.4
Wayne Ellington,LAL,SG,223,11.2
Ben McLemore,POR,SG,130,10.8
Moritz Wagner,ORL,"C, PF",240,10.0
Corey Kispert,WSH,SF,183,7.3
Yuta Watanabe,TOR,SF,122,15.3
Davon Reed,DEN,SG,92,15.3
Tony Bradley,CHI,C,214,10.2
Alex Len,SAC,C,293,14.7
Jalen McDaniels,CHA,PF,287,13.0
Zach Collins,SA,C,0,0.0
Kevin Knox,NY,SF,33,4.7
Markieff Morris,MIA,PF,127,12.7
Joshua Primo,SA,SG,63,7.9
Romeo Langford,BOS,SG,232,10.5
Torrey Craig,IND,SF,314,11.6
Robin Lopez,ORL,C,136,13.6
Kai Jones,CHA,PF,5,0.6
Taj Gibson,NY,PF,153,12.8
Juancho Hernangomez,BOS,"PF, SF",28,1.9
Dwayne Bacon,NY,SG,0,0.0
Isaiah Thomas,NO,PG,0,0.0
Trey Burke,DAL,"PG, SG",188,12.5
Ante Zizic,CLE,C,0,0.0
P.J. Dozier,DEN,PG,245,13.6
