Name,Team,Position,Total Points,Average Points
OG Anunoby,TOR,"SF, PF",540,36.0
Spencer Dinwiddie,WSH,"SG, PG",623,26.0
Dennis Schroder,BOS,PG,769,28.5
Ben Simmons,PHI,PG,0,0.0
RJ Barrett,NY,"SF, SG",570,22.8
Nickeil Alexander-Walker,NO,SG,675,23.3
Keldon Johnson,SA,"SF, PF",636,25.4
Seth Curry,PHI,"SG, PG",687,27.5
Tim Hardaway,DAL,"SG, SF",657,24.3
Kyrie Irving,BKN,"PG, SG",0,0.0
P.J. Washington,CHA,"PF, C",399,24.9
Isaiah Stewart,DET,"C, PF",545,22.7
Ivica Zubac,LAC,C,708,25.3
Carmelo Anthony,LAL,"PF, SF",660,23.6
Kemba Walker,NY,PG,422,23.4
Jordan Clarkson,UTAH,SG,565,21.7
Jalen Green,HOU,SG,321,17.8
Mitchell Robinson,NY,C,581,24.2
Bojan Bogdanovic,UTAH,"PF, SF",637,24.5
Eric Bledsoe,LAC,"PG, SG",608,21.7
Michael Porter,DEN,"SF, PF",183,20.3
Ricky Rubio,CLE,PG,788,27.2
Evan Fournier,NY,"SG, SF",555,20.6
Bogdan Bogdanovic,ATL,"SG, SF",452,22.6
Joe Ingles,UTAH,"SF, SG, PF",510,19.6
Lauri Markkanen,CLE,"PF, SF",514,25.7
Collin Sexton,CLE,"SG, PG",222,20.2
Saddiq Bey,DET,SF,566,21.8
Josh Giddey,OKC,"PG, SG",657,27.4
Andre Drummond,PHI,C,649,24.0
Thaddeus Young,SA,"PF, SF, C",381,18.1
Jonathan Isaac,ORL,"PF, SF",0,0.0
LaMarcus Aldridge,BKN,"PF, C",696,27.8
Marvin Bagley,SAC,PF,214,16.5
Alex Caruso,CHI,"PG, SG",658,27.4
Daniel Theis,HOU,"C, PF",302,16.8
Steven Adams,MEM,C,626,22.4
Donte DiVincenzo,MIL,"SG, PG",0,0.0
Brook Lopez,MIL,C,28,28.0
Malik Beasley,MIN,"SG, SF",500,18.5
Hassan Whiteside,UTAH,C,477,19.9
Dillon Brooks,MEM,"SG, SF",379,27.1
Killian Hayes,DET,PG,401,19.1
Joe Harris,BKN,"SG, SF",274,19.6
T.J. McConnell,IND,PG,596,24.8
Kawhi Leonard,LAC,"SF, PF",0,0.0
Brandon Clarke,MEM,"PF, C",377,19.8
Luguentz Dort,OKC,"SG, SF",646,25.8
Jamal Murray,DEN,"PG, SG",0,0.0
Pat Connaughton,MIL,"SG, SF",755,26.0
Mason Plumlee,CHA,C,476,23.8
Kyle Anderson,MEM,"SF, PF",536,22.3
Chris Duarte,IND,SG,591,21.9
Jae Crowder,PHX,"PF, SF",579,22.3
T.J. Warren,IND,SF,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Thomas Bryant,WSH,C,0,0.0
John Wall,HOU,PG,0,0.0
Kevin Huerter,ATL,"SG, SF",533,20.5
Duncan Robinson,MIA,"SG, SF",554,19.8
Dorian Finney-Smith,DAL,"SF, PF",645,23.9
Talen Horton-Tucker,LAL,"SG, SF",365,24.3
Kevin Love,CLE,PF,487,23.2
James Wiseman,GS,C,0,0.0
Alperen Sengun,HOU,C,575,22.1
De'Anthony Melton,MEM,"PG, SG",624,25.0
Darius Bazley,OKC,"SF, PF",561,21.6
Royce O'Neale,UTAH,"SF, PF",605,25.2
Marcus Morris,LAC,"PF, SF",268,22.3
Eric Gordon,HOU,SG,546,23.7
Victor Oladipo,MIA,SG,0,0.0
Blake Griffin,BKN,PF,285,15.0
Terance Mann,LAC,SF,568,21.0
Kentavious Caldwell-Pope,WSH,"SG, SF",623,22.3
Patrick Beverley,MIN,PG,508,26.7
Markelle Fultz,ORL,PG,0,0.0
Devin Vassell,SA,"SG, SF",516,24.6
Coby White,CHI,PG,79,8.8
De'Andre Hunter,ATL,"SF, PF",173,15.7
Cam Reddish,ATL,"SF, SG",410,17.8
Nicolas Batum,LAC,"SF, SG",381,25.4
Delon Wright,ATL,"SG, PG",288,11.5
Danilo Gallinari,ATL,"PF, SF",448,18.7
Dwight Howard,LAL,C,394,15.8
Otto Porter,GS,SF,435,18.1
Luke Kennard,LAC,SG,620,22.1
Matisse Thybulle,PHI,"SF, SG",421,20.0
Danny Green,PHI,"SG, SF",402,19.1
Rui Hachimura,WSH,"PF, SF",0,0.0
Isaac Okoro,CLE,SF,400,18.2
Precious Achiuwa,TOR,"PF, C",402,19.1
Terence Davis,SAC,SG,317,15.9
Doug McDermott,SA,"SF, PF",321,16.9
Serge Ibaka,LAC,"C, PF",107,9.7
Davion Mitchell,SAC,PG,552,19.7
Malik Monk,LAL,SG,528,18.9
P.J. Tucker,MIA,"SF, PF",590,21.1
Shake Milton,PHI,"PG, SG",510,22.2
Terrence Ross,ORL,"SG, SF",438,16.2
Dewayne Dedmon,MIA,C,443,15.8
Nerlens Noel,NY,C,238,18.3
Immanuel Quickley,NY,PG,467,17.3
Cedi Osman,CLE,SF,507,22.0
Willy Hernangomez,NO,C,299,21.4
Patrick Williams,CHI,"SF, PF",72,14.4
Isaiah Roby,OKC,"PF, C",156,12.0
Lonnie Walker,SA,"SF, SG",476,18.3
Enes Freedom,BOS,C,185,10.9
Rudy Gay,UTAH,PF,219,18.3
Isaiah Hartenstein,LAC,"PF, C",624,23.1
Goran Dragic,TOR,PG,90,18.0
Gary Payton,GS,PG,447,18.6
Herbert Jones,NO,SF,528,20.3
DeAndre Jordan,LAL,C,346,15.7
Jeff Green,DEN,PF,442,16.4
Armoni Brooks,HOU,PG,319,13.9
Dennis Smith,POR,PG,265,16.6
Rajon Rondo,LAL,PG,175,12.5
Nassir Little,POR,"SF, PF",450,19.6
Andre Iguodala,GS,"SF, SG",233,17.9
Kevon Looney,GS,PF,486,18.0
Aleksej Pokusevski,OKC,PF,297,11.4
DeMarcus Cousins,MIL,C,73,10.4
Gary Harris,ORL,SG,318,14.5
Georges Niang,PHI,PF,515,18.4
Bruce Brown,BKN,SG,446,18.6
Obi Toppin,NY,PF,435,16.7
Nemanja Bjelica,GS,PF,406,15.0
Cameron Payne,PHX,PG,366,17.4
Moses Brown,DAL,C,98,7.5
Justin Holiday,IND,"SG, SF",412,17.9
Khem Birch,TOR,C,290,19.3
Kendrick Nunn,LAL,SG,0,0.0
Nic Claxton,BKN,"C, PF",115,12.8
Caleb Martin,MIA,"SG, SF",402,17.5
Quentin Grimes,NY,SG,87,7.9
Naz Reid,MIN,C,434,17.4
Cam Thomas,BKN,SG,197,9.9
James Bouknight,CHA,SG,73,6.1
Chuma Okeke,ORL,PF,304,13.8
Furkan Korkmaz,PHI,SG,447,16.6
Kenrich Williams,OKC,SF,382,16.6
George Hill,MIL,"PG, SG",409,17.8
Josh Richardson,BOS,"SG, SF",363,18.2
Maxi Kleber,DAL,PF,329,18.3
Dwight Powell,DAL,C,405,15.0
Grant Williams,BOS,PF,479,17.1
Frank Kaminsky,PHX,"C, PF",221,24.6
Jeremy Lamb,IND,"SG, SF",290,13.2
Jonathan Kuminga,GS,"SF, PF",92,5.8
Deni Avdija,WSH,SF,479,17.1
Chimezie Metu,SAC,C,299,19.9
Tristan Thompson,SAC,"C, PF",260,13.0
Derrick Favors,OKC,"C, PF",278,13.9
Bol Bol,DEN,C,42,4.7
Jaxson Hayes,NO,C,224,11.2
Lou Williams,ATL,SG,234,10.6
Tacko Fall,CLE,C,11,1.6
Damion Lee,GS,"SF, SG",287,13.7
Josh Jackson,DET,"SF, SG",313,13.6
