Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Delon Wright," PG,SG",ATL , OUT ,12.5,4.5,4.0,1.0,1.5,.556,.000,2.5,1.0,2,33.8,0.0,2.5,8.00,0.5
Caleb Martin, G,MIA ,Healthy,12.5,4.0,1.5,1.0,1.0,.579,.333,1.0,1.0,2,29.0,0.5,4.5,3.00,1.0
Alperen Sengun, C,HOU ,Healthy,8.3,5.3,2.0,1.7,0.3,.522,.333,0.0,2.0,3,18.9,0.3,4.0,3.80,4.0
Jayson Tatum," SF,PF",BOS , OUT ,25.0,9.0,4.0,2.0,2.0,.350,.875,4.0,4.0,1,39.8,7.0,3.0,1.00,3.0
Kenrich Williams," SF,PF",OKC ,Healthy,8.0,5.7,1.0,0.0,0.7,.455,.500,1.0,0.7,3,23.4,0.3,2.3,0.50,1.7
Jaxson Hayes, C,NOR ,Healthy,8.0,5.7,1.0,0.3,0.7,.571,1.000,0.0,1.0,3,19.4,2.7,2.7,3.00,3.7
Bruce Brown," SG,SF",BKN ,Healthy,12.0,5.5,2.5,0.0,1.5,.625,1.000,0.0,1.0,2,32.1,2.0,5.0,5.00,4.5
Marcus Morris," PF,C,SF",LAC ,Healthy,24.0,5.0,6.0,0.0,0.0,.462,1.000,4.0,1.0,1,27.1,8.0,2.0,6.00,2.0
Nemanja Bjelica, PF,GSW ,Healthy,8.0,5.7,1.7,0.3,0.0,.400,.571,1.3,0.7,3,20.1,1.3,1.3,3.00,2.7
Damian Jones, C,SAC ,Healthy,12.0,10.0,0.5,1.5,0.5,.571,.800,0.0,1.0,2,25.1,4.0,4.0,1.00,3.0
Aaron Holiday," PG,SG",WAS ,Healthy,12.0,1.5,3.0,0.0,1.0,.526,.000,2.0,0.5,2,28.0,0.0,3.0,5.00,1.5
De'Aaron Fox, PG,SAC ,Healthy,12.0,4.0,6.5,0.5,0.5,.310,.667,0.0,5.0,2,32.5,3.0,4.5,3.40,4.0
Kyle Anderson," SF,PF",MEM ,Healthy,8.0,4.7,2.0,0.7,0.7,.500,.750,1.0,1.3,3,23.0,1.0,2.0,3.30,2.7
D.J. Wilson," PF,C",TOR ,Healthy,12.0,7.0,2.0,0.5,2.5,.727,.800,0.0,1.0,2,23.4,4.0,4.0,2.00,2.5
Mike Muscala," PF,C",OKC ,Healthy,7.7,4.0,0.3,1.0,0.0,.615,1.000,1.7,0.0,3,12.4,0.7,1.0,0.00,2.0
R.J. Hampton," PG,SG",ORL , OUT ,11.5,2.0,4.5,1.0,2.0,.400,.000,1.5,0.5,2,30.0,0.0,3.5,4.00,0.5
Luka Garza, C,DET ,Healthy,11.5,4.5,1.0,0.0,0.0,.533,.714,1.0,0.5,2,12.6,2.5,3.0,2.00,3.0
Buddy Hield," SG,SF",SAC ,Healthy,11.5,2.0,0.5,0.5,0.0,.412,1.000,1.5,1.0,2,24.6,3.0,2.0,1.00,2.0
Steven Adams, C,MEM ,Healthy,7.7,10.0,5.0,0.3,0.7,.600,.714,0.0,1.3,3,27.1,1.7,3.0,8.30,2.7
Denzel Valentine," SG,SF",CLE ,Healthy,11.5,6.0,2.5,0.0,1.0,.533,.000,3.5,0.0,2,25.0,0.0,0.5,0.00,2.0
