Name,Team,Position,Total Points,Average Points
Harrison Barnes,SAC,"SF, PF",1035,27.2
Norman Powell,POR,"SG, SF",973,28.6
Ben Simmons,PHI,PG,0,0.0
Dennis Schroder,BOS,PG,897,26.4
Seth Curry,PHI,"SG, PG",1041,29.7
Kemba Walker,NY,PG,622,25.9
Jordan Poole,GS,"SG, PG",924,28.0
Jalen Green,HOU,SG,524,19.4
Kelly Oubre,CHA,"PF, SF",1107,27.7
Reggie Jackson,LAC,PG,949,25.6
P.J. Washington,CHA,"PF, C",635,26.5
Tim Hardaway,DAL,"SG, SF",873,25.7
Keldon Johnson,SA,"SF, PF",901,25.0
Nickeil Alexander-Walker,NO,SG,801,21.6
Jordan Clarkson,UTAH,SG,925,23.1
Bojan Bogdanovic,UTAH,"PF, SF",1031,25.8
Carmelo Anthony,LAL,"PF, SF",993,24.2
Ivica Zubac,LAC,C,923,24.9
Isaiah Stewart,DET,"C, PF",682,22.0
Mitchell Robinson,NY,C,928,25.1
Robert Covington,POR,"PF, SF",876,23.7
Chris Boucher,TOR,"C, PF",646,18.5
Franz Wagner,ORL,"SF, PF",1144,27.9
Bogdan Bogdanovic,ATL,"SG, SF",592,22.8
Michael Porter,DEN,"SF, PF",183,20.3
Evan Fournier,NY,"SG, SF",866,22.2
Joe Ingles,UTAH,"SF, SG, PF",681,18.9
Collin Sexton,CLE,"SG, PG",222,20.2
Lauri Markkanen,CLE,"PF, SF",788,24.6
Aaron Gordon,DEN,"PF, SF",908,25.9
Thaddeus Young,SA,"PF, SF, C",391,17.0
Jonathan Isaac,ORL,"PF, SF",0,0.0
Andre Drummond,PHI,C,832,24.5
Steven Adams,MEM,C,954,23.9
Marvin Bagley,SAC,PF,366,15.9
Daniel Theis,HOU,"C, PF",421,17.5
Malik Beasley,MIN,"SG, SF",794,19.9
Donte DiVincenzo,MIL,"SG, PG",27,6.8
Hassan Whiteside,UTAH,C,746,20.7
Derrick Rose,NY,PG,659,25.3
Brook Lopez,MIL,C,28,28.0
Killian Hayes,DET,PG,529,18.2
Kawhi Leonard,LAC,"SF, PF",0,0.0
Joe Harris,BKN,"SG, SF",274,19.6
Alex Caruso,CHI,"PG, SG",693,26.7
Dillon Brooks,MEM,"SG, SF",595,28.3
T.J. McConnell,IND,PG,596,24.8
LaMarcus Aldridge,BKN,"PF, C",759,26.2
Ricky Rubio,CLE,PG,1011,29.7
Marcus Morris,LAC,"PF, SF",528,26.4
Mason Plumlee,CHA,C,755,23.6
Patty Mills,BKN,PG,910,23.3
Jamal Murray,DEN,"PG, SG",0,0.0
Monte Morris,DEN,PG,908,25.9
Alec Burks,NY,"SG, PG",983,24.6
Dorian Finney-Smith,DAL,"SF, PF",984,25.2
Hamidou Diallo,DET,SG,712,22.3
T.J. Warren,IND,SF,0,0.0
Thomas Bryant,WSH,C,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Cameron Johnson,PHX,SF,910,23.3
Chris Duarte,IND,SG,757,22.3
Duncan Robinson,MIA,"SG, SF",784,21.2
Patrick Beverley,MIN,PG,786,29.1
John Wall,HOU,PG,0,0.0
Pat Connaughton,MIL,"SG, SF",946,23.7
Kevin Huerter,ATL,"SG, SF",686,21.4
Jae Crowder,PHX,"PF, SF",704,21.3
James Wiseman,GS,C,0,0.0
Terance Mann,LAC,SF,860,21.5
De'Anthony Melton,MEM,"PG, SG",839,25.4
Blake Griffin,BKN,PF,465,15.5
Alperen Sengun,HOU,C,755,21.6
Talen Horton-Tucker,LAL,"SG, SF",540,21.6
Grayson Allen,MIL,SG,797,22.1
Cam Reddish,ATL,"SF, SG",645,19.0
Terrence Ross,ORL,"SG, SF",645,19.5
Eric Gordon,HOU,SG,834,23.8
Darius Bazley,OKC,"SF, PF",709,20.9
Royce O'Neale,UTAH,"SF, PF",908,23.9
Victor Oladipo,MIA,SG,0,0.0
Kentavious Caldwell-Pope,WSH,"SG, SF",838,22.6
Otto Porter,GS,SF,710,21.5
JaVale McGee,PHX,C,752,21.5
Gary Harris,ORL,SG,679,20.0
Markelle Fultz,ORL,PG,0,0.0
De'Andre Hunter,ATL,"SF, PF",173,15.7
Gary Payton,GS,PG,768,21.3
Rui Hachimura,WSH,"PF, SF",5,5.0
Delon Wright,ATL,"SG, PG",491,14.4
Matisse Thybulle,PHI,"SF, SG",634,21.1
Devin Vassell,SA,"SG, SF",756,23.6
Cody Martin,CHA,SF,887,24.6
Nicolas Batum,LAC,"SF, SG",505,23.0
Rajon Rondo,CLE,PG,290,13.8
Dwight Howard,LAL,C,484,15.6
Serge Ibaka,LAC,"C, PF",299,13.6
Danny Green,PHI,"SG, SF",544,19.4
Tyus Jones,MEM,PG,889,21.7
Isaac Okoro,CLE,SF,487,18.0
Lonnie Walker,SA,"SF, SG",710,19.7
Precious Achiuwa,TOR,"PF, C",528,18.9
Trey Lyles,DET,PF,608,16.9
Larry Nance,POR,PF,768,20.8
P.J. Tucker,MIA,"SF, PF",736,21.6
Luke Kennard,LAC,SG,783,22.4
Doug McDermott,SA,"SF, PF",453,17.4
Facundo Campazzo,DEN,PG,758,20.5
Isaiah Roby,OKC,"PF, C",232,12.9
Patrick Williams,CHI,"SF, PF",72,14.4
Immanuel Quickley,NY,PG,689,18.6
Davion Mitchell,SAC,PG,652,17.6
DeMarcus Cousins,MIL,C,350,20.6
Max Strus,MIA,SG,565,19.5
Enes Freedom,BOS,C,282,11.8
Nerlens Noel,NY,C,326,19.2
Nassir Little,POR,"SF, PF",743,21.2
Goran Dragic,TOR,PG,90,18.0
Cedi Osman,CLE,SF,639,22.0
Kevon Looney,GS,PF,753,19.3
Bol Bol,DET,C,68,5.2
Danilo Gallinari,ATL,"PF, SF",551,18.4
Caleb Martin,MIA,"SG, SF",588,19.6
Jalen Smith,PHX,PF,271,15.1
Andre Iguodala,GS,"SF, SG",417,20.9
Garrison Mathews,HOU,"SG, SF",519,20.8
Shake Milton,PHI,"PG, SG",559,20.7
Rudy Gay,UTAH,PF,449,18.0
Bismack Biyombo,PHX,C,94,31.3
DeAndre Jordan,LAL,C,421,15.0
Justin Holiday,IND,"SG, SF",628,17.9
Aleksej Pokusevski,OKC,PF,404,11.2
Onyeka Okongwu,ATL,C,172,24.6
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Cameron Payne,PHX,PG,656,19.3
Jaden McDaniels,MIN,SF,675,18.2
Dwight Powell,DAL,C,667,16.7
Furkan Korkmaz,PHI,SG,611,17.5
Chuma Okeke,ORL,PF,534,17.8
Deni Avdija,WSH,SF,756,18.9
Obi Toppin,NY,PF,571,15.9
Naz Reid,MIN,C,682,18.4
Jeff Green,DEN,PF,594,17.0
Nemanja Bjelica,GS,PF,588,15.1
Kendrick Nunn,LAL,SG,0,0.0
Moses Brown,DAL,C,144,6.0
Maxi Kleber,DAL,PF,508,20.3
Jordan Nwora,MIL,SF,562,17.0
Aaron Wiggins,OKC,SG,323,16.2
Josh Jackson,DET,"SF, SG",436,14.5
Khem Birch,TOR,C,366,17.4
Isaiah Thomas,DAL,PG,54,10.8
Bruce Brown,BKN,SG,585,19.5
Chimezie Metu,SAC,C,566,21.0
Willy Hernangomez,NO,C,402,18.3
Terence Davis,SAC,SG,373,15.5
Georges Niang,PHI,PF,625,17.9
Jonathan Kuminga,GS,"SF, PF",201,7.4
George Hill,MIL,"PG, SG",563,17.1
Gabe Vincent,MIA,PG,582,18.2
Jaylen Nowell,MIN,SG,419,16.1
Kenyon Martin,HOU,SF,678,17.4
Cory Joseph,DET,PG,521,18.0
Jeremy Lamb,IND,"SG, SF",382,13.6
Jaxson Hayes,NO,C,370,13.2
Dewayne Dedmon,MIA,C,545,16.5
Kenrich Williams,OKC,SF,628,17.4
Tacko Fall,CLE,C,50,5.0
Alex Len,SAC,C,428,15.9
Reggie Bullock,DAL,"SF, SG",419,12.7
