Name,Team,Position,Total Points,Average Points
Grant Williams,BOS,PF,600,16.7
Tristan Thompson,SAC,"C, PF",390,13.0
James Bouknight,CHA,SG,100,5.6
Lou Williams,ATL,SG,282,10.4
Derrick Favors,OKC,"C, PF",388,13.4
Frank Kaminsky,PHX,"C, PF",221,24.6
Damion Lee,GS,"SF, SG",425,15.2
Marc Gasol,LAL,C,0,0.0
Davis Bertans,WSH,PF,290,10.7
Bryn Forbes,SA,"SG, PG",477,12.6
Keifer Sykes,IND,SG,139,19.9
Paul Millsap,BKN,PF,209,9.1
Ayo Dosunmu,CHI,SG,433,13.1
Jeremiah Robinson-Earl,OKC,"PF, C",561,16.0
Ish Smith,CHA,PG,320,11.9
Tomas Satoransky,NO,"PG, SG",267,8.6
Amir Coffey,LAC,SG,347,13.3
Bones Hyland,DEN,PG,387,13.8
Juan Toscano-Anderson,GS,"PF, SF",532,14.4
Josh Christopher,HOU,SG,449,13.2
Thanasis Antetokounmpo,MIL,SF,232,8.9
Saben Lee,DET,PG,346,17.3
Kent Bazemore,LAL,"SG, SF",252,10.5
Landry Shamet,PHX,SG,496,14.2
Willie Cauley-Stein,DAL,C,109,6.1
R.J. Hampton,ORL,PG,535,14.5
Jalen McDaniels,CHA,PF,528,15.5
Dennis Smith,POR,PG,366,16.6
Payton Pritchard,BOS,PG,303,9.8
Derrick Jones,CHI,SF,471,16.2
Greg Monroe,WSH,C,104,20.8
DeAndre' Bembry,BKN,SF,604,17.3
Kyle Guy,MIA,SG,102,20.4
Raul Neto,WSH,PG,509,15.0
Duane Washington,IND,PG,135,13.5
Austin Rivers,DEN,SG,284,10.1
JaMychal Green,DEN,PF,466,13.7
Luka Garza,DET,C,234,9.4
Garrett Temple,NO,"SG, SF",572,15.1
Mike Muscala,OKC,"C, PF",536,16.8
Trevor Ariza,LAL,SF,74,10.6
Kira Lewis,NO,PG,257,10.7
Brandon Boston,LAC,SG,263,11.4
Taurean Prince,MIN,"SF, PF",274,9.4
Moses Moody,GS,SG,94,3.9
D.J. Wilson,TOR,PF,69,23.0
Ziaire Williams,MEM,SG,232,10.1
Boban Marjanovic,DAL,C,106,7.1
Frank Jackson,DET,PG,501,15.2
Kostas Antetokounmpo,LAL,PF,0,0.0
Sharife Cooper,ATL,PG,6,0.7
Elfrid Payton,PHX,PG,186,8.9
Avery Bradley,LAL,SG,505,15.3
Quentin Grimes,NY,SG,223,11.2
Gorgui Dieng,ATL,"C, PF",292,10.4
Derrick Walton,DET,PG,82,27.3
Corey Kispert,WSH,SF,347,9.9
Eric Paschall,UTAH,PF,199,7.1
Aaron Holiday,WSH,"PG, SG",434,13.2
Javonte Green,CHI,SG,460,15.9
Cody Zeller,POR,C,328,12.1
Trey Murphy,NO,SG,268,7.9
David Nwaba,HOU,"SG, SF",479,14.5
Oshae Brissett,IND,PF,408,13.6
Jalen Johnson,ATL,SF,32,2.9
Justise Winslow,LAC,SF,323,10.8
Aaron Nesmith,BOS,SF,139,5.0
Danuel House,UTAH,"SF, SG",186,9.3
Joshua Primo,SA,SG,182,10.7
Damian Jones,SAC,C,305,12.2
Tre Mann,OKC,PG,300,11.5
Armoni Brooks,HOU,PG,464,14.1
Robin Lopez,ORL,C,271,15.9
Yuta Watanabe,TOR,SF,224,16.0
Jared Butler,UTAH,SG,94,4.7
D.J. Augustin,HOU,PG,303,9.8
Austin Reaves,LAL,SG,260,11.8
Taj Gibson,NY,PF,346,13.8
Moritz Wagner,ORL,"C, PF",333,11.1
Torrey Craig,IND,SF,475,13.2
