Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
De'Aaron Fox, PG,SAC ,Healthy,25.3,3.5,3.3,0.0,1.8,.567,.742,0.5,1.8,4,30.8,5.8,9.0,7.00,2.5
Trae Young, PG,ATL ,Healthy,33.3,5.0,7.7,0.0,1.7,.493,.917,2.7,5.0,3,33.9,7.3,9.0,6.70,1.3
Nikola Jokic," PF,C",DEN ,Healthy,30.0,15.3,9.3,1.0,1.7,.648,.765,2.3,4.3,3,33.3,4.3,9.3,6.70,2.3
Brandon Ingram," SF,PF",NOR ,Healthy,29.0,6.0,6.0,0.7,0.7,.477,.741,1.7,1.0,3,36.6,6.7,8.7,11.00,1.7
LeBron James," PG,SG,SF,PF",LAL ,Healthy,29.0,6.3,7.0,1.7,1.3,.576,.727,3.7,3.3,3,38.3,2.7,7.7,7.20,1.7
Kristaps Porzingis," PF,C",DAL ,Healthy,20.5,8.5,2.0,2.0,0.0,.411,.889,1.5,1.5,4,31.2,4.0,6.0,3.60,2.8
Giannis Antetokounmpo," PF,C",MIL , OUT ,27.0,11.7,6.3,1.0,1.7,.592,.733,0.3,4.0,3,34.2,7.3,9.3,5.50,3.7
Gordon Hayward," SG,SF",CHA ,Healthy,25.7,5.0,5.3,0.3,0.3,.622,.857,3.0,1.7,3,33.8,4.0,6.3,4.80,1.0
Karl-Anthony Towns, C,MIN ,Healthy,25.3,7.0,3.3,1.3,1.3,.500,.905,1.0,4.0,3,33.7,6.3,8.0,3.20,4.0
Damian Lillard, PG,POR ,Healthy,25.3,6.0,6.7,0.7,0.3,.319,.792,4.3,4.0,3,40.7,6.3,3.0,5.00,0.7
Anthony Edwards," SG,SF",MIN ,Healthy,25.0,4.3,2.0,0.7,1.3,.529,.889,4.3,2.3,3,31.7,2.7,4.7,2.70,2.3
Isaac Okoro," SG,SF",CLE ,Healthy,18.5,3.8,1.5,0.3,0.8,.700,.889,2.5,1.3,4,29.3,2.0,4.5,4.50,1.8
Bobby Portis," PF,C",MIL ,Healthy,18.3,8.8,1.5,1.0,1.5,.475,.727,2.3,1.3,4,29.5,2.0,4.8,2.50,1.5
Jrue Holiday," PG,SG",MIL ,Healthy,17.8,2.8,8.5,0.3,1.5,.547,.692,1.0,1.5,4,33.9,2.3,6.3,13.00,1.3
Domantas Sabonis," PF,C",IND ,Healthy,23.3,11.7,4.0,0.3,1.3,.675,.750,0.3,2.7,3,35.3,5.0,8.7,4.50,2.0
Bradley Beal," SG,SF",WAS ,Healthy,23.3,4.3,6.7,0.3,0.7,.484,.556,1.7,3.7,3,36.2,1.7,8.3,7.50,3.3
Jalen Brunson," PG,SG",DAL ,Healthy,17.5,5.3,5.3,0.0,0.5,.549,.786,0.8,1.8,4,31.2,2.8,6.3,14.50,2.0
Dillon Brooks," SG,SF",MEM ,Healthy,23.3,4.3,3.3,0.0,0.3,.458,.833,2.0,1.7,3,32.5,6.7,5.3,6.00,2.7
Kevin Love," PF,C",CLE ,Healthy,16.8,8.0,1.5,0.5,0.3,.546,1.000,3.5,1.8,4,18.9,4.3,1.0,3.50,1.8
Jayson Tatum," SF,PF",BOS ,Healthy,33.0,6.0,3.5,0.5,1.5,.520,.546,4.0,3.5,2,35.8,3.0,9.0,2.10,1.5
Stephen Curry," PG,SG",GSW ,Healthy,22.0,6.0,4.7,0.7,0.7,.373,.818,4.3,4.7,3,35.4,3.0,3.0,3.40,2.0
Darius Garland," PG,SG",CLE ,Healthy,16.3,3.5,8.3,0.3,1.8,.444,1.000,2.3,3.5,4,32.5,2.0,3.8,9.70,2.0
Buddy Hield," SG,SF",SAC ,Healthy,16.3,3.3,1.3,0.5,1.5,.400,1.000,3.5,1.8,4,28.7,1.8,2.0,3.50,1.5
Tyrese Maxey," PG,SG",PHI ,Healthy,21.3,1.7,4.7,1.0,0.3,.595,.800,2.0,2.3,3,33.9,2.7,6.3,5.80,2.3
Norman Powell," SG,SF",POR ,Healthy,21.0,4.7,3.0,0.7,1.7,.478,.833,3.0,2.7,3,39.3,3.3,4.3,6.00,3.3
Jarrett Allen, C,CLE ,Healthy,15.8,9.5,2.5,2.0,0.8,.697,.895,0.0,1.5,4,28.9,4.3,5.8,2.30,2.3
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,20.7,3.7,3.3,1.3,0.3,.404,.875,2.0,2.0,3,33.3,4.7,5.0,7.30,2.0
Caris LeVert," SG,SF",IND ,Healthy,20.3,2.7,4.7,0.3,1.3,.444,1.000,3.0,2.0,3,35.2,1.3,5.0,8.70,1.3
Pat Connaughton," SG,SF",MIL ,Healthy,15.3,4.5,0.5,0.5,1.3,.611,1.000,3.0,0.3,4,29.1,1.3,2.5,2.00,1.5
Alperen Sengun, C,HOU ,Healthy,15.0,7.0,3.8,1.5,1.3,.550,.762,0.0,1.8,4,22.7,4.0,5.5,8.50,3.5
Tim Hardaway," SG,SF",DAL ,Healthy,15.0,4.8,3.0,0.0,1.0,.383,1.000,3.0,1.0,4,30.0,0.5,2.8,2.50,2.0
Fred VanVleet," PG,SG",TOR ,Healthy,20.0,4.3,8.3,0.3,2.3,.396,1.000,4.0,3.0,3,37.2,3.3,2.3,8.50,1.7
