Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rayjon Tucker,F,24,DEN,1,0,22.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0
Myles Turner,C,25,IND,35,35,29.5,5.0,9.4,.527,1.7,4.5,.365,3.3,4.9,.678,.615,1.9,2.5,.759,1.5,5.8,7.3,1.0,0.6,2.8,1.3,2.7,13.5
Jonas Valančiūnas,C,29,NOP,33,33,31.5,7.2,13.7,.522,1.0,2.3,.453,6.1,11.4,.536,.560,3.2,3.9,.814,3.6,8.4,12.0,2.4,0.6,1.0,2.3,3.2,18.5
Denzel Valentine,SG,28,CLE,22,0,9.3,1.0,2.8,.371,0.8,2.0,.409,0.2,0.8,.278,.516,0.0,0.0,,0.4,1.3,1.7,0.5,0.3,0.0,0.5,0.8,2.9
Jarred Vanderbilt,PF,22,MIN,30,23,24.7,2.5,4.5,.559,0.1,0.3,.222,2.5,4.2,.583,.566,0.9,1.3,.718,3.1,5.4,8.5,1.2,1.5,0.8,1.1,2.8,6.1
Fred VanVleet,PG,27,TOR,29,29,37.9,7.1,16.6,.430,3.4,8.7,.393,3.7,7.9,.472,.533,2.8,3.2,.870,0.8,4.2,5.0,6.8,1.6,0.6,3.0,2.5,20.4
Devin Vassell,SF,21,SAS,30,2,24.7,4.2,9.4,.450,1.6,4.7,.350,2.6,4.7,.549,.537,0.7,1.0,.724,0.7,3.2,3.9,1.5,1.0,0.7,0.7,1.8,10.8
Gabe Vincent,PG,25,MIA,32,10,21.8,3.1,7.2,.435,1.6,4.3,.374,1.5,2.8,.527,.548,0.8,1.0,.774,0.5,1.6,2.1,2.9,0.8,0.2,1.5,2.2,8.6
Nikola Vučević,C,31,CHI,27,27,33.3,6.6,15.4,.430,1.8,5.0,.353,4.9,10.4,.468,.488,1.0,1.5,.650,1.8,9.6,11.4,3.4,0.9,1.1,1.6,2.3,16.0
Dean Wade,PF,25,CLE,26,16,21.0,2.0,4.7,.434,1.0,3.0,.333,1.0,1.7,.614,.541,0.3,0.5,.750,0.8,2.8,3.5,1.3,0.5,0.1,0.3,1.7,5.4
