Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Bradley Beal," SG,SF",WAS ,Healthy,31.0,4.3,5.7,0.3,0.7,.561,.722,2.0,3.3,3,34.6,4.3,10.3,6.20,2.7
Donovan Mitchell," PG,SG",UTH ,Healthy,28.7,2.7,5.0,0.3,1.7,.508,.867,3.0,3.3,3,32.9,4.3,7.7,5.00,2.0
Karl-Anthony Towns, C,MIN ,Healthy,28.0,7.0,4.7,1.3,1.7,.547,.870,2.0,2.7,3,33.9,6.7,7.7,5.50,4.3
Dillon Brooks," SG,SF",MEM ,Healthy,27.3,5.3,3.7,0.0,0.7,.459,.900,2.7,1.7,3,35.2,6.0,6.7,3.00,2.7
Saddiq Bey, SF,DET ,Healthy,25.7,6.0,3.3,0.3,0.3,.544,.947,3.0,0.7,3,36.4,6.0,5.3,2.50,2.0
LeBron James," PG,SG,SF,PF",LAL , DTD ,24.3,9.0,5.3,1.3,1.0,.472,.727,2.3,3.3,3,39.3,5.3,6.0,5.30,3.7
Norman Powell," SG,SF",POR ,Healthy,22.3,4.0,4.7,1.0,1.0,.449,.909,4.3,2.3,3,38.5,3.3,3.0,10.80,3.3
Jrue Holiday," PG,SG",MIL ,Healthy,33.0,4.5,9.5,0.0,1.5,.556,.500,1.0,3.0,2,38.6,2.0,14.0,8.30,1.5
Max Strus," SG,SF",MIA ,Healthy,21.7,4.7,1.3,0.0,0.3,.525,.750,4.7,0.7,3,30.2,3.0,2.3,3.00,2.0
Trae Young, PG,ATL , OUT ,31.0,3.5,7.0,0.0,2.0,.469,.933,1.0,2.5,2,32.2,7.0,10.5,6.50,1.5
Keldon Johnson," SF,PF",SAS ,Healthy,20.3,7.3,1.3,0.0,0.7,.558,.800,3.0,1.0,3,31.6,1.3,5.0,2.50,1.7
Gabe Vincent," PG,SG",MIA ,Healthy,20.3,2.3,4.0,0.7,0.7,.447,.636,4.0,3.3,3,34.2,2.3,3.0,6.60,3.0
Buddy Hield," SG,SF",SAC ,Healthy,19.7,1.7,2.0,0.0,1.7,.500,1.000,5.0,1.7,3,35.0,2.0,1.3,5.30,2.7
Miles Bridges," SF,PF",CHA ,Healthy,19.7,6.3,6.3,1.0,1.0,.600,.800,1.0,1.0,3,34.7,2.7,7.0,5.50,0.0
Russell Westbrook, PG,LAL ,Healthy,19.0,7.7,6.7,1.0,0.3,.477,.560,0.3,3.7,3,36.3,4.7,6.7,6.60,3.0
Jordan Nwora, SF,MIL ,Healthy,19.0,10.0,1.7,0.7,1.7,.460,.750,2.7,1.7,3,37.2,1.0,5.0,2.30,1.3
Desmond Bane," PG,SG,SF",MEM ,Healthy,18.7,3.3,2.3,0.3,0.7,.512,1.000,3.3,1.0,3,29.8,1.3,3.7,2.50,3.0
Brandon Ingram," SF,PF",NOR ,Healthy,28.0,6.5,4.5,0.0,2.0,.460,.750,2.0,2.5,2,40.2,9.0,6.5,3.70,1.0
Gordon Hayward," SG,SF",CHA , OUT ,18.7,3.3,2.3,0.3,0.0,.525,1.000,2.7,1.7,3,26.1,2.0,4.3,3.30,0.3
Tyrese Haliburton," PG,SG",SAC ,Healthy,18.7,6.0,10.0,1.3,1.7,.532,.000,2.0,3.0,3,37.0,0.0,6.3,10.00,2.7
Evan Fournier," SG,SF",NYK ,Healthy,27.5,3.0,3.0,0.5,1.0,.583,.667,3.5,3.0,2,35.2,3.0,7.0,2.30,3.5
D'Angelo Russell," PG,SG",MIN ,Healthy,18.3,4.3,5.3,0.0,1.0,.465,.556,3.3,2.3,3,31.7,1.7,3.3,8.00,1.3
Jordan Clarkson," PG,SG",UTH ,Healthy,18.0,4.0,2.3,0.0,1.3,.465,.778,2.3,1.7,3,27.9,2.3,4.3,1.70,2.3
Bojan Bogdanovic," SF,PF",UTH ,Healthy,18.0,2.7,1.3,0.0,0.7,.514,.750,3.3,0.7,3,28.8,2.0,3.0,3.00,2.7
Harrison Barnes," SF,PF",SAC ,Healthy,17.7,5.3,3.3,0.0,0.7,.405,.947,1.7,0.7,3,36.2,6.0,3.3,7.00,1.3
Jayson Tatum," SF,PF",BOS ,Healthy,26.0,8.5,4.0,0.0,0.5,.419,1.000,3.0,2.0,2,39.2,5.0,6.0,6.70,2.5
Franz Wagner," SG,SF",ORL ,Healthy,17.0,7.7,4.0,0.0,1.0,.392,.917,0.0,1.7,3,33.0,3.7,6.7,8.00,2.0
Dejounte Murray," PG,SG",SAS ,Healthy,17.0,8.0,9.7,0.3,1.3,.477,.600,1.0,1.7,3,35.6,2.0,6.0,19.00,1.3
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,25.5,4.0,3.5,0.5,1.0,.439,1.000,3.0,2.5,2,36.3,4.5,6.0,3.30,4.0
Joel Embiid," PF,C",PHI ,Healthy,24.5,11.5,5.5,0.5,1.0,.485,.882,1.0,1.5,2,35.2,7.5,7.0,8.00,2.5
Tim Hardaway," SG,SF",DAL ,Healthy,24.0,7.5,4.5,0.5,1.5,.447,.857,4.0,1.5,2,40.5,3.0,4.5,7.50,2.0
Rudy Gobert, C,UTH ,Healthy,15.7,16.7,2.0,3.3,0.0,.773,.619,0.0,2.0,3,32.7,4.3,5.7,1.80,1.7
Caris LeVert," SG,SF",IND ,Healthy,23.5,1.5,4.5,0.5,1.5,.581,.818,1.0,2.0,2,34.8,4.5,8.0,4.50,2.0
Nikola Jokic," PF,C",DEN ,Healthy,23.5,10.0,9.0,0.0,2.0,.679,.750,1.5,3.5,2,30.5,3.0,8.0,5.10,4.5
Derrick White," PG,SG",SAS ,Healthy,15.0,3.0,4.0,0.3,1.0,.364,1.000,1.3,1.0,3,29.5,5.7,2.7,5.50,2.3
Kyle Lowry, PG,MIA ,Healthy,14.7,5.3,10.0,0.7,0.3,.333,.739,2.3,5.0,3,38.6,5.7,1.0,6.30,1.0
