Name,Projected Average Points (ROS)
Stephen Curry,54.49999999999999
Joel Embiid,52.50000000000001
Nikola Jokic,53.300000000000004
Anthony Davis,47.50000000000001
James Harden,54.400000000000006
Jimmy Butler,49.4
Kevin Durant,51.199999999999996
Karl-Anthony Towns,43.9
Kristaps Porzingis,39.900000000000006
Jonas Valanciunas,40.1
Rudy Gobert,37.300000000000004
Giannis Antetokounmpo,57.199999999999996
Al Horford,35.2
Damian Lillard,47.000000000000014
Donovan Mitchell,42.5
Jarrett Allen,34.6
Myles Turner,32.4
Jusuf Nurkic,36.2
Fred VanVleet,43.99999999999999
LaMarcus Aldridge,32.800000000000004
Paul George,43.5
LeBron James,47.800000000000004
Trae Young,46.4
Nerlens Noel,26.599999999999998
Nikola Vucevic,38.7
Bobby Portis,29.4
Richaun Holmes,38.300000000000004
Zach LaVine,41.6
Ivica Zubac,28.3
John Collins,38.69999999999999
Bradley Beal,39.800000000000004
Domantas Sabonis,44.199999999999996
Jayson Tatum,42.3
Chris Paul,42.1
Khris Middleton,39.09999999999999
Deandre Ayton,32.5
Jaren Jackson Jr.,35.8
Gordon Hayward,35.6
Mikal Bridges,29.6
Tobias Harris,36.99999999999999
Brandon Ingram,40.199999999999996
Mike Conley,38.4
C.J. McCollum,42.2
Clint Capela,32.8
Devin Booker,38.2
Evan Mobley,29.5
Jarred Vanderbilt,25.899999999999995
Malcolm Brogdon,37.9
Mitchell Robinson,24.9
Jaylen Brown,37.89999999999999
Tyrese Maxey,35.2
Luka Doncic,47.00000000000001
Harrison Barnes,33.3
Draymond Green,39.0
Julius Randle,43.4
Gary Trent Jr.,27.5
Anthony Edwards,34.49999999999999
Tyrese Haliburton,36.099999999999994
Jrue Holiday,39.5
Pascal Siakam,39.7
De'Aaron Fox,43.3
Miles Bridges,35.7
Cade Cunningham,34.8
Kevin Love,26.7
D'Angelo Russell,40.800000000000004
Robert Williams,24.9
Jakob Poeltl,27.3
Robert Covington,24.500000000000004
Norman Powell,31.100000000000005
Kyle Lowry,33.3
Marcus Smart,33.0
Lonzo Ball,36.900000000000006
Bojan Bogdanovic,27.2
Steven Adams,25.4
Seth Curry,28.199999999999996
Shai Gilgeous-Alexander,40.3
Naz Reid,26.699999999999996
Christian Wood,33.5
Dejounte Murray,38.2
Matisse Thybulle,22.9
Jordan Poole,28.3
Danny Green,22.2
Desmond Bane,26.0
Russell Westbrook,43.50000000000001
Montrezl Harrell,32.50000000000001
Grayson Allen,25.4
Scottie Barnes,31.6
Alex Caruso,27.9
Andrew Wiggins,31.0
Derrick White,31.599999999999998
Isaiah Stewart,21.0
Taj Gibson,19.1
Derrick Rose,31.700000000000003
Mohamed Bamba,31.600000000000005
Garrison Mathews,24.000000000000004
Franz Wagner,26.8
Cole Anthony,35.3
Pat Connaughton,23.599999999999998
Tyler Herro,30.9
Darius Garland,34.0
Alec Burks,25.600000000000005
Luke Kennard,23.399999999999995
Wendell Carter Jr.,31.3
Alperen Sengun,22.099999999999998
Joe Ingles,25.600000000000005
Caris LeVert,33.10000000000001
Shake Milton,28.900000000000002
Reggie Jackson,30.999999999999993
Hassan Whiteside,21.0
Carmelo Anthony,26.2
Evan Fournier,27.9
Josh Hart,25.499999999999996
Royce O'Neale,24.0
Devonte' Graham,32.699999999999996
Cody Martin,24.5
Kemba Walker,29.799999999999997
Luguentz Dort,26.700000000000006
Xavier Tillman,19.0
Dennis Schroder,31.9
Buddy Hield,26.899999999999995
PJ Washington,27.999999999999996
Nickeil Alexander-Walker,29.2
JaVale McGee,22.000000000000004
Aaron Gordon,28.900000000000002
Jordan Clarkson,28.999999999999993
Talen Horton-Tucker,26.900000000000002
Will Barton,27.8
Patrick Beverley,25.800000000000004
