Name,Projected Average Points (ROS)
Kentavious Caldwell-Pope,21.5
Duncan Robinson,22.599999999999998
Daniel Gafford,25.7
Herbert Jones,24.3
Chris Duarte,25.3
Kyle Anderson,27.900000000000002
Markieff Morris,17.900000000000002
Dillon Brooks,24.799999999999997
Kevin Huerter,23.400000000000002
George Hill,21.500000000000007
Jae Crowder,21.5
Tim Hardaway Jr.,25.600000000000005
Jalen Brunson,31.100000000000005
Bruce Brown Jr.,20.6
Saddiq Bey,25.900000000000002
Derrick Favors,19.400000000000002
Cody Zeller,19.1
Dorian Finney-Smith,21.500000000000004
Lauri Markkanen,25.200000000000003
Danilo Gallinari,20.700000000000003
Dwight Howard,18.400000000000002
Marcus Morris,23.0
Tony Bradley,17.4
Monte Morris,25.599999999999998
Jae'Sean Tate,24.599999999999998
Kelly Oubre,26.1
Jalen Green,25.299999999999997
Ricky Rubio,29.900000000000002
Daniel Theis,25.6
Robin Lopez,18.6
Jeff Green,20.3
DeAndre Jordan,17.5
Georges Niang,21.099999999999998
Keldon Johnson,24.8
Rudy Gay,21.4
Patrick Mills,21.599999999999998
De'Anthony Melton,28.699999999999996
Devin Vassell,19.799999999999997
Spencer Dinwiddie,26.2
Terance Mann,20.400000000000002
Doug McDermott,19.400000000000002
RJ Barrett,26.8
Cameron Johnson,18.700000000000003
Josh Giddey,29.4
Andre Iguodala,21.5
Terrence Ross,22.5
Otto Porter,20.2
Gary Harris,20.599999999999994
Anfernee Simons,19.6
Cam Reddish,18.5
Eric Bledsoe,21.999999999999996
Avery Bradley,17.4
Dwight Powell,22.1
Josh Richardson,18.3
Kevin Porter Jr.,34.1
Killian Hayes,23.500000000000004
Serge Ibaka,16.7
Malik Beasley,23.400000000000002
Davion Mitchell,24.4
Tristan Thompson,15.900000000000002
P.J. Tucker,16.4
Furkan Korkmaz,20.5
Damion Lee,18.1
Chuma Okeke,20.300000000000004
Jeremy Lamb,18.6
Immanuel Quickley,21.5
Jaden McDaniels,20.400000000000002
Cameron Payne,23.799999999999994
Drew Eubanks,20.5
Justin Holiday,17.0
Enes Kanter,13.799999999999997
Dewayne Dedmon,13.500000000000002
Nassir Little,17.700000000000003
Nah'Shon Hyland,21.5
DeMarcus Cousins,14.7
Cory Joseph,21.599999999999998
Isaiah Hartenstein,23.799999999999997
Chris Boucher,22.899999999999995
Sviatoslav Mykhailiuk,17.1
Kent Bazemore,16.300000000000004
Lonnie Walker,18.299999999999997
Nick Richards,13.0
Jeremiah Robinson-Earl,21.6
Eric Gordon,26.3
Ed Davis,12.2
Alex Len,13.9
Kyle Kuzma,26.2
Isaac Okoro,18.699999999999996
Willy Hernangomez,15.3
Maxi Kleber,18.2
Grant Williams,16.700000000000003
Reggie Bullock,16.599999999999998
Mike Muscala,14.2
Damian Jones,14.299999999999997
Vernon Carey Jr.,12.300000000000002
Kenyon Martin Jr.,18.8
Frank Jackson,19.400000000000002
Kenrich Williams,19.6
Jalen Smith,10.4
Gorgui Dieng,12.799999999999999
Larry Nance Jr.,19.000000000000004
Terence Davis II,18.599999999999998
Deni Avdija,15.7
Sandro Mamukelashvili,12.199999999999998
Andre Drummond,13.7
Kevon Looney,18.800000000000004
Moses Brown,12.300000000000002
Luka Garza,12.100000000000001
Maurice Harkless,14.299999999999999
Torrey Craig,15.500000000000004
Landry Shamet,17.100000000000005
Charles Bassey,12.2
Josh Jackson,20.4
Moritz Wagner,12.3
Paul Millsap,10.3
Wesley Matthews,14.099999999999998
Nemanja Bjelica,19.9
Goga Bitadze,11.0
Darius Bazley,20.8
Trey Lyles,19.2
Bryn Forbes,15.799999999999995
Willie Cauley-Stein,10.4
