Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
LeBron James," PG,SG,SF,PF",LAL , DTD ,27.7,8.7,9.0,2.3,2.3,.582,.846,2.7,4.3,3,36.4,3.7,8.0,6.90,1.7
Kevin Durant," SF,PF",BKN ,Healthy,41.0,6.0,7.5,2.5,1.0,.528,.909,3.0,5.0,2,39.9,10.0,11.0,3.00,4.5
Giannis Antetokounmpo," PF,C",MIL , OUT ,27.0,11.7,6.3,1.0,1.7,.592,.733,0.3,4.0,3,34.2,7.3,9.3,5.50,3.7
De'Aaron Fox, PG,SAC ,Healthy,24.3,3.3,3.0,0.0,2.3,.549,.833,0.7,1.7,3,30.6,5.0,8.7,5.00,2.0
Trae Young, PG,ATL ,Healthy,36.0,5.5,9.5,0.0,1.5,.490,.895,3.5,7.0,2,35.6,8.5,8.5,2.70,1.5
Jayson Tatum," SF,PF",BOS ,Healthy,33.0,6.0,3.5,0.5,1.5,.520,.546,4.0,3.5,2,35.8,3.0,9.0,2.10,1.5
Kristaps Porzingis," PF,C",DAL ,Healthy,19.7,7.3,1.7,2.0,0.0,.440,.833,1.7,0.3,3,28.6,3.3,5.7,3.00,2.7
Derrick White," PG,SG",SAS ,Healthy,19.0,5.3,5.3,1.0,2.0,.525,.923,1.0,1.7,3,30.4,4.0,6.0,10.00,1.3
Aaron Gordon," SF,PF",DEN , DTD ,19.0,5.0,3.3,0.7,0.3,.564,.846,0.7,1.3,3,35.6,3.7,6.7,8.50,1.7
Jarrett Allen, C,CLE ,Healthy,19.0,9.7,2.0,2.0,1.0,.800,.944,0.0,1.0,3,32.4,5.7,6.7,1.00,2.0
Christian Wood," PF,C",HOU ,Healthy,18.3,9.7,2.3,0.0,1.0,.455,.611,1.3,2.7,3,31.6,3.7,5.3,1.20,4.3
Monte Morris," PG,SG",DEN ,Healthy,18.0,3.7,4.7,0.7,0.3,.513,.800,3.3,1.3,3,31.7,1.3,3.3,6.30,1.3
Isaac Okoro," SG,SF",CLE ,Healthy,18.0,4.0,2.0,0.3,0.7,.677,1.000,2.3,1.3,3,31.9,1.7,4.7,4.50,1.3
Domantas Sabonis," PF,C",IND ,Healthy,27.0,10.5,3.5,0.5,1.5,.700,.688,0.5,1.5,2,35.5,5.5,10.0,3.50,2.5
Bobby Portis," PF,C",MIL ,Healthy,17.7,8.7,1.0,1.3,1.7,.465,.667,2.3,1.7,3,30.0,2.0,4.3,2.50,1.7
Brandon Ingram," SF,PF",NOR ,Healthy,26.5,5.0,7.0,1.0,0.5,.455,.750,2.0,0.5,2,36.1,4.5,8.0,9.00,1.5
Kevin Love," PF,C",CLE ,Healthy,17.3,8.7,2.0,0.3,0.3,.519,1.000,3.7,1.7,3,20.1,4.3,1.0,3.50,1.7
Buddy Hield," SG,SF",SAC ,Healthy,16.7,4.0,1.3,0.7,1.7,.400,1.000,3.3,2.0,3,28.8,1.3,2.7,2.50,1.3
Donovan Mitchell," PG,SG",UTH ,Healthy,25.0,0.5,5.0,0.0,2.0,.462,.833,4.5,2.5,2,30.7,2.5,4.5,4.30,2.0
Khris Middleton," SF,PF,SG",MIL , DTD ,16.3,8.0,4.0,0.0,1.0,.364,.889,3.0,3.0,3,30.5,2.7,2.3,4.00,2.7
Lonnie Walker," SG,SF",SAS ,Healthy,16.0,3.0,1.0,0.0,0.0,.500,1.000,1.7,1.0,3,23.4,3.7,3.7,0.00,1.3
Tyrese Maxey," PG,SG",PHI ,Healthy,16.0,1.7,3.7,0.7,1.0,.514,.667,1.3,2.0,3,28.5,2.0,5.0,5.30,1.7
Dillon Brooks," SG,SF",MEM ,Healthy,24.0,3.0,2.0,0.0,0.5,.500,.857,2.0,1.0,2,30.2,6.0,6.0,4.00,3.5
Desmond Bane," PG,SG,SF",MEM ,Healthy,15.7,5.0,3.7,0.7,1.3,.400,1.000,3.0,0.3,3,27.6,0.7,3.0,3.00,2.0
Jaren Jackson," PF,C",MEM ,Healthy,23.5,4.5,1.0,1.0,2.0,.486,.833,1.5,2.5,2,27.6,5.0,7.0,1.00,2.5
Eric Gordon," SG,SF",HOU , OUT ,23.0,2.0,4.5,0.0,1.0,.536,.667,4.0,3.0,2,32.4,4.0,3.5,3.80,3.0
Caris LeVert," SG,SF",IND ,Healthy,22.5,4.0,5.0,0.5,1.5,.439,1.000,3.5,2.0,2,36.7,1.0,5.5,6.70,1.0
Jrue Holiday," PG,SG",MIL ,Healthy,15.0,2.3,6.7,0.3,1.7,.486,.889,1.0,1.3,3,34.1,2.7,4.7,6.00,1.3
Armoni Brooks, PG,HOU ,Healthy,15.0,4.7,3.7,0.3,0.3,.395,.833,3.3,1.0,3,29.9,1.7,1.7,7.00,2.3
Jalen Brunson," PG,SG",DAL ,Healthy,15.0,6.0,4.0,0.0,0.7,.515,.909,0.3,1.7,3,28.9,3.3,5.3,10.00,1.7
Joel Embiid," PF,C",PHI , DTD ,22.5,9.0,3.0,0.5,2.5,.441,1.000,1.0,2.5,2,31.4,6.5,6.5,3.00,3.5
Tobias Harris," SF,PF",PHI ,Healthy,15.0,6.0,2.0,0.7,0.0,.469,.929,0.7,1.0,3,31.3,4.3,4.3,4.00,2.0
Darius Garland," PG,SG",CLE ,Healthy,14.7,4.0,10.0,0.3,2.3,.395,1.000,2.0,4.3,3,35.0,1.3,3.7,6.70,2.3
Cole Anthony, PG,ORL ,Healthy,22.0,6.0,3.5,0.0,0.0,.382,.900,4.5,2.5,2,34.7,4.5,2.0,2.70,2.5
Stephen Curry," PG,SG",GSW ,Healthy,22.0,7.5,5.5,0.5,0.5,.350,.889,4.0,5.0,2,35.8,4.0,3.0,2.60,1.0
Karl-Anthony Towns, C,MIN ,Healthy,22.0,8.5,3.0,1.5,0.5,.417,.875,0.0,5.0,2,32.7,7.0,7.5,1.20,4.0
Reggie Jackson," PG,SG",LAC ,Healthy,22.0,2.5,2.5,0.5,0.5,.500,1.000,2.5,2.5,2,31.1,2.5,6.0,2.00,1.0
Cade Cunningham," PG,SG",DET ,Healthy,21.0,4.5,5.0,0.5,3.0,.400,.700,3.5,4.5,2,33.4,3.5,3.5,2.90,1.5
Kelly Oubre," SG,SF,PF",CHA ,Healthy,21.0,4.5,4.5,1.0,1.5,.500,.400,4.0,1.5,2,38.6,1.0,4.0,6.50,3.5
