Name,Projected Avg Pts (ROS)
Stephen Curry,55.0
Joel Embiid,52.50000000000001
Nikola Jokic,53.2
James Harden,54.400000000000006
Anthony Davis,49.099999999999994
Jimmy Butler,49.4
Kevin Durant,51.099999999999994
Kristaps Porzingis,40.300000000000004
Karl-Anthony Towns,43.4
Jonas Valanciunas,39.400000000000006
Giannis Antetokounmpo,57.199999999999996
Rudy Gobert,36.300000000000004
Al Horford,35.2
Jarrett Allen,34.5
Paul George,43.5
Damian Lillard,47.1
Donovan Mitchell,42.20000000000001
LaMarcus Aldridge,32.800000000000004
LeBron James,47.9
Jusuf Nurkic,36.2
Myles Turner,31.9
Richaun Holmes,38.300000000000004
Zach LaVine,41.6
Nikola Vucevic,38.7
Fred VanVleet,42.9
Khris Middleton,39.09999999999999
Bobby Portis,28.899999999999995
Domantas Sabonis,44.4
Ivica Zubac,28.700000000000006
Trae Young,46.900000000000006
Nerlens Noel,27.2
Jayson Tatum,42.1
Mikal Bridges,29.599999999999994
Tobias Harris,37.5
John Collins,39.099999999999994
Jaren Jackson Jr.,36.599999999999994
C.J. McCollum,42.2
Devin Booker,38.2
Evan Mobley,29.5
Gordon Hayward,35.1
Bradley Beal,39.699999999999996
Brandon Ingram,40.00000000000001
Malcolm Brogdon,38.00000000000001
Chris Paul,41.6
Mike Conley,38.800000000000004
Deandre Ayton,32.0
Clint Capela,32.5
Jaylen Brown,38.49999999999999
Jarred Vanderbilt,25.2
Luka Doncic,47.00000000000001
Mitchell Robinson,25.299999999999997
Tyrese Maxey,34.9
Draymond Green,39.300000000000004
Harrison Barnes,33.7
Pascal Siakam,39.6
De'Aaron Fox,43.4
Miles Bridges,35.0
Anthony Edwards,34.1
Julius Randle,43.4
D'Angelo Russell,40.699999999999996
Robert Williams,25.099999999999998
Jrue Holiday,38.9
Lonzo Ball,36.900000000000006
Gary Trent Jr.,27.1
Tyrese Haliburton,35.1
Cade Cunningham,34.39999999999999
Matisse Thybulle,23.3
Kevin Love,26.5
Jakob Poeltl,27.5
Naz Reid,27.500000000000004
Kyle Lowry,33.300000000000004
Robert Covington,23.900000000000002
Jordan Poole,28.200000000000006
Marcus Smart,33.099999999999994
Bojan Bogdanovic,27.4
Russell Westbrook,43.8
Steven Adams,24.599999999999998
Seth Curry,28.299999999999997
Christian Wood,33.300000000000004
Alex Caruso,27.9
Scottie Barnes,31.20000000000001
Danny Green,22.1
Norman Powell,30.700000000000006
Dejounte Murray,38.1
Mohamed Bamba,31.600000000000005
Shai Gilgeous-Alexander,40.39999999999999
Cole Anthony,35.5
Montrezl Harrell,33.2
Grayson Allen,25.2
Desmond Bane,25.200000000000003
Andrew Wiggins,30.700000000000003
Tyler Herro,30.9
Taj Gibson,19.5
Derrick Rose,31.899999999999995
Isaiah Stewart,21.000000000000004
Franz Wagner,26.5
Garrison Mathews,24.1
Wendell Carter Jr.,31.8
Carmelo Anthony,26.6
Pat Connaughton,23.6
Derrick White,31.599999999999998
Joe Ingles,26.1
Josh Hart,24.900000000000002
Shake Milton,28.899999999999995
Aaron Gordon,29.100000000000005
Nickeil Alexander-Walker,29.4
Alec Burks,25.9
Dennis Schroder,31.9
Luke Kennard,22.9
Talen Horton-Tucker,26.900000000000002
Hassan Whiteside,21.200000000000003
Reggie Jackson,30.6
Kemba Walker,30.099999999999994
Will Barton,27.699999999999996
Evan Fournier,27.2
Caris LeVert,33.00000000000001
Royce O'Neale,23.9
Darius Garland,34.50000000000001
Luguentz Dort,26.300000000000004
Alperen Sengun,22.499999999999996
Herbert Jones,23.9
Xavier Tillman,19.099999999999998
Jae Crowder,21.400000000000002
Buddy Hield,26.7
Dorian Finney-Smith,21.900000000000002
Duncan Robinson,21.9
Cody Martin,23.7
Markieff Morris,17.900000000000002
Patrick Beverley,24.8
Kyle Anderson,27.8
Lauri Markkanen,25.500000000000004
Bruce Brown Jr.,20.6
PJ Washington,27.5
Daniel Gafford,26.299999999999997
Chris Duarte,25.9
Danilo Gallinari,21.1
Kentavious Caldwell-Pope,21.6
Dillon Brooks,24.5
Kevin Huerter,23.8
JaVale McGee,22.3
Tim Hardaway Jr.,25.6
Jordan Clarkson,28.9
Devonte' Graham,32.300000000000004
Marcus Morris,23.1
Cody Zeller,19.1
Kelly Oubre,26.200000000000003
Derrick Favors,19.6
Dwight Howard,18.400000000000002
Jalen Brunson,30.7
Jalen Green,25.299999999999997
George Hill,21.8
Tony Bradley,17.4
Saddiq Bey,25.3
Georges Niang,21.099999999999998
Jeff Green,20.200000000000003
Jae'Sean Tate,24.3
Rudy Gay,22.100000000000005
Monte Morris,25.3
Daniel Theis,25.0
DeAndre Jordan,17.7
RJ Barrett,26.8
Terance Mann,20.700000000000003
Robin Lopez,18.099999999999998
Otto Porter,19.7
Doug McDermott,19.500000000000004
Keldon Johnson,24.3
Cameron Johnson,18.9
Ricky Rubio,29.0
Terrence Ross,21.9
Spencer Dinwiddie,26.500000000000004
Devin Vassell,20.0
Dwight Powell,22.5
Cam Reddish,18.6
Kevin Porter Jr.,34.1
Patrick Mills,20.700000000000003
Andre Iguodala,21.1
Avery Bradley,16.999999999999996
Anfernee Simons,19.599999999999998
De'Anthony Melton,28.499999999999996
Josh Giddey,29.0
Serge Ibaka,16.7
Furkan Korkmaz,20.5
Davion Mitchell,24.900000000000002
Eric Bledsoe,21.499999999999996
Gary Harris,19.699999999999996
P.J. Tucker,16.199999999999996
Jeremy Lamb,18.599999999999998
Drew Eubanks,21.1
Killian Hayes,23.500000000000004
Malik Beasley,23.300000000000004
Damion Lee,17.9
Jaden McDaniels,19.900000000000002
Josh Richardson,17.2
Tristan Thompson,15.600000000000001
Justin Holiday,17.0
Immanuel Quickley,21.0
Nassir Little,17.200000000000003
Cameron Payne,23.400000000000002
Sviatoslav Mykhailiuk,17.6
Jeremiah Robinson-Earl,22.1
Cory Joseph,21.599999999999998
Enes Freedom,13.599999999999998
Kyle Kuzma,26.799999999999997
Eric Gordon,26.199999999999996
Kent Bazemore,16.1
Reggie Bullock,16.6
Chris Boucher,22.7
Grant Williams,16.700000000000003
Isaac Okoro,18.4
Nick Richards,13.2
Nah'Shon Hyland,20.6
Dewayne Dedmon,12.500000000000002
Isaiah Hartenstein,23.599999999999998
Maxi Kleber,17.9
Lonnie Walker,18.099999999999994
Chuma Okeke,18.500000000000004
Alex Len,13.699999999999998
DeMarcus Cousins,13.299999999999997
Ed Davis,12.2
Willy Hernangomez,15.600000000000001
Maurice Harkless,14.4
Damian Jones,14.9
Josh Jackson,20.7
Torrey Craig,15.700000000000003
Terence Davis II,18.599999999999998
Vernon Carey Jr.,12.300000000000002
Kenyon Martin Jr.,17.7
Jalen Smith,10.399999999999999
Wesley Matthews,14.099999999999998
Frank Jackson,19.4
Darius Bazley,21.5
Gorgui Dieng,13.399999999999999
Mike Muscala,13.7
Kenrich Williams,19.400000000000002
Moses Brown,12.799999999999999
Luka Garza,12.200000000000003
Charles Bassey,12.2
Larry Nance Jr.,18.5
Paul Millsap,10.3
Trey Lyles,19.400000000000002
Kevon Looney,18.2
Landry Shamet,17.099999999999998
Goga Bitadze,11.599999999999998
Deni Avdija,14.9
Andre Drummond,13.7
Moritz Wagner,11.699999999999998
Sandro Mamukelashvili,11.399999999999999
Davis Bertans,14.3
Nemanja Bjelica,20.099999999999998
Bryn Forbes,15.500000000000004
